Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=6, quant_w=None, random_seed=8627169, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
998d9e6d-d7a9-40e8-8bbf-487fdc2ac83b
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.9521      0.0738     0.0967     11.1883
00100     1.6969      0.4768     0.4562     72.9588
00200     1.0784      0.6646     0.6577     74.4206
00300     0.9314      0.6941     0.7271     72.6703
00400     0.7842      0.7743     0.7711     74.1019
00500     0.6566      0.7848     0.7923     72.2554
00600     0.6453      0.7869     0.8075     71.2843
00700     0.6226      0.8143     0.8077     72.0622
00800     0.5516      0.8397     0.8208     71.9798
00900     0.5486      0.8186     0.8315     72.5713
01000     0.5237      0.8397     0.8321     73.4692
01100     0.6182      0.8207     0.8464     74.0499
01200     0.4529      0.8987     0.8504     71.9416
01300     0.5439      0.8291     0.8504     71.3951
01400     0.5353      0.8207     0.8532     75.0478
01500     0.3783      0.8861     0.8532     72.6278
01600     0.5152      0.8418     0.8532     73.4378
01700     0.3854      0.8882     0.8532     72.7170
01800     0.4617      0.8713     0.8597     72.5142
01900     0.3306      0.9030     0.8597     73.1298
02000     0.4142      0.8734     0.8597     73.8177
02100     0.4197      0.8755     0.8597     72.0635
02200     0.4780      0.8502     0.8598     73.8092
02300     0.3467      0.8776     0.8616     73.2571
02400     0.3491      0.8924     0.8680     72.9726
02500     0.3877      0.8861     0.8680     72.2695
02600     0.4818      0.8481     0.8704     71.9463
02700     0.3293      0.9051     0.8704     73.3328
02800     0.3453      0.9093     0.8704     73.1083
02900     0.3290      0.9072     0.8728     73.4578
03000     0.3617      0.8945     0.8842     74.4490
03100     0.3299      0.9072     0.8842     75.6343
03200     0.3568      0.8987     0.8842     72.9137
03300     0.3333      0.8776     0.8842     72.6296
03400     0.3074      0.9135     0.8842     74.4201
03500     0.3277      0.9030     0.8842     72.7817
03600     0.3155      0.9114     0.8842     73.5246
03700     0.3282      0.8987     0.8842     72.4568
03800     0.3698      0.8966     0.8842     73.2093
03900     0.3432      0.8924     0.8842     73.0176
04000     0.3286      0.8966     0.8842     72.9036
04100     0.2899      0.9114     0.8842     73.6325
04200     0.3319      0.8945     0.8842     73.6867
04300     0.2805      0.9219     0.8842     72.4091
04400     0.3392      0.8924     0.8842     73.5027
04500     0.2803      0.9051     0.8842     72.4580
04600     0.2668      0.9262     0.8842     73.3280
04700     0.2716      0.9135     0.8842     71.8501
04800     0.3227      0.9072     0.8842     72.4306
04900     0.2965      0.9219     0.8842     74.1213
05000     0.2710      0.9219     0.8842     72.9450
05100     0.2924      0.9135     0.8842     74.0766
05200     0.2553      0.9325     0.8842     73.1770
05300     0.2642      0.9283     0.8842     73.7113
05400     0.2539      0.9262     0.8842     74.3793
05500     0.3327      0.8924     0.8842     71.3745
05600     0.2710      0.9114     0.8842     73.4119
05700     0.2535      0.9177     0.8842     73.0801
05800     0.2939      0.9177     0.8842     74.5329
05900     0.2586      0.9262     0.8842     72.0143
06000     0.3209      0.9114     0.8842     74.0720
06100     0.3123      0.9051     0.8842     71.3609
06200     0.2940      0.9156     0.8842     72.6263
06300     0.2805      0.9093     0.8842     71.9373
06400     0.3336      0.9072     0.8842     73.2701
06500     0.2632      0.9219     0.8842     74.6138
06600     0.3072      0.9156     0.8842     73.4581
06700     0.2085      0.9283     0.8842     74.9425
06800     0.2715      0.9283     0.8842     74.0465
