Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=7, quant_w=None, random_seed=235899598, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
574ae4c3-3153-4752-a722-d78f43b601e1
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.9626      0.0928     0.0762     10.7070
00100     1.6052      0.4662     0.5067     72.7010
00200     1.0889      0.6646     0.6749     73.2818
00300     0.8758      0.7321     0.7469     71.3379
00400     0.8156      0.7215     0.7808     74.6776
00500     0.5963      0.8080     0.7848     74.4766
00600     0.6099      0.7996     0.8146     72.8784
00700     0.4861      0.8586     0.8169     72.2772
00800     0.6012      0.8418     0.8273     71.4946
00900     0.5342      0.8376     0.8273     72.1837
01000     0.4645      0.8734     0.8342     72.3585
01100     0.4882      0.8734     0.8506     71.6106
01200     0.4097      0.8966     0.8506     72.6249
01300     0.4646      0.8650     0.8506     73.4286
01400     0.3446      0.9008     0.8544     74.3838
01500     0.4358      0.8671     0.8585     72.8724
01600     0.3685      0.8882     0.8700     74.7641
01700     0.3858      0.8903     0.8700     74.6008
01800     0.4032      0.8882     0.8700     73.4467
01900     0.4290      0.8713     0.8700     73.5630
02000     0.2770      0.9241     0.8700     72.5341
02100     0.3602      0.8924     0.8700     73.2274
02200     0.3431      0.9051     0.8700     71.6214
02300     0.3533      0.8903     0.8700     71.5814
02400     0.3619      0.8945     0.8700     73.7822
02500     0.3953      0.8692     0.8700     72.4416
02600     0.3571      0.8987     0.8712     72.3908
02700     0.3565      0.8924     0.8712     73.8386
02800     0.3224      0.8966     0.8712     72.7101
02900     0.3220      0.9051     0.8779     70.8034
03000     0.2928      0.9114     0.8779     70.7413
03100     0.2912      0.9156     0.8779     71.9457
03200     0.3265      0.9008     0.8779     73.6571
03300     0.3149      0.9051     0.8779     71.7638
03400     0.2813      0.9114     0.8807     72.8216
03500     0.2969      0.9241     0.8807     73.5356
03600     0.3728      0.8840     0.8807     73.3668
03700     0.3055      0.9198     0.8807     71.7488
03800     0.3373      0.8903     0.8807     72.9925
