Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=7, quant_w=None, random_seed=8627169, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
53920fbc-0791-4f11-b65f-66b0963e0ced
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.9416      0.0823     0.0835     10.4788
00100     1.6709      0.4768     0.4686     68.4210
00200     1.0483      0.6772     0.6483     67.4560
00300     0.9557      0.6941     0.7388     68.0788
00400     0.7779      0.7637     0.7783     69.8079
00500     0.6432      0.7911     0.8039     67.9019
00600     0.6300      0.7932     0.8196     67.6836
00700     0.6181      0.8207     0.8196     67.3299
00800     0.5030      0.8523     0.8306     69.8389
00900     0.5026      0.8460     0.8306     68.2173
01000     0.5311      0.8312     0.8378     68.8046
01100     0.5702      0.8418     0.8469     69.0530
01200     0.4166      0.8713     0.8469     67.5101
01300     0.4691      0.8565     0.8469     70.0777
01400     0.5647      0.8249     0.8469     68.7278
01500     0.3869      0.8882     0.8469     68.2036
01600     0.5237      0.8376     0.8564     67.6621
01700     0.3996      0.8861     0.8564     68.1006
01800     0.4659      0.8671     0.8564     68.1061
01900     0.3488      0.8987     0.8579     67.7262
02000     0.3633      0.8819     0.8667     68.4783
02100     0.3615      0.8882     0.8667     68.6663
02200     0.4444      0.8608     0.8689     68.7574
02300     0.3471      0.8903     0.8689     68.1241
02400     0.3893      0.8797     0.8689     68.8994
02500     0.3636      0.8924     0.8689     69.6900
02600     0.4262      0.8840     0.8722     68.3092
02700     0.3274      0.9135     0.8722     68.9149
02800     0.3709      0.8734     0.8722     68.7116
02900     0.2900      0.9198     0.8727     68.1101
03000     0.3357      0.8903     0.8727     69.4873
03100     0.3550      0.8840     0.8727     68.8173
03200     0.3387      0.8924     0.8727     68.6705
03300     0.2938      0.9008     0.8731     69.2480
03400     0.3459      0.8797     0.8731     70.0282
03500     0.3371      0.9051     0.8731     69.9535
03600     0.2924      0.9093     0.8731     68.4760
03700     0.3436      0.9114     0.8731     71.1728
03800     0.3411      0.9030     0.8731     68.0168
03900     0.2950      0.9219     0.8750     68.8469
04000     0.3064      0.9156     0.8750     69.5803
04100     0.3083      0.9072     0.8812     68.0079
04200     0.3276      0.9030     0.8812     66.9046
04300     0.2635      0.9283     0.8812     68.4535
04400     0.2866      0.9114     0.8812     67.7920
04500     0.2517      0.9198     0.8812     69.3982
04600     0.2477      0.9262     0.8812     68.1088
04700     0.2583      0.9241     0.8812     66.8609
04800     0.3177      0.9051     0.8812     70.7448
04900     0.2747      0.9262     0.8812     68.7159
05000     0.2337      0.9451     0.8812     66.9626
05100     0.2983      0.9177     0.8812     68.9385
05200     0.2399      0.9325     0.8847     68.3904
05300     0.3010      0.9072     0.8847     67.5018
05400     0.2754      0.9219     0.8847     69.0597
05500     0.2708      0.9219     0.8847     69.7787
05600     0.2863      0.9198     0.8847     70.9420
05700     0.2476      0.9262     0.8847     70.2187
05800     0.3107      0.9135     0.8847     71.1873
05900     0.2407      0.9219     0.8847     69.1162
06000     0.2904      0.9156     0.8847     67.4297
