Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=8, quant_w=None, random_seed=8627169, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
7f31d672-0f7e-4fea-ad7a-7f4165ab7ad9
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.9385      0.0970     0.0957     10.2394
00100     1.6711      0.4705     0.4690     53.7054
00200     1.0382      0.6814     0.6629     54.1785
00300     0.9190      0.7046     0.7340     54.2169
00400     0.8057      0.7532     0.7825     54.2467
00500     0.6280      0.8312     0.8040     53.3810
00600     0.6515      0.7827     0.8119     54.4271
00700     0.5869      0.8312     0.8119     54.5714
00800     0.5051      0.8523     0.8306     54.5976
00900     0.5038      0.8460     0.8382     54.6485
01000     0.5334      0.8376     0.8382     55.2813
01100     0.5810      0.8418     0.8473     54.9631
01200     0.4096      0.8840     0.8473     53.8501
01300     0.4958      0.8586     0.8473     54.4425
01400     0.5377      0.8249     0.8478     54.8724
01500     0.3570      0.9030     0.8478     54.0945
01600     0.4742      0.8460     0.8496     55.1381
01700     0.3523      0.8987     0.8529     53.9160
01800     0.4583      0.8608     0.8605     53.9960
01900     0.3099      0.9093     0.8638     55.5928
02000     0.3943      0.8734     0.8638     53.6661
02100     0.3913      0.8903     0.8638     54.5469
02200     0.4598      0.8418     0.8654     54.7228
02300     0.3493      0.8903     0.8666     54.8033
02400     0.3595      0.8945     0.8684     54.9922
02500     0.3732      0.8882     0.8684     55.5173
02600     0.4587      0.8692     0.8684     54.6307
02700     0.3467      0.9135     0.8704     54.5120
02800     0.3516      0.8882     0.8704     54.4104
02900     0.3063      0.9135     0.8704     54.1648
03000     0.3098      0.9030     0.8704     54.7915
03100     0.3551      0.8945     0.8704     53.9723
03200     0.2966      0.9241     0.8704     54.0096
03300     0.2990      0.9051     0.8704     53.8024
03400     0.2769      0.9072     0.8704     54.6324
03500     0.3284      0.8945     0.8704     54.4809
03600     0.2615      0.9241     0.8704     53.7904
03700     0.3245      0.8987     0.8704     55.1356
03800     0.3618      0.8924     0.8791     54.8324
03900     0.2846      0.9177     0.8791     53.9072
04000     0.2937      0.9198     0.8791     53.8698
04100     0.2684      0.9262     0.8791     53.8488
04200     0.3085      0.9114     0.8791     53.5452
04300     0.2759      0.9135     0.8791     54.2862
04400     0.3007      0.9198     0.8811     54.9250
04500     0.2310      0.9198     0.8812     54.2517
04600     0.3097      0.8966     0.8812     54.6718
04700     0.2434      0.9219     0.8812     54.9917
04800     0.3115      0.9072     0.8812     56.6117
04900     0.2686      0.9219     0.8812     56.1886
05000     0.2346      0.9241     0.8812     57.1197
05100     0.3068      0.9198     0.8812     55.5832
05200     0.2727      0.9114     0.8812     55.2268
05300     0.2443      0.9262     0.8812     56.5742
05400     0.2413      0.9262     0.8812     54.5003
05500     0.2710      0.9177     0.8812     55.3969
05600     0.2463      0.9135     0.8812     54.4400
05700     0.2607      0.9283     0.8812     54.7469
05800     0.2757      0.9304     0.8812     54.6998
05900     0.2920      0.9219     0.8829     55.6381
06000     0.2634      0.9283     0.8870     55.0907
06100     0.2984      0.9030     0.8870     55.0270
06200     0.3037      0.8966     0.8870     55.4000
06300     0.2547      0.9219     0.8870     53.9923
06400     0.3012      0.9156     0.8870     54.8377
06500     0.2877      0.9304     0.8870     54.2255
06600     0.2491      0.9283     0.8870     54.2878
06700     0.2486      0.9325     0.8870     54.0258
06800     0.2682      0.9346     0.8870     54.7511
06900     0.2057      0.9367     0.8870     53.8264
07000     0.2656      0.9283     0.8870     55.1820
07100     0.2543      0.9198     0.8870     54.7529
07200     0.2811      0.9177     0.8870     54.6815
07300     0.2166      0.9367     0.8870     53.9433
07400     0.2567      0.9198     0.8870     54.0076
07500     0.2410      0.9325     0.8870     55.4827
07600     0.2332      0.9325     0.8870     54.8710
07700     0.1747      0.9367     0.8870     55.8466
07800     0.2707      0.9304     0.8876     54.4209
07900     0.1824      0.9536     0.8876     54.7156
08000     0.2657      0.9198     0.8876     55.3982
08100     0.2606      0.9219     0.8930     54.7462
08200     0.2681      0.9156     0.8930     53.6970
08300     0.2218      0.9325     0.8930     53.5269
08400     0.2666      0.9198     0.8930     54.5286
08500     0.2800      0.9093     0.8930     53.9482
08600     0.2102      0.9388     0.8930     54.4349
08700     0.2419      0.9325     0.8930     54.9106
08800     0.2235      0.9367     0.8930     54.6403
