Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(batch_size=512, cy_div=2, cy_scale=2, dataloader_num_workers=4, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', epochs=20000, global_beta=1.5, hidden=256, hop_length=320, hp_bw=False, init_factor=2, learning_rate=0.0005, lr_divide=10000, n_mfcc=40, noise_injection=0.0, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, sample_rate=16000, std_scale=2, testing_percentage=10, validation_percentage=10, validation_size=4000, win_length=400, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
cd73926e-a9b3-4ddc-89ab-816f86da8cb0
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5283      0.0742     0.0803     0.3523
00100     2.4528      0.1152     0.1490     0.1932
00200     2.4048      0.1680     0.1815     0.1871
00300     2.4047      0.1797     0.2123     0.2040
00400     2.3686      0.1777     0.2473     0.1895
00500     2.2908      0.2305     0.2508     0.1916
00600     2.2540      0.2188     0.2508     0.2043
00700     2.2094      0.2188     0.2508     0.2084
00800     2.1973      0.2207     0.2508     0.2007
00900     2.1624      0.2188     0.2530     0.1936
01000     2.2101      0.2012     0.2530     0.1907
01100     2.1758      0.2070     0.2530     0.1921
01200     2.1624      0.2383     0.2530     0.1945
01300     2.1299      0.2676     0.2730     0.1969
01400     2.1671      0.2324     0.2803     0.1979
01500     2.1750      0.2070     0.2923     0.2125
01600     2.1254      0.2422     0.2923     0.1899
01700     2.1196      0.2539     0.2923     0.2032
01800     2.1129      0.2441     0.2923     0.2020
01900     2.1227      0.2871     0.2930     0.1925
02000     2.1119      0.2754     0.2930     0.1946
02100     2.0995      0.2637     0.2933     0.2056
02200     2.1857      0.2422     0.2933     0.1842
02300     2.1123      0.2852     0.2933     0.2050
02400     2.1125      0.2930     0.2933     0.2102
02500     2.1371      0.2695     0.2933     0.1852
02600     2.1628      0.2539     0.2933     0.1924
02700     2.1112      0.2812     0.2933     0.1878
02800     2.0502      0.2598     0.2995     0.1911
02900     2.0941      0.2520     0.2995     0.1973
03000     2.1049      0.2969     0.2995     0.1909
03100     2.0825      0.2637     0.2995     0.2012
03200     2.1154      0.2852     0.2995     0.1974
03300     2.0974      0.2559     0.2998     0.2035
03400     2.1546      0.2598     0.2998     0.2053
03500     2.1761      0.2266     0.2998     0.1936
03600     2.1842      0.2520     0.2998     0.2013
03700     2.0948      0.2891     0.2998     0.2103
03800     2.0984      0.3008     0.3015     0.2174
03900     2.1631      0.2422     0.3045     0.2059
04000     2.1640      0.2617     0.3045     0.2024
04100     2.1208      0.2695     0.3045     0.1898
04200     2.1005      0.2949     0.3045     0.1923
04300     2.0900      0.2598     0.3045     0.1911
04400     2.1200      0.3047     0.3045     0.2123
04500     2.1431      0.2051     0.3045     0.2051
04600     2.1083      0.2539     0.3045     0.2046
04700     2.2183      0.2188     0.3045     0.1997
04800     2.1252      0.3027     0.3045     0.1963
04900     2.1242      0.2773     0.3045     0.1922
05000     2.1328      0.3145     0.3045     0.2121
05100     2.0822      0.2617     0.3045     0.1950
05200     2.0576      0.2832     0.3045     0.1968
05300     2.1124      0.2832     0.3045     0.2031
05400     2.1561      0.2227     0.3045     0.1924
05500     2.0930      0.3086     0.3045     0.1973
05600     2.0920      0.2617     0.3045     0.1900
05700     2.0963      0.2852     0.3045     0.2074
05800     2.0911      0.3027     0.3045     0.1886
05900     2.0747      0.2715     0.3045     0.1980
06000     2.0769      0.3066     0.3045     0.2334
06100     2.0848      0.2637     0.3045     0.2047
06200     2.1028      0.2910     0.3045     0.1924
06300     2.0605      0.2832     0.3045     0.2019
06400     2.1023      0.2461     0.3073     0.1904
06500     2.0857      0.2891     0.3073     0.2135
06600     2.0673      0.2930     0.3073     0.2062
06700     2.0762      0.2695     0.3073     0.1917
06800     2.0758      0.2773     0.3073     0.2089
06900     2.1490      0.2324     0.3073     0.1936
07000     2.0881      0.2754     0.3073     0.1966
