Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(batch_size=512, cy_div=2, cy_scale=2, dataloader_num_workers=4, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', epochs=20000, global_beta=1.5, hidden=256, hop_length=320, hp_bw=False, init_factor=2, learning_rate=0.0005, lr_divide=10000, n_mfcc=40, noise_injection=0.1, quant_actMVM=0, quant_actNM=8, quant_inp=4, quant_w=None, sample_rate=16000, std_scale=2, testing_percentage=10, validation_percentage=10, validation_size=4000, win_length=400, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
d4231725-dbe8-4b12-8998-6cbcb28c929b
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5222      0.0801     0.0773     0.2264
00100     2.4868      0.0820     0.1050     0.1509
00200     2.4497      0.1172     0.1265     0.1470
00300     2.3478      0.1367     0.1695     0.1431
00400     2.3407      0.1465     0.2098     0.1531
00500     2.2851      0.1836     0.2160     0.1481
00600     2.2390      0.2246     0.2318     0.1386
00700     2.2614      0.2090     0.2318     0.1472
00800     2.2479      0.2031     0.2318     0.1535
00900     2.2262      0.2109     0.2430     0.1350
01000     2.1636      0.2266     0.2595     0.1533
01100     2.2028      0.2207     0.2655     0.1438
01200     2.1230      0.2754     0.3025     0.1413
01300     2.0188      0.3281     0.3203     0.1378
01400     2.0454      0.3301     0.3535     0.1409
01500     2.0160      0.3164     0.3748     0.1465
01600     1.8560      0.3672     0.3980     0.1453
01700     1.8261      0.3652     0.3990     0.1365
01800     1.7511      0.3965     0.4410     0.1458
01900     1.5795      0.4961     0.4653     0.1421
02000     1.6499      0.4629     0.4885     0.1376
02100     1.6498      0.4316     0.4935     0.1451
02200     1.5230      0.4961     0.5235     0.1505
02300     1.5518      0.4453     0.5235     0.1343
02400     1.5214      0.4863     0.5235     0.1455
02500     1.5401      0.5000     0.5328     0.1450
02600     1.5352      0.4980     0.5388     0.1485
02700     1.4850      0.4824     0.5408     0.1575
02800     1.2396      0.5488     0.5498     0.1351
02900     1.3365      0.5527     0.5498     0.1624
03000     1.4877      0.4922     0.5565     0.1362
03100     1.3880      0.5391     0.5600     0.1442
03200     1.7078      0.4180     0.5640     0.1415
03300     1.4338      0.5215     0.5640     0.1406
03400     1.5156      0.4844     0.5640     0.1571
03500     1.2644      0.5254     0.5640     0.1377
03600     1.2352      0.5840     0.5983     0.1420
03700     1.1682      0.6289     0.6145     0.1367
03800     1.1833      0.6055     0.6238     0.1407
03900     1.2215      0.5762     0.6678     0.1457
04000     1.0464      0.6738     0.6823     0.1770
04100     0.9572      0.6660     0.6868     0.1492
04200     1.0528      0.6445     0.6898     0.1643
04300     1.0364      0.6602     0.7160     0.1573
04400     0.9481      0.7188     0.7263     0.1430
04500     1.0201      0.6602     0.7263     0.1439
04600     1.0258      0.6621     0.7263     0.1463
04700     1.0175      0.6719     0.7263     0.1441
04800     0.8960      0.7129     0.7413     0.1536
04900     0.8884      0.7285     0.7438     0.1437
05000     0.7989      0.7500     0.7563     0.1420
05100     0.8566      0.7266     0.7563     0.1383
05200     0.8297      0.7520     0.7563     0.1506
05300     0.8753      0.7129     0.7625     0.1439
05400     0.8839      0.7363     0.7645     0.1419
05500     0.8440      0.7363     0.7663     0.1460
05600     0.7785      0.7578     0.7718     0.1436
05700     0.9007      0.7031     0.7718     0.1365
05800     0.7522      0.7715     0.7788     0.1446
05900     0.7753      0.7559     0.7798     0.1348
06000     0.7719      0.7715     0.7798     0.1382
06100     0.8172      0.7344     0.7873     0.1638
06200     0.7413      0.7637     0.7935     0.1456
06300     0.8169      0.7383     0.7935     0.1379
06400     0.7141      0.7812     0.7935     0.1546
06500     0.8170      0.7598     0.7948     0.1471
06600     0.7163      0.7793     0.7955     0.1739
06700     0.7373      0.7539     0.7995     0.1386
06800     0.6625      0.7910     0.8073     0.1402
06900     0.7039      0.7695     0.8073     0.1441
07000     0.7918      0.7383     0.8073     0.1461
07100     0.6969      0.7812     0.8073     0.1460
07200     0.7271      0.7910     0.8078     0.1449
07300     0.6181      0.8105     0.8180     0.1394
07400     0.7012      0.7773     0.8180     0.1434
07500     0.6014      0.8281     0.8180     0.1397
07600     0.6501      0.7832     0.8180     0.1381
07700     0.7219      0.7812     0.8195     0.1346
07800     0.7100      0.7930     0.8203     0.1429
07900     0.5951      0.8203     0.8203     0.1442
08000     0.6981      0.7832     0.8250     0.1369
08100     0.6874      0.7930     0.8268     0.1410
08200     0.6307      0.8066     0.8270     0.1491
08300     0.6816      0.7715     0.8270     0.1381
08400     0.5967      0.8125     0.8270     0.1438
08500     0.7122      0.7734     0.8270     0.1565
08600     0.7139      0.7676     0.8300     0.1441
08700     0.6085      0.8066     0.8310     0.1363
08800     0.5997      0.8066     0.8310     0.1416
08900     0.6079      0.7910     0.8330     0.1367
09000     0.5481      0.8320     0.8330     0.1382
09100     0.6420      0.8242     0.8330     0.1459
09200     0.5792      0.8262     0.8405     0.1411
09300     0.5770      0.8105     0.8405     0.1441
09400     0.6544      0.7812     0.8405     0.1481
09500     0.6143      0.8262     0.8405     0.1333
09600     0.5441      0.8145     0.8405     0.1338
09700     0.5255      0.8281     0.8410     0.1352
09800     0.6055      0.8066     0.8410     0.1469
09900     0.5785      0.8164     0.8410     0.1351
10000     0.6300      0.8008     0.8478     0.1452
10100     0.5047      0.8398     0.8523     0.1431
10200     0.5959      0.8242     0.8523     0.1497
10300     0.4891      0.8438     0.8523     0.1390
10400     0.5244      0.8418     0.8523     0.1401
10500     0.5748      0.8418     0.8523     0.1506
10600     0.5501      0.8262     0.8523     0.1388
10700     0.5919      0.8203     0.8523     0.1379
10800     0.6449      0.8086     0.8558     0.1365
10900     0.5237      0.8418     0.8558     0.1478
11000     0.4538      0.8418     0.8558     0.1476
11100     0.5145      0.8223     0.8558     0.1473
11200     0.4872      0.8418     0.8558     0.1601
11300     0.5094      0.8457     0.8558     0.1411
11400     0.5212      0.8262     0.8568     0.1557
11500     0.5635      0.8242     0.8568     0.1448
11600     0.4754      0.8379     0.8568     0.1562
11700     0.5297      0.8301     0.8568     0.1533
11800     0.4482      0.8652     0.8568     0.1358
11900     0.5122      0.8359     0.8568     0.1387
12000     0.6209      0.7910     0.8615     0.1420
12100     0.5502      0.8379     0.8700     0.1448
12200     0.5467      0.8457     0.8700     0.1358
12300     0.5132      0.8516     0.8700     0.1489
12400     0.4859      0.8535     0.8700     0.1549
12500     0.5122      0.8477     0.8700     0.1373
12600     0.5751      0.8301     0.8700     0.1574
12700     0.5172      0.8496     0.8700     0.1377
12800     0.4624      0.8672     0.8700     0.1442
12900     0.5485      0.8281     0.8700     0.1421
13000     0.5284      0.8398     0.8700     0.1398
13100     0.5007      0.8301     0.8700     0.1325
13200     0.4178      0.8691     0.8700     0.1353
13300     0.5199      0.8281     0.8700     0.1407
13400     0.5178      0.8223     0.8700     0.1424
13500     0.4715      0.8398     0.8700     0.1414
13600     0.4855      0.8379     0.8700     0.1516
13700     0.5389      0.8242     0.8700     0.1403
13800     0.4330      0.8516     0.8700     0.1518
13900     0.4363      0.8555     0.8700     0.1497
14000     0.5433      0.8340     0.8700     0.1377
14100     0.4868      0.8457     0.8700     0.1329
14200     0.4934      0.8418     0.8700     0.1601
14300     0.4908      0.8613     0.8700     0.1473
14400     0.4617      0.8555     0.8700     0.1324
14500     0.4286      0.8809     0.8700     0.1388
14600     0.3735      0.8926     0.8700     0.1462
14700     0.4157      0.8672     0.8700     0.1418
14800     0.4148      0.8906     0.8700     0.1340
14900     0.4849      0.8438     0.8700     0.1386
15000     0.3577      0.8730     0.8700     0.1370
15100     0.4558      0.8633     0.8700     0.1563
15200     0.4366      0.8594     0.8700     0.1344
15300     0.4302      0.8594     0.8700     0.1311
15400     0.4603      0.8496     0.8700     0.1372
15500     0.4584      0.8652     0.8700     0.1305
15600     0.5369      0.8340     0.8700     0.1484
15700     0.4288      0.8730     0.8700     0.1375
15800     0.5277      0.8242     0.8700     0.1337
15900     0.4595      0.8633     0.8735     0.1452
16000     0.4921      0.8457     0.8735     0.1370
16100     0.4753      0.8516     0.8735     0.1424
16200     0.4802      0.8555     0.8735     0.1397
16300     0.4135      0.8711     0.8748     0.1369
16400     0.5011      0.8457     0.8748     0.1456
16500     0.4091      0.8848     0.8748     0.1648
16600     0.4253      0.8672     0.8748     0.1378
16700     0.4024      0.8730     0.8748     0.1463
16800     0.3842      0.8809     0.8748     0.1617
16900     0.4403      0.8652     0.8748     0.1475
17000     0.4548      0.8672     0.8748     0.1376
17100     0.4489      0.8477     0.8748     0.1478
17200     0.3923      0.8789     0.8750     0.1343
17300     0.3640      0.8711     0.8758     0.1351
17400     0.4118      0.8691     0.8758     0.1420
17500     0.4140      0.8867     0.8770     0.1400
17600     0.5340      0.8301     0.8770     0.1469
17700     0.3965      0.8750     0.8770     0.1496
17800     0.3915      0.8789     0.8788     0.1451
17900     0.4309      0.8574     0.8788     0.1458
18000     0.3954      0.8926     0.8788     0.1435
18100     0.3678      0.8867     0.8788     0.1358
18200     0.5041      0.8457     0.8788     0.1340
18300     0.4114      0.8652     0.8800     0.1433
18400     0.4201      0.8984     0.8800     0.1453
18500     0.4301      0.8594     0.8800     0.1349
18600     0.4718      0.8438     0.8800     0.1457
18700     0.4196      0.8750     0.8800     0.1395
18800     0.4142      0.8789     0.8800     0.1423
18900     0.4527      0.8398     0.8800     0.1362
19000     0.4638      0.8457     0.8800     0.1539
19100     0.4309      0.8652     0.8800     0.1467
19200     0.4308      0.8770     0.8800     0.1424
19300     0.4341      0.8691     0.8800     0.1441
19400     0.4372      0.8672     0.8810     0.1504
19500     0.3552      0.8809     0.8810     0.1503
19600     0.4583      0.8418     0.8810     0.1586
19700     0.3698      0.8809     0.8818     0.1475
19800     0.4115      0.8594     0.8818     0.1744
19900     0.3589      0.8887     0.8818     0.1481
Start Testing:
Test Accuracy: 0.8478
