Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(batch_size=512, cy_div=2, cy_scale=2, dataloader_num_workers=4, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', epochs=20000, global_beta=1.5, hidden=256, hop_length=320, hp_bw=False, init_factor=2, learning_rate=0.0005, lr_divide=10000, n_mfcc=40, noise_injection=0.1, quant_actMVM=6, quant_actNM=0, quant_inp=4, quant_w=None, sample_rate=16000, std_scale=2, testing_percentage=10, validation_percentage=10, validation_size=4000, win_length=400, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
bb72a034-9b57-4caa-ba4a-ccd63fa041b4
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.4965      0.0996     0.0913     0.2219
00100     2.4516      0.1406     0.1360     0.1484
00200     2.4320      0.1367     0.1623     0.1462
00300     2.4488      0.1250     0.1623     0.1410
00400     2.4496      0.1250     0.1623     0.1511
00500     2.4391      0.1465     0.1643     0.1466
00600     2.4230      0.1641     0.1690     0.1381
00700     2.4286      0.1777     0.1690     0.1433
00800     2.4313      0.1348     0.1690     0.1450
00900     2.4268      0.1523     0.1690     0.1677
01000     2.4263      0.1367     0.1690     0.1466
01100     2.4656      0.1152     0.1690     0.1411
01200     2.4768      0.0879     0.1690     0.1452
01300     2.4403      0.1895     0.1690     0.1509
01400     2.4619      0.1152     0.1690     0.1469
01500     2.4636      0.0898     0.1690     0.1462
01600     2.4610      0.1191     0.1690     0.1469
01700     2.4555      0.1133     0.1690     0.1450
01800     2.4685      0.1211     0.1690     0.1499
01900     2.4494      0.1543     0.1690     0.1481
02000     2.4321      0.1367     0.1690     0.1542
02100     2.4634      0.1055     0.1690     0.1451
02200     2.4555      0.1250     0.1690     0.1472
02300     2.4551      0.1445     0.1695     0.1379
02400     2.4188      0.1895     0.1848     0.1446
02500     2.5331      0.0820     0.1848     0.1474
02600     2.5388      0.0762     0.1848     0.1435
02700     2.4484      0.1445     0.1848     0.1536
02800     2.4256      0.1484     0.1848     0.1507
02900     2.4315      0.1484     0.1848     0.1408
03000     2.4363      0.1621     0.1848     0.1541
03100     2.4274      0.1543     0.1848     0.1459
03200     2.4314      0.1562     0.1848     0.1512
03300     2.4340      0.1387     0.1848     0.1465
03400     2.4383      0.1387     0.1848     0.1491
03500     2.4342      0.1426     0.1848     0.1483
03600     2.4444      0.1289     0.1848     0.1500
03700     2.4408      0.1465     0.1848     0.1487
03800     2.4361      0.1406     0.1848     0.1410
03900     2.4358      0.1602     0.1848     0.1496
04000     2.4268      0.1406     0.1848     0.1434
04100     2.4258      0.1562     0.1848     0.1382
04200     2.4287      0.1680     0.1848     0.1460
04300     2.4406      0.1484     0.1848     0.1483
04400     2.4143      0.1699     0.1848     0.1430
04500     2.4237      0.1387     0.1848     0.1453
04600     2.4474      0.1406     0.1848     0.1501
04700     2.4183      0.1621     0.1848     0.1497
04800     2.4235      0.1855     0.1848     0.1388
04900     2.4200      0.1582     0.1848     0.1372
05000     2.4129      0.1758     0.1848     0.1463
05100     2.4329      0.1367     0.1848     0.1482
05200     2.4192      0.1602     0.1848     0.1473
05300     2.4262      0.1758     0.1848     0.1458
05400     2.4424      0.1309     0.1848     0.1401
05500     2.4263      0.1836     0.1848     0.1472
05600     2.4063      0.1758     0.1848     0.1476
05700     2.4208      0.1660     0.1848     0.1380
05800     2.4274      0.1562     0.1848     0.1485
05900     2.4258      0.1426     0.1848     0.1512
06000     2.4162      0.1836     0.1848     0.1383
06100     2.4340      0.1426     0.1848     0.1668
06200     2.4260      0.1445     0.1848     0.1386
06300     2.4248      0.1660     0.1848     0.1433
06400     2.4342      0.1562     0.1848     0.1428
06500     2.4356      0.1484     0.1848     0.1487
06600     2.4394      0.1426     0.1848     0.1430
06700     2.4422      0.1250     0.1848     0.1499
06800     2.4208      0.1465     0.1848     0.1416
06900     2.4291      0.1348     0.1848     0.1447
07000     2.4293      0.1465     0.1848     0.1502
07100     2.4406      0.1328     0.1848     0.1489
07200     2.4241      0.1621     0.1848     0.1365
07300     2.4049      0.1895     0.1848     0.1483
07400     2.4366      0.1250     0.1848     0.1419
07500     2.4307      0.1582     0.1848     0.1512
07600     2.4061      0.1621     0.1848     0.1468
07700     2.4212      0.1426     0.1848     0.1482
07800     2.4194      0.1621     0.1848     0.1404
07900     2.4216      0.1582     0.1848     0.1456
08000     2.4208      0.1621     0.1848     0.1531
08100     2.4213      0.1543     0.1848     0.1680
08200     2.4143      0.1621     0.1848     0.1494
08300     2.4277      0.1582     0.1848     0.1463
08400     2.4145      0.1680     0.1848     0.1434
08500     2.4126      0.1777     0.1848     0.1461
08600     2.4277      0.1680     0.1848     0.1443
08700     2.4293      0.1484     0.1848     0.1651
08800     2.4390      0.1562     0.1848     0.1703
08900     2.4260      0.1523     0.1848     0.1689
09000     2.4399      0.1309     0.1848     0.1475
09100     2.4218      0.1680     0.1848     0.1466
09200     2.4258      0.1719     0.1848     0.1453
09300     2.4291      0.1641     0.1848     0.1548
09400     2.4178      0.1445     0.1848     0.1528
09500     2.4203      0.1621     0.1848     0.1458
09600     2.4211      0.1504     0.1848     0.1515
09700     2.4110      0.1660     0.1848     0.1621
09800     2.4441      0.1367     0.1848     0.1447
09900     2.4260      0.1523     0.1848     0.1439
10000     2.4126      0.1523     0.1848     0.1469
10100     2.4241      0.1621     0.1848     0.1451
10200     2.4176      0.1484     0.1848     0.1551
10300     2.4439      0.1250     0.1848     0.1475
10400     2.4148      0.1641     0.1848     0.1384
10500     2.4323      0.1523     0.1848     0.1499
10600     2.4389      0.1504     0.1848     0.1493
10700     2.5275      0.0879     0.1848     0.1501
10800     2.5350      0.0801     0.1848     0.1448
10900     2.5445      0.0703     0.1848     0.1510
11000     2.5350      0.0801     0.1848     0.1477
11100     2.5256      0.0898     0.1848     0.1569
11200     2.5180      0.0977     0.1848     0.1420
11300     2.5407      0.0742     0.1848     0.1416
11400     2.5237      0.0918     0.1848     0.1480
11500     2.5237      0.0918     0.1848     0.1517
11600     2.4422      0.1367     0.1848     0.1508
11700     2.4159      0.1719     0.1848     0.1553
11800     2.4389      0.1367     0.1848     0.1546
11900     2.4394      0.1348     0.1848     0.1474
12000     2.4258      0.1680     0.1848     0.1456
12100     2.4176      0.1602     0.1848     0.1480
12200     2.4277      0.1484     0.1848     0.1518
12300     2.4333      0.1426     0.1848     0.1486
12400     2.4359      0.1465     0.1848     0.1431
12500     2.4129      0.1523     0.1848     0.1477
12600     2.4258      0.1699     0.1848     0.1515
12700     2.4028      0.1855     0.1848     0.1534
12800     2.4408      0.1211     0.1848     0.1483
12900     2.4373      0.1348     0.1848     0.1511
13000     2.4110      0.1680     0.1848     0.1477
13100     2.4194      0.1445     0.1848     0.1482
13200     2.4345      0.1406     0.1848     0.1405
13300     2.4143      0.1582     0.1848     0.1500
13400     2.4030      0.2012     0.1848     0.1462
13500     2.4408      0.1270     0.1848     0.1513
13600     2.4159      0.1719     0.1848     0.1520
13700     2.4231      0.1680     0.1848     0.1486
13800     2.4375      0.1523     0.1848     0.1441
13900     2.4347      0.1309     0.1848     0.1455
14000     2.4291      0.1602     0.1848     0.1683
14100     2.4457      0.1562     0.1848     0.1389
