Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', hidden=118, hop_length=320, l2=0.0, learning_rate='0.0005,0.0001,0.00002', n_mfcc=10, noise_injectionT=0.1, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=0, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
af886f1c-54b1-4e2e-809f-29ced0165090
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.7675      0.0400     0.0918     13.3776
00100     2.5020      0.1300     0.1170     40.5698
00200     2.3430      0.1900     0.1845     41.7026
00300     2.2819      0.2000     0.2324     40.6546
00400     2.3286      0.1900     0.2709     39.9475
00500     2.0550      0.3400     0.2846     37.9213
00600     2.1158      0.2700     0.3174     40.0618
00700     1.9542      0.2400     0.3490     41.4009
00800     2.1084      0.2900     0.3698     39.7496
00900     1.9120      0.3200     0.3881     38.2050
01000     2.0190      0.2700     0.4193     38.8446
01100     1.7983      0.4100     0.4298     38.7459
01200     1.7870      0.4200     0.4454     38.9945
01300     1.8271      0.3800     0.4715     40.5941
01400     1.7994      0.3600     0.4761     38.0026
01500     1.6362      0.4100     0.4831     38.3873
01600     1.5361      0.4900     0.5099     39.3427
01700     1.4535      0.5500     0.5099     42.2050
01800     1.7255      0.4300     0.5254     40.0732
01900     1.6832      0.4000     0.5254     38.2668
02000     1.5705      0.4200     0.5319     42.0553
02100     1.6026      0.4800     0.5319     39.4449
02200     1.4007      0.4600     0.5482     41.5818
02300     1.9367      0.4100     0.5482     37.5322
02400     1.5751      0.4800     0.5580     38.0572
02500     1.7060      0.4800     0.5629     37.6920
02600     1.5725      0.5000     0.5629     38.3840
02700     1.6485      0.4500     0.5629     37.9378
02800     1.5370      0.4600     0.5642     41.3393
02900     1.6048      0.5000     0.5646     39.0494
03000     1.3810      0.5100     0.5673     40.9501
03100     1.5883      0.4800     0.5719     38.8151
03200     1.5477      0.4500     0.5719     38.7299
03300     1.7152      0.4600     0.5735     40.1949
03400     1.3954      0.5100     0.5829     40.1975
03500     1.4628      0.4500     0.5830     41.1814
03600     1.3883      0.5500     0.5859     38.0371
03700     1.5768      0.5000     0.5859     37.6947
03800     1.6590      0.4700     0.5909     43.1042
03900     1.6400      0.4000     0.5909     40.0556
04000     1.4111      0.5300     0.5944     37.7814
04100     1.3910      0.5600     0.5961     40.7519
04200     1.6040      0.4400     0.5961     40.1865
04300     1.5727      0.4300     0.6074     42.1667
04400     1.6840      0.4100     0.6074     41.5891
04500     1.4746      0.4900     0.6095     38.8842
04600     1.4331      0.5200     0.6105     39.3630
04700     1.4710      0.4900     0.6105     38.7478
04800     1.5216      0.5300     0.6139     39.7083
04900     1.4576      0.4800     0.6139     37.8771
05000     1.3685      0.5100     0.6139     42.8354
05100     1.5383      0.5100     0.6139     40.7170
05200     1.4741      0.5300     0.6180     40.7969
05300     1.5344      0.4700     0.6180     40.7765
05400     1.6074      0.5100     0.6190     41.2766
05500     1.4079      0.5200     0.6219     43.7319
05600     1.4179      0.5100     0.6219     40.0202
05700     1.3216      0.5500     0.6219     38.8072
05800     1.4992      0.5600     0.6219     40.1475
05900     1.4260      0.5600     0.6288     38.5569
06000     1.5518      0.4600     0.6288     40.1300
06100     1.6839      0.4500     0.6288     39.8609
06200     1.3572      0.5000     0.6288     39.4545
06300     1.3296      0.5500     0.6288     37.3697
06400     1.5780      0.5400     0.6288     40.7879
06500     1.4594      0.5000     0.6288     38.8185
06600     1.3836      0.5100     0.6288     38.7426
06700     1.1073      0.6400     0.6318     38.0996
06800     1.5091      0.4500     0.6318     40.5200
06900     1.3172      0.5400     0.6318     41.2378
07000     1.7617      0.3900     0.6318     43.8253
07100     1.3344      0.5100     0.6337     41.1183
07200     1.4303      0.5200     0.6355     41.1654
07300     1.5461      0.4400     0.6355     40.8077
07400     1.4168      0.4900     0.6355     39.3107
07500     1.4075      0.5700     0.6355     39.1560
07600     1.3123      0.5700     0.6355     41.0943
07700     1.4157      0.4800     0.6367     38.7458
07800     1.6309      0.4500     0.6372     40.3802
07900     1.2631      0.5100     0.6372     41.3458
08000     1.6015      0.5200     0.6372     41.2989
08100     1.5419      0.4900     0.6398     41.0582
08200     1.3234      0.5500     0.6398     40.0711
08300     1.4031      0.5500     0.6410     40.5696
08400     1.5388      0.4900     0.6410     40.4499
08500     1.2959      0.5400     0.6410     41.8029
08600     1.4571      0.5100     0.6410     39.9610
08700     1.7711      0.4900     0.6410     38.3610
08800     1.3262      0.5600     0.6410     39.7294
08900     1.4888      0.5200     0.6460     38.9478
09000     1.4255      0.5000     0.6460     42.4422
09100     1.4935      0.4900     0.6460     39.0457
09200     1.3832      0.5400     0.6460     38.7243
09300     1.1774      0.5700     0.6460     40.6850
09400     1.3399      0.5900     0.6460     39.2855
09500     1.4685      0.5100     0.6460     42.1573
09600     1.5121      0.5500     0.6460     41.5266
09700     1.6648      0.4500     0.6460     40.8814
09800     1.4715      0.5000     0.6460     41.2842
09900     1.3578      0.5700     0.6475     39.0631
10000     1.5894      0.4900     0.6475     41.3813
10100     1.3014      0.5500     0.6475     37.9023
10200     1.3161      0.5900     0.6475     41.0453
10300     1.4621      0.5500     0.6475     39.5440
10400     1.4573      0.5200     0.6475     42.2227
10500     1.5005      0.4400     0.6501     42.5120
10600     1.2302      0.5600     0.6501     38.3943
10700     1.6404      0.4000     0.6501     39.3790
10800     1.1995      0.6000     0.6501     39.2098
10900     1.3903      0.5300     0.6501     38.8435
11000     1.5748      0.5200     0.6501     44.3281
11100     1.3531      0.5500     0.6501     42.9584
11200     1.4960      0.4500     0.6501     38.6141
11300     1.3886      0.5100     0.6501     42.6359
11400     1.4867      0.5300     0.6501     40.7234
11500     1.4860      0.4200     0.6501     43.6767
11600     1.5337      0.5300     0.6501     39.3707
11700     1.3017      0.5900     0.6501     39.7138
11800     1.0961      0.6300     0.6501     40.0109
11900     1.3910      0.4900     0.6501     39.8902
12000     1.4995      0.4800     0.6515     40.7779
12100     1.5780      0.4700     0.6515     42.8432
