Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', hidden=118, hop_length=320, l2=0.005, learning_rate='0.0005,0.0001,0.00002', n_mfcc=50, noise_injectionT=0.1, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=0, random_seed=8627169, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
82bb7f27-660d-4032-9772-1573d7a36044
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     3.3528      0.0500     0.0806     21.4148
00100     3.1040      0.1400     0.1875     92.1913
00200     2.7936      0.2400     0.2933     92.1309
00300     2.6040      0.3600     0.3799     93.0949
00400     2.4510      0.3600     0.4157     93.7507
00500     2.2645      0.4700     0.4382     92.4981
00600     2.2324      0.4000     0.4658     93.0602
00700     2.0574      0.5800     0.5097     93.7126
00800     2.1345      0.4800     0.5231     92.8800
00900     1.9702      0.4800     0.5389     92.9473
01000     2.1033      0.4700     0.5556     93.8927
01100     2.0270      0.5000     0.5680     93.6588
01200     1.7075      0.6500     0.5920     93.9233
01300     2.1576      0.5300     0.5920     92.5311
01400     2.0205      0.5300     0.6026     93.3080
01500     2.0619      0.5200     0.6026     93.2706
01600     1.8379      0.5600     0.6077     92.5372
01700     1.6747      0.6600     0.6209     93.2510
01800     1.8848      0.6200     0.6304     92.3485
01900     1.9175      0.5600     0.6466     92.1295
02000     1.6691      0.6100     0.6466     91.6365
02100     1.8741      0.5900     0.6548     92.3964
02200     1.8994      0.6300     0.6548     92.0921
02300     1.8130      0.6000     0.6548     92.8567
02400     1.8950      0.5800     0.6548     92.6358
02500     1.8877      0.5600     0.6620     92.1595
02600     1.7775      0.5900     0.6620     93.1967
02700     1.7752      0.6900     0.6620     93.0381
02800     2.0747      0.5500     0.6620     92.6121
02900     1.8982      0.5800     0.6620     92.8506
03000     1.8429      0.6200     0.6675     92.5557
03100     1.7080      0.6800     0.6675     92.4434
03200     1.7192      0.6600     0.6713     93.6077
03300     1.6616      0.6700     0.6765     92.7795
03400     1.6718      0.6400     0.6765     93.3601
03500     1.7387      0.6500     0.6765     93.6345
03600     1.6643      0.6400     0.6765     93.8544
03700     1.7244      0.6200     0.6765     93.2654
03800     1.8283      0.5900     0.6882     92.7335
03900     1.4846      0.6800     0.6945     92.2228
04000     1.6286      0.7100     0.6961     93.5101
04100     1.4803      0.7200     0.6961     93.4724
04200     1.9094      0.6000     0.6968     92.2683
04300     1.7265      0.6300     0.6968     92.7352
04400     1.7786      0.6300     0.6968     94.2381
04500     1.6044      0.6400     0.6968     92.7253
04600     1.6889      0.5700     0.6968     93.3295
04700     1.9090      0.6000     0.6968     92.8168
04800     1.5147      0.6900     0.6968     92.2975
04900     1.9474      0.5500     0.6981     93.6839
05000     1.5808      0.6900     0.6986     92.7379
05100     1.8247      0.6200     0.7056     93.0660
05200     1.5246      0.6700     0.7077     92.4738
05300     1.6958      0.6600     0.7077     91.8711
05400     1.4399      0.7300     0.7077     93.2407
05500     1.4962      0.7000     0.7209     92.3216
05600     1.8634      0.6100     0.7209     93.2430
05700     1.5486      0.7000     0.7209     93.9919
05800     1.9193      0.6200     0.7209     92.6195
