Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', hidden=118, hop_length=320, l2=0.005, learning_rate='0.0005,0.0001,0.00002', n_mfcc=60, noise_injectionT=0.1, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=0, random_seed=235899598, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
18dba1a6-e371-41b1-b3c7-c4550ba62e25
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     3.4651      0.0600     0.0781     17.1959
00100     3.0497      0.2400     0.2340     77.8510
00200     2.8105      0.2600     0.3160     78.6875
00300     2.6257      0.3200     0.3598     80.0792
00400     2.3544      0.4100     0.4034     77.7548
00500     2.3993      0.3800     0.4299     84.4164
00600     2.4160      0.3400     0.4667     74.1814
00700     2.3092      0.4600     0.4925     72.5318
00800     2.2046      0.4700     0.4925     76.4631
00900     2.1914      0.4400     0.5320     73.3685
01000     2.2774      0.4400     0.5330     72.6762
01100     2.1239      0.5200     0.5461     72.4668
01200     2.0471      0.5300     0.5476     76.4429
01300     2.1010      0.4900     0.5571     73.1106
01400     2.2575      0.4700     0.5705     76.7099
01500     1.9448      0.6100     0.5985     73.4280
01600     1.7924      0.6000     0.5985     72.1905
01700     2.1792      0.4800     0.5990     77.2859
01800     2.0574      0.5400     0.6022     72.1967
01900     1.9208      0.5800     0.6148     77.9757
02000     1.9955      0.5600     0.6148     77.2363
02100     1.7934      0.5800     0.6234     75.4244
02200     2.0299      0.5600     0.6234     74.8040
02300     1.7600      0.6300     0.6246     72.4703
02400     2.1985      0.5000     0.6348     77.1170
02500     1.8019      0.6500     0.6348     74.8325
02600     1.8092      0.5700     0.6518     74.2502
02700     1.7558      0.6600     0.6532     73.3392
02800     1.6979      0.6200     0.6532     76.1981
02900     1.8813      0.5900     0.6532     73.1694
03000     1.9083      0.5500     0.6532     73.2140
03100     1.5366      0.6800     0.6532     72.6695
03200     1.7429      0.6500     0.6532     74.7959
03300     1.8915      0.6100     0.6623     75.6558
03400     1.8921      0.5600     0.6623     72.2777
03500     1.8744      0.5900     0.6623     75.4109
03600     1.8908      0.5900     0.6623     73.1747
03700     1.8858      0.5600     0.6687     75.8153
03800     1.9606      0.5400     0.6687     73.1738
03900     1.7000      0.5900     0.6687     74.3377
04000     1.8906      0.5800     0.6687     76.7785
04100     2.0263      0.5700     0.6687     72.2883
04200     1.6698      0.6600     0.6715     75.5622
04300     1.9856      0.5700     0.6715     80.0208
04400     1.8874      0.6200     0.6715     77.0655
04500     1.8354      0.6500     0.6741     73.8302
04600     1.7936      0.6200     0.6741     74.3543
04700     1.6815      0.6500     0.6741     78.7626
04800     1.5981      0.6900     0.6741     75.5986
04900     1.4603      0.7300     0.6768     76.3639
05000     1.7104      0.6400     0.6768     72.7668
05100     1.6811      0.6200     0.6768     75.9756
05200     2.0577      0.5900     0.6768     74.2071
