Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(batch_size=256, cy_div=2, cy_scale=2, dataloader_num_workers=4, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', epochs=45000, global_beta=1.5, hidden=100, hop_length=320, hp_bw=False, init_factor=2, learning_rate=0.0005, lr_divide=15000, lstm_blocks=6, n_mfcc=64, noise_injectionI=0.1, noise_injectionT=0.1, pool_method='max', quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, sample_rate=16000, std_scale=3, testing_percentage=10, validation_batch=8192, validation_percentage=10, validation_size=3, win_length=400, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
a295cf0a-612b-41f5-8dda-2d443ce26bca
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5987      0.0664     0.0898     1.4821
00100     2.3959      0.1602     0.1966     1.1207
00200     2.2513      0.2930     0.2799     1.2849
00300     2.1511      0.3242     0.3151     1.0229
00400     2.0549      0.3906     0.3477     1.1131
00500     2.0523      0.3672     0.3724     1.2216
00600     2.0739      0.3359     0.3815     1.2254
00700     2.0653      0.3398     0.3893     1.0757
00800     2.0495      0.3125     0.3971     1.0484
00900     2.0146      0.3477     0.3997     1.1197
01000     2.1683      0.2305     0.3997     1.1426
01100     1.9367      0.4062     0.3997     1.0771
01200     1.9431      0.4609     0.4232     1.1318
01300     1.8955      0.3438     0.4232     1.0619
01400     1.8491      0.4336     0.4323     1.0864
01500     1.9913      0.3359     0.4323     1.5801
01600     1.8797      0.4258     0.4609     1.1143
01700     1.9931      0.2891     0.4609     1.0672
01800     1.8353      0.3906     0.4609     1.0978
01900     1.8155      0.4648     0.4609     1.0574
02000     1.8149      0.4219     0.4805     1.1702
02100     1.8240      0.4219     0.4805     1.0683
02200     1.8112      0.4336     0.4805     1.0786
02300     1.8733      0.4062     0.4805     1.1310
02400     1.8373      0.4453     0.4805     1.6200
02500     1.8698      0.3906     0.4805     1.0181
02600     1.9189      0.3906     0.4805     1.1358
02700     1.9009      0.3828     0.4805     1.2009
02800     1.8587      0.3320     0.4805     1.0147
02900     1.7725      0.4375     0.4805     1.1431
03000     1.8816      0.3984     0.4805     1.0757
03100     1.7876      0.4375     0.4805     1.0297
03200     1.8263      0.4297     0.4805     1.3740
03300     1.7658      0.4375     0.4805     1.1360
03400     1.8095      0.4297     0.4805     1.2471
03500     1.7548      0.4180     0.4805     1.1178
03600     1.7700      0.4297     0.4805     1.1064
03700     1.7600      0.3633     0.4805     1.0235
03800     1.8412      0.3359     0.4805     1.0270
03900     1.8554      0.3125     0.4805     1.3210
04000     1.8455      0.4023     0.4805     1.0578
04100     1.8551      0.3828     0.4805     1.1064
04200     1.8091      0.3906     0.4805     1.3134
04300     1.7943      0.3711     0.4805     1.0405
04400     1.7553      0.3789     0.4805     1.2265
04500     1.7508      0.3750     0.4805     1.0079
04600     1.6964      0.4570     0.4805     1.0458
04700     1.7427      0.4219     0.4805     1.0290
04800     1.7982      0.4336     0.4805     1.0235
04900     1.7342      0.4336     0.4805     1.0693
05000     1.7795      0.4336     0.4805     1.0711
05100     1.7811      0.4531     0.4974     1.1227
05200     1.7053      0.3789     0.4974     1.1030
05300     1.7581      0.4219     0.4974     1.2950
05400     1.7206      0.4609     0.4974     1.0918
05500     1.6842      0.4141     0.4974     1.2874
05600     1.7347      0.5039     0.4974     1.1094
05700     1.6894      0.4570     0.5078     1.0653
05800     1.6891      0.4609     0.5078     1.3043
05900     1.6878      0.4375     0.5078     1.0393
06000     1.8277      0.4062     0.5078     1.0921
06100     1.7395      0.4609     0.5078     1.0344
06200     1.7330      0.4023     0.5078     1.2307
06300     1.6939      0.4922     0.5078     1.3161
06400     1.6167      0.5391     0.5156     1.2507
06500     1.7753      0.4102     0.5156     1.0291
06600     1.6988      0.4844     0.5339     1.0637
06700     1.8140      0.4375     0.5339     1.0958
06800     1.6416      0.4922     0.5339     1.1786
06900     1.6664      0.5039     0.5404     1.2565
07000     1.6317      0.5117     0.5404     1.0327
07100     1.6067      0.5156     0.5547     1.5789
07200     1.6690      0.4922     0.5547     1.0409
07300     1.7584      0.4297     0.5599     1.0493
07400     1.6363      0.4023     0.5599     1.0145
07500     1.7218      0.4336     0.5599     1.0020
07600     1.7079      0.3672     0.5599     1.0014
07700     1.7275      0.4453     0.5599     1.0426
07800     1.6246      0.4766     0.5599     1.0065
07900     1.6574      0.4727     0.5599     1.0082
08000     1.7165      0.4297     0.5599     1.0219
08100     1.6696      0.4766     0.5599     0.9971
08200     1.6970      0.4102     0.5599     1.0179
08300     1.6316      0.5039     0.5599     0.9905
08400     1.7129      0.3984     0.5599     1.0018
08500     1.6558      0.4531     0.5599     1.0425
08600     1.6950      0.3906     0.5599     1.1282
08700     1.6317      0.4688     0.5599     1.0492
08800     1.6581      0.4805     0.5599     1.0076
08900     1.6236      0.4727     0.5599     1.0046
09000     1.7036      0.4102     0.5599     1.0195
09100     1.6584      0.5156     0.5599     1.0030
09200     1.6933      0.4805     0.5599     1.0701
09300     1.6196      0.5273     0.5599     0.9999
09400     1.6722      0.4805     0.5599     1.0078
09500     1.6490      0.4570     0.5599     1.0141
09600     1.6589      0.4492     0.5599     1.1129
09700     1.6576      0.4414     0.5599     1.0038
09800     1.6049      0.4727     0.5599     1.0518
09900     1.6114      0.4805     0.5599     1.0334
10000     1.5817      0.5312     0.5599     1.0014
10100     1.5951      0.5117     0.5599     0.9951
10200     1.6220      0.4336     0.5599     1.0200
10300     1.6746      0.4766     0.5599     1.1624
10400     1.5879      0.4805     0.5599     1.0473
10500     1.5928      0.5234     0.5599     1.0100
10600     1.6016      0.5039     0.5599     0.9994
10700     1.5662      0.5039     0.5599     1.0062
10800     1.6456      0.5508     0.5599     1.0161
10900     1.6464      0.4727     0.5599     1.0103
11000     1.7553      0.4570     0.5599     1.0318
11100     1.7342      0.4219     0.5599     1.0227
11200     1.6168      0.4570     0.5599     0.9969
11300     1.6077      0.5117     0.5599     0.9902
11400     1.5833      0.5156     0.5599     1.0131
11500     1.7381      0.4922     0.5599     1.0127
11600     1.5885      0.5156     0.5599     0.9922
11700     1.9073      0.4297     0.5599     1.0569
11800     1.6635      0.4492     0.5599     1.0037
11900     1.5444      0.5586     0.5599     1.1621
12000     1.5627      0.5078     0.5599     1.0193
12100     1.5754      0.4922     0.5612     0.9999
12200     1.5469      0.5039     0.5612     1.0035
12300     1.5607      0.5703     0.5638     1.0086
12400     1.6060      0.4727     0.5716     1.0033
12500     1.5835      0.5195     0.5716     0.9789
12600     1.6677      0.4844     0.5716     0.9916
12700     1.5257      0.5312     0.5716     1.0513
12800     1.5898      0.5039     0.5716     1.0278
12900     1.6441      0.4883     0.5716     1.0116
13000     1.6299      0.5039     0.5716     1.0185
13100     1.5466      0.5312     0.5716     0.9757
13200     1.5808      0.5117     0.5716     0.9936
13300     1.6028      0.5273     0.5716     1.0736
13400     1.6026      0.5430     0.5716     1.0135
13500     1.9676      0.3633     0.5781     1.1980
13600     1.5766      0.5430     0.5781     1.0185
13700     1.5008      0.5820     0.5781     1.0139
13800     1.6151      0.4180     0.5781     0.9899
13900     1.5941      0.4375     0.5781     1.0362
14000     1.5393      0.5039     0.5781     0.9907
14100     1.6594      0.4883     0.5781     1.0133
14200     1.6292      0.4805     0.5781     0.9805
14300     1.6064      0.4961     0.5781     1.0287
14400     1.6010      0.4062     0.5781     0.9895
14500     1.6973      0.4062     0.5781     1.0038
14600     1.5439      0.4922     0.5781     1.0427
14700     1.5196      0.5547     0.5781     0.9879
14800     1.5371      0.5508     0.5781     0.9945
14900     1.5193      0.5312     0.5781     1.0054
15000     1.5919      0.5469     0.5781     1.0163
15100     1.5004      0.5820     0.5781     0.9965
15200     1.5294      0.5039     0.5781     0.9922
15300     1.4975      0.5938     0.5781     1.1827
15400     1.5132      0.5508     0.5781     1.0308
15500     1.5470      0.4961     0.5781     1.0071
15600     1.5563      0.5586     0.5781     0.9887
