Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(batch_size=256, cy_div=2, cy_scale=2, dataloader_num_workers=4, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', epochs=30000, global_beta=1.5, hidden=256, hop_length=320, hp_bw=False, init_factor=2, learning_rate=0.0005, lr_divide=10000, n_mfcc=40, noise_injection=0.1, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, sample_rate=16000, std_scale=2, testing_percentage=10, validation_percentage=10, validation_size=6000, win_length=400, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
8bdf0e12-3ad5-4d70-aee4-dd9acbd13881
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.4918      0.0508     0.0850     0.2968
00100     2.4785      0.1094     0.1190     0.1872
00200     2.4689      0.1211     0.1398     0.2028
00300     2.4434      0.1523     0.1635     0.1935
00400     2.4204      0.1602     0.1792     0.2094
00500     2.3826      0.1836     0.2140     0.1979
00600     2.3759      0.1680     0.2168     0.1896
00700     2.3447      0.1641     0.2322     0.1857
00800     2.4449      0.1602     0.2322     0.2036
00900     2.4515      0.1016     0.2322     0.1809
01000     2.3918      0.1797     0.2322     0.1935
01100     2.4718      0.1133     0.2322     0.2221
01200     2.3389      0.1875     0.2322     0.2219
01300     2.3829      0.1836     0.2368     0.2071
01400     2.2989      0.2188     0.2528     0.2010
01500     2.2794      0.2617     0.2582     0.2164
01600     2.2748      0.2500     0.2582     0.2018
01700     2.2840      0.1758     0.2642     0.2372
01800     2.2285      0.2617     0.2642     0.2247
01900     2.2791      0.2109     0.2698     0.2176
02000     2.2608      0.2227     0.2787     0.2215
02100     2.2014      0.2305     0.2813     0.2062
02200     2.2069      0.2930     0.2878     0.1991
02300     2.2320      0.2500     0.2878     0.2169
02400     2.1959      0.2773     0.2923     0.1989
02500     2.1953      0.2617     0.2923     0.2519
02600     2.2056      0.2695     0.3022     0.2335
02700     2.1603      0.2812     0.3033     0.2532
02800     2.1301      0.2109     0.3073     0.1968
02900     2.2162      0.2773     0.3073     0.2243
03000     2.1124      0.2852     0.3073     0.2138
03100     2.1535      0.2812     0.3085     0.1942
03200     2.1188      0.2500     0.3250     0.1993
03300     2.1089      0.3164     0.3250     0.2319
03400     2.0925      0.2930     0.3250     0.2269
03500     2.0893      0.2969     0.3250     0.2330
03600     2.1037      0.2852     0.3250     0.2112
03700     2.1259      0.2852     0.3250     0.2087
03800     2.1085      0.2461     0.3250     0.2186
03900     2.0500      0.3203     0.3250     0.2249
04000     2.0767      0.2930     0.3367     0.2400
04100     2.0502      0.3047     0.3367     0.2254
04200     2.0625      0.3203     0.3367     0.2295
04300     2.4664      0.1289     0.3367     0.2089
04400     2.4286      0.1680     0.3367     0.2071
04500     2.4459      0.0977     0.3367     0.2256
04600     2.3460      0.1797     0.3367     0.2078
04700     2.3292      0.2344     0.3367     0.2240
04800     2.3404      0.2227     0.3367     0.2001
04900     2.3173      0.2031     0.3367     0.2194
05000     2.3089      0.2148     0.3367     0.2021
05100     2.0925      0.2734     0.3367     0.2281
05200     2.0914      0.3516     0.3367     0.2200
05300     2.1434      0.2812     0.3367     0.2192
05400     2.0624      0.2930     0.3423     0.2388
05500     2.0519      0.2734     0.3427     0.2069
05600     2.0458      0.3164     0.3593     0.2111
05700     2.0544      0.3594     0.3593     0.2159
05800     2.0835      0.3008     0.3635     0.2128
05900     2.1057      0.2656     0.3635     0.2001
06000     2.1184      0.3203     0.3635     0.1974
06100     2.0466      0.3633     0.3635     0.2175
06200     2.0298      0.3164     0.3635     0.2652
06300     2.0152      0.3242     0.3768     0.2408
06400     2.0178      0.3672     0.3787     0.2122
06500     2.0450      0.3125     0.3787     0.2202
06600     2.0194      0.3672     0.3873     0.2157
06700     2.0460      0.3047     0.3873     0.2109
06800     2.0356      0.3008     0.3873     0.2204
06900     2.0602      0.3008     0.3873     0.2213
07000     2.0572      0.3086     0.3873     0.2221
07100     2.0356      0.3047     0.3873     0.2548
07200     2.0680      0.3125     0.3873     0.2310
07300     2.0257      0.3672     0.3873     0.2071
07400     1.9740      0.3398     0.3873     0.2219
07500     2.0160      0.2812     0.3873     0.2191
07600     2.0355      0.3516     0.3873     0.2156
07700     2.0147      0.3125     0.3873     0.2253
07800     2.0273      0.3359     0.3873     0.2164
07900     2.0393      0.3320     0.3873     0.2320
08000     2.0955      0.2852     0.3873     0.2576
08100     2.0642      0.2617     0.3873     0.2062
08200     2.0579      0.2695     0.3873     0.2134
08300     2.0249      0.3164     0.3873     0.2275
08400     2.0726      0.2852     0.3873     0.2191
08500     1.9867      0.3555     0.3873     0.2367
08600     2.1503      0.2695     0.3873     0.2016
08700     2.0763      0.2930     0.3873     0.2015
08800     2.0483      0.2969     0.3873     0.2211
08900     2.0803      0.3242     0.3873     0.2183
09000     2.0544      0.3711     0.3873     0.2112
09100     2.0474      0.3750     0.3873     0.2104
09200     2.0253      0.3438     0.3873     0.2028
