Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(batch_size=256, cy_div=2, cy_scale=2, dataloader_num_workers=4, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', epochs=30000, global_beta=1.5, hidden=256, hop_length=320, hp_bw=False, init_factor=2, learning_rate=0.0005, lr_divide=10000, n_mfcc=70, noise_injection=0.1, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, sample_rate=16000, std_scale=2, testing_percentage=10, validation_percentage=10, validation_size=6000, win_length=400, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
29020b49-a4e1-4449-a610-13798ac36825
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.4853      0.0938     0.0812     0.2288
00100     2.4081      0.1523     0.2093     0.1437
00200     2.3102      0.2500     0.2430     0.1534
00300     2.2763      0.2695     0.2707     0.1515
00400     2.2955      0.2227     0.2872     0.1396
00500     2.1617      0.3008     0.3172     0.1390
00600     2.1793      0.3203     0.3280     0.1463
00700     2.1856      0.2852     0.3480     0.1430
00800     2.1780      0.2812     0.3480     0.1445
00900     2.1130      0.3281     0.3505     0.1454
01000     2.1117      0.3398     0.3670     0.1496
01100     2.0981      0.3438     0.3670     0.1466
01200     2.1291      0.2969     0.3780     0.1485
01300     2.2703      0.2734     0.3913     0.1448
01400     2.2772      0.2695     0.3913     0.1416
01500     2.1987      0.2734     0.3913     0.1527
01600     2.2892      0.2773     0.3913     0.1445
01700     2.3347      0.2148     0.3913     0.1646
01800     2.3028      0.2109     0.3913     0.1496
01900     2.1938      0.3008     0.3913     0.1421
02000     2.2373      0.2578     0.3913     0.1513
02100     2.1578      0.2734     0.3913     0.1452
02200     2.2506      0.2031     0.3913     0.1531
02300     2.2656      0.2188     0.3913     0.1396
02400     2.2611      0.3008     0.3913     0.1519
02500     2.1811      0.2578     0.3913     0.1484
02600     2.1328      0.3242     0.3913     0.1483
02700     2.0654      0.2617     0.3913     0.1418
02800     2.2409      0.2539     0.3913     0.1501
02900     2.1543      0.2734     0.3913     0.1487
03000     2.1554      0.2383     0.3913     0.1484
03100     2.0973      0.2852     0.3913     0.1486
03200     2.1293      0.2734     0.3913     0.1482
03300     2.0776      0.2656     0.3913     0.1597
03400     2.0669      0.2852     0.3913     0.1471
03500     2.2913      0.2031     0.3913     0.1461
03600     2.1722      0.3086     0.3913     0.1463
03700     2.0918      0.3086     0.3913     0.1412
03800     2.0698      0.2695     0.3913     0.1460
03900     2.0605      0.3398     0.3913     0.1428
04000     2.2103      0.2734     0.3913     0.1535
04100     2.3746      0.1914     0.3913     0.1384
04200     2.2237      0.2031     0.3913     0.1505
04300     2.1253      0.2812     0.3913     0.1472
04400     2.0942      0.2969     0.3913     0.1368
04500     2.0720      0.2734     0.3913     0.1460
04600     2.1164      0.2891     0.3913     0.1464
04700     2.1038      0.2891     0.3913     0.1481
04800     2.0903      0.3164     0.3913     0.1412
04900     2.1030      0.2812     0.3913     0.1479
05000     2.1084      0.2734     0.3913     0.1520
05100     2.0746      0.3438     0.3913     0.1509
05200     2.0429      0.3047     0.3913     0.1489
05300     2.0620      0.2734     0.3913     0.1490
05400     2.0550      0.2773     0.3913     0.1595
05500     2.0318      0.2930     0.3913     0.1462
05600     2.0636      0.3164     0.3913     0.1489
05700     2.0605      0.2734     0.3913     0.1482
05800     2.0488      0.3398     0.3913     0.1503
05900     2.0104      0.3125     0.3913     0.1431
06000     2.0424      0.3125     0.3913     0.1457
06100     2.0314      0.3203     0.3913     0.1488
