Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(batch_size=256, cy_div=2, cy_scale=2, dataloader_num_workers=4, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', epochs=30000, global_beta=1.5, hidden=256, hop_length=320, hp_bw=False, init_factor=2, learning_rate=0.0005, lr_divide=10000, n_mfcc=40, noise_injection=0.1, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, sample_rate=16000, std_scale=3, testing_percentage=10, validation_percentage=10, validation_size=6000, win_length=400, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
ae16c0f6-3228-4bbb-b8f8-1eaa356d01d7
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.4824      0.0703     0.0813     0.2165
00100     2.4839      0.0781     0.1100     0.1731
00200     2.4652      0.1406     0.1322     0.1413
00300     2.4803      0.0977     0.1405     0.1465
00400     2.4766      0.0977     0.1525     0.1451
00500     2.4589      0.1211     0.1575     0.1438
00600     2.4185      0.1367     0.1717     0.1445
00700     2.3968      0.1562     0.1813     0.1405
00800     2.3587      0.1641     0.1975     0.1419
00900     2.3657      0.1836     0.2267     0.1717
01000     2.3267      0.1797     0.2462     0.1626
01100     2.2949      0.2500     0.2472     0.1396
01200     2.2786      0.2617     0.2667     0.1700
01300     2.2731      0.2617     0.2755     0.1459
01400     2.2540      0.2773     0.2803     0.1505
01500     2.2381      0.2656     0.2977     0.1454
01600     2.2038      0.3086     0.3070     0.1479
01700     2.3036      0.2383     0.3195     0.1477
01800     2.2536      0.3086     0.3263     0.1397
01900     2.2194      0.2852     0.3263     0.1502
02000     2.2017      0.2969     0.3273     0.1460
02100     2.1838      0.3281     0.3313     0.1449
02200     2.4783      0.1211     0.3313     0.1632
02300     2.3745      0.1367     0.3313     0.1486
02400     2.3607      0.2266     0.3313     0.1694
02500     2.4842      0.1797     0.3313     0.1472
02600     2.3880      0.2227     0.3313     0.1422
02700     2.3433      0.2617     0.3313     0.1627
02800     2.3611      0.1953     0.3313     0.1452
02900     2.2789      0.2539     0.3313     0.1391
03000     2.4746      0.1406     0.3313     0.1453
03100     2.2871      0.2461     0.3313     0.1717
03200     2.2439      0.2305     0.3313     0.1364
03300     2.1570      0.3594     0.3313     0.1505
03400     2.3850      0.1562     0.3313     0.1385
03500     2.2799      0.2266     0.3313     0.1409
03600     2.2995      0.2461     0.3313     0.1403
03700     2.3373      0.1641     0.3313     0.1692
03800     2.2997      0.1914     0.3313     0.1392
03900     2.2644      0.2656     0.3313     0.1411
04000     2.2058      0.2656     0.3313     0.1603
04100     2.2326      0.2109     0.3313     0.1368
04200     2.2243      0.2188     0.3313     0.1397
04300     2.2389      0.2031     0.3313     0.1486
04400     2.2260      0.2695     0.3313     0.1494
04500     2.2346      0.1992     0.3313     0.1484
04600     2.2073      0.2695     0.3313     0.1493
04700     2.1984      0.2773     0.3313     0.1445
04800     2.2245      0.2266     0.3313     0.1504
04900     2.2313      0.2539     0.3313     0.1411
05000     2.2098      0.2930     0.3313     0.1466
05100     2.2065      0.2695     0.3313     0.1678
05200     2.1765      0.2656     0.3313     0.1390
05300     2.2749      0.1797     0.3313     0.1421
05400     2.2943      0.1680     0.3313     0.1446
05500     2.3010      0.2344     0.3313     0.1389
05600     2.2178      0.2344     0.3313     0.1460
05700     2.1888      0.2812     0.3313     0.1454
05800     2.1783      0.2578     0.3313     0.1399
05900     2.2255      0.2852     0.3313     0.1560
06000     2.1917      0.2461     0.3313     0.1438
06100     2.2247      0.2266     0.3313     0.1535
06200     2.1896      0.2734     0.3313     0.1426
06300     2.1445      0.2539     0.3313     0.1411
06400     2.1712      0.2656     0.3313     0.1407
06500     2.1374      0.3008     0.3313     0.1465
06600     2.1609      0.3008     0.3313     0.1426
06700     2.2410      0.2344     0.3313     0.1689
06800     2.1518      0.2773     0.3313     0.1479
06900     2.1900      0.2344     0.3313     0.1485
07000     2.1464      0.2500     0.3313     0.1465
07100     2.3697      0.2148     0.3313     0.1478
07200     2.2264      0.1992     0.3313     0.1533
07300     2.2806      0.2773     0.3313     0.1425
07400     2.3106      0.1758     0.3313     0.1440
07500     2.2079      0.2344     0.3313     0.1489
07600     2.1706      0.2578     0.3313     0.1391
07700     2.1672      0.2539     0.3313     0.1478
07800     2.1679      0.2539     0.3313     0.1520
07900     2.1798      0.2617     0.3313     0.1403
08000     2.1446      0.2656     0.3313     0.1695
08100     2.1458      0.2812     0.3313     0.1491
08200     2.1251      0.2070     0.3313     0.1492
08300     2.1178      0.2891     0.3313     0.1428
08400     2.1191      0.2070     0.3313     0.1470
08500     2.1353      0.2812     0.3313     0.1479
08600     2.1297      0.2930     0.3313     0.1494
08700     2.1199      0.2578     0.3313     0.1427
08800     2.1607      0.2617     0.3313     0.1491
08900     2.1308      0.2500     0.3313     0.1468
09000     2.1281      0.3516     0.3313     0.1433
09100     2.1377      0.3125     0.3313     0.1439
09200     2.2831      0.2148     0.3313     0.1573
09300     2.1719      0.2773     0.3313     0.1434
09400     2.1065      0.2578     0.3313     0.1459
09500     2.0985      0.3281     0.3313     0.1479
09600     2.1966      0.2773     0.3313     0.1484
09700     2.1028      0.2344     0.3373     0.1648
09800     2.0909      0.3398     0.3430     0.1432
09900     2.1164      0.2734     0.3430     0.1459
10000     2.0459      0.3398     0.3510     0.1630
10100     2.0761      0.3281     0.3597     0.1501
10200     2.1148      0.2930     0.3658     0.1454
10300     2.0684      0.3359     0.3683     0.1415
10400     2.0596      0.3320     0.3697     0.1460
10500     2.0577      0.3555     0.3697     0.1406
10600     2.0764      0.2617     0.3745     0.1715
10700     2.0768      0.3477     0.3813     0.1453
10800     2.0184      0.4062     0.3813     0.1452
10900     2.0489      0.3281     0.3813     0.1603
11000     2.0513      0.3320     0.3832     0.1445
11100     2.0451      0.2930     0.3832     0.1406
11200     2.0062      0.4180     0.3877     0.1479
11300     2.0235      0.3828     0.3995     0.1490
11400     2.0513      0.3945     0.4032     0.1457
11500     2.0795      0.3359     0.4032     0.1491
11600     2.0597      0.3711     0.4032     0.1593
11700     2.0723      0.2930     0.4178     0.1505
11800     2.0406      0.3477     0.4187     0.1513
11900     2.0161      0.3711     0.4208     0.1468
12000     2.0243      0.4414     0.4208     0.1462
12100     2.0570      0.3633     0.4258     0.1431
12200     2.0492      0.3906     0.4335     0.1462
12300     2.0207      0.3594     0.4335     0.1463
12400     1.9985      0.4414     0.4335     0.1451
12500     1.9898      0.4141     0.4335     0.1373
12600     2.0035      0.4062     0.4335     0.1751
12700     2.0064      0.4531     0.4335     0.1629
12800     2.0130      0.4688     0.4335     0.1576
12900     2.0116      0.3828     0.4408     0.1514
13000     2.0187      0.4297     0.4408     0.1392
13100     1.9941      0.4609     0.4408     0.1471
13200     2.0069      0.4297     0.4408     0.1492
13300     2.0369      0.3828     0.4490     0.1470
13400     2.0069      0.3164     0.4490     0.1802
13500     2.0198      0.3320     0.4490     0.1467
13600     2.0007      0.4023     0.4490     0.1469
13700     2.0290      0.3359     0.4490     0.1620
13800     2.0395      0.4062     0.4490     0.1483
13900     1.9981      0.3984     0.4490     0.1513
14000     1.9952      0.4180     0.4490     0.1410
14100     1.9829      0.3945     0.4490     0.1437
14200     1.9811      0.3945     0.4502     0.1509
14300     2.0145      0.4219     0.4502     0.1463
14400     1.9894      0.3828     0.4502     0.1407
14500     2.0129      0.3281     0.4502     0.1477
14600     1.9812      0.3594     0.4502     0.1409
14700     1.9641      0.4297     0.4502     0.1480
14800     1.9840      0.4219     0.4502     0.1443
14900     2.0340      0.3867     0.4502     0.1729
15000     1.9932      0.4180     0.4502     0.1519
15100     1.9793      0.4375     0.4502     0.1425
15200     1.9644      0.4023     0.4502     0.1699
15300     1.9979      0.3984     0.4502     0.1535
15400     2.0024      0.4531     0.4502     0.1781
15500     2.0656      0.3789     0.4553     0.1371
15600     2.0119      0.3086     0.4553     0.1440
15700     2.0127      0.4062     0.4553     0.1472
15800     1.9967      0.3438     0.4553     0.1380
15900     1.9874      0.4492     0.4553     0.1712
16000     1.9561      0.4297     0.4553     0.1457
16100     2.0036      0.4180     0.4553     0.1723
16200     1.9954      0.4102     0.4553     0.1448
16300     1.9705      0.4219     0.4553     0.1511
16400     1.9436      0.4648     0.4553     0.1485
16500     1.9941      0.4297     0.4553     0.1376
16600     1.9881      0.4023     0.4553     0.1704
16700     1.9662      0.3789     0.4553     0.1680
16800     1.9727      0.4570     0.4553     0.1528
16900     1.9741      0.4141     0.4553     0.1516
17000     1.9411      0.4336     0.4553     0.1592
17100     1.9434      0.4609     0.4553     0.1515
17200     2.0152      0.3633     0.4553     0.1480
17300     1.9776      0.3945     0.4553     0.1494
17400     1.9812      0.4336     0.4553     0.1443
17500     2.0904      0.3984     0.4553     0.1453
17600     2.0046      0.4180     0.4553     0.1404
17700     1.9471      0.4297     0.4553     0.1493
17800     1.9936      0.4258     0.4553     0.1472
17900     1.9730      0.4648     0.4553     0.1415
18000     1.9704      0.4219     0.4553     0.1431
18100     2.0325      0.4102     0.4593     0.1524
18200     1.9371      0.3984     0.4593     0.1500
18300     1.9698      0.3672     0.4593     0.1506
18400     1.9081      0.4844     0.4640     0.1489
18500     1.9573      0.4219     0.4640     0.1513
18600     1.9953      0.4023     0.4640     0.1505
18700     1.9885      0.4062     0.4657     0.1402
18800     1.9267      0.5000     0.4657     0.1467
18900     1.9196      0.4492     0.4657     0.1491
19000     1.9746      0.4258     0.4657     0.1398
19100     1.9643      0.4180     0.4657     0.1435
19200     1.9731      0.3828     0.4707     0.1428
19300     1.9407      0.3984     0.4707     0.1546
19400     2.0044      0.4375     0.4707     0.1466
19500     1.9604      0.3867     0.4707     0.1494
19600     1.9801      0.4180     0.4707     0.1408
19700     1.9613      0.4062     0.4707     0.1506
19800     1.9431      0.4414     0.4707     0.1491
19900     1.9583      0.3633     0.4707     0.1495
20000     1.9744      0.4141     0.4707     0.1392
20100     1.9408      0.4844     0.4707     0.1510
20200     1.9621      0.4258     0.4707     0.1472
20300     1.9517      0.4727     0.4707     0.1458
20400     1.9826      0.4102     0.4707     0.1508
20500     1.9730      0.4375     0.4707     0.1637
20600     1.9182      0.4414     0.4707     0.1485
20700     1.9353      0.4062     0.4707     0.1476
20800     1.9196      0.4180     0.4713     0.1509
20900     1.9902      0.3945     0.4832     0.1530
21000     1.9194      0.4180     0.4832     0.1511
21100     1.9717      0.4414     0.4902     0.1487
21200     1.9625      0.4062     0.5067     0.1450
21300     1.9499      0.3945     0.5067     0.1407
21400     1.9313      0.4766     0.5133     0.1775
21500     1.9766      0.4766     0.5133     0.1629
21600     1.9315      0.4805     0.5133     0.1470
21700     1.9377      0.5039     0.5250     0.1408
21800     1.9434      0.4609     0.5288     0.1439
21900     1.9490      0.5117     0.5338     0.1374
22000     1.9514      0.4922     0.5338     0.1461
22100     1.9541      0.4688     0.5425     0.1409
22200     1.9447      0.4688     0.5425     0.1419
22300     1.9154      0.5781     0.5425     0.1428
22400     1.9415      0.4727     0.5425     0.1463
22500     1.9266      0.5000     0.5425     0.1462
22600     1.9325      0.4844     0.5425     0.1415
22700     1.9353      0.5352     0.5425     0.1469
22800     1.9746      0.4180     0.5425     0.1469
22900     1.8902      0.5078     0.5425     0.1750
23000     1.9098      0.5508     0.5425     0.1442
23100     1.9443      0.5234     0.5452     0.1501
23200     1.9097      0.5859     0.5482     0.1481
23300     1.9041      0.5469     0.5482     0.1456
23400     1.9106      0.5117     0.5482     0.1529
23500     1.9627      0.5000     0.5482     0.1500
23600     1.9674      0.4844     0.5482     0.1444
23700     1.9583      0.4922     0.5482     0.1454
23800     1.9482      0.5078     0.5482     0.1489
23900     1.9271      0.5000     0.5482     0.1632
24000     1.9162      0.5078     0.5482     0.1679
24100     1.9579      0.4805     0.5482     0.1454
24200     1.9243      0.5078     0.5482     0.1505
24300     1.9487      0.5117     0.5482     0.1473
24400     1.9135      0.5391     0.5482     0.1472
24500     1.8999      0.5430     0.5482     0.1402
24600     1.9340      0.5195     0.5482     0.1479
24700     1.9434      0.5000     0.5482     0.1511
24800     1.9326      0.5195     0.5482     0.1430
24900     1.9229      0.4727     0.5482     0.1538
25000     1.8826      0.5039     0.5482     0.1506
25100     1.9656      0.4805     0.5482     0.1488
25200     1.9156      0.4883     0.5482     0.1593
25300     1.9026      0.5078     0.5507     0.1404
25400     1.9478      0.4883     0.5507     0.1472
25500     1.9657      0.4727     0.5507     0.1466
25600     1.9533      0.4648     0.5507     0.1389
25700     1.9013      0.5273     0.5507     0.1372
25800     1.9190      0.5508     0.5507     0.1455
25900     1.9086      0.5156     0.5507     0.1463
26000     1.9273      0.4844     0.5512     0.1436
26100     1.9032      0.4883     0.5530     0.1378
26200     1.9551      0.5234     0.5530     0.1494
26300     1.9108      0.5195     0.5530     0.1401
26400     1.8918      0.5742     0.5530     0.1422
26500     1.9158      0.5156     0.5530     0.1420
26600     1.9000      0.5312     0.5530     0.1470
26700     1.9217      0.5195     0.5555     0.1436
26800     1.9200      0.5586     0.5555     0.1477
26900     1.9427      0.5117     0.5555     0.1404
27000     1.9043      0.4922     0.5555     0.1439
27100     1.9344      0.5352     0.5555     0.1473
27200     1.9034      0.5898     0.5555     0.1458
27300     1.9152      0.5312     0.5555     0.1465
27400     1.9067      0.5000     0.5555     0.1482
27500     1.9203      0.5117     0.5555     0.1701
27600     1.9274      0.5156     0.5555     0.1510
27700     1.8811      0.5273     0.5555     0.1492
27800     1.8923      0.4766     0.5568     0.1438
27900     1.9221      0.5391     0.5568     0.1417
28000     1.9082      0.5117     0.5572     0.1429
28100     1.8886      0.5195     0.5572     0.1391
28200     1.9510      0.5195     0.5572     0.1399
28300     1.9148      0.5547     0.5572     0.1464
28400     1.9220      0.5352     0.5572     0.1505
28500     1.8833      0.5508     0.5578     0.1433
28600     1.9176      0.5508     0.5578     0.1468
28700     1.8989      0.5078     0.5593     0.1478
28800     1.9020      0.5117     0.5630     0.1485
28900     1.9009      0.5391     0.5630     0.1452
29000     1.8991      0.5508     0.5630     0.1369
29100     1.8857      0.5234     0.5635     0.1473
29200     1.9207      0.4609     0.5635     0.1430
29300     1.8866      0.6133     0.5640     0.1402
29400     1.8850      0.5195     0.5640     0.1478
29500     1.9374      0.4102     0.5640     0.1518
29600     1.9135      0.5312     0.5640     0.1467
29700     1.9308      0.5508     0.5640     0.1383
29800     1.8817      0.5820     0.5640     0.1400
29900     1.9222      0.5078     0.5640     0.1555
Start Testing:
Test Accuracy: 0.5264
