Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(batch_size=256, cy_div=2, cy_scale=2, dataloader_num_workers=4, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', epochs=30000, global_beta=1.5, hidden=256, hop_length=320, hp_bw=False, init_factor=2, learning_rate=0.0005, lr_divide=10000, n_mfcc=70, noise_injection=0.1, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, sample_rate=16000, std_scale=3, testing_percentage=10, validation_percentage=10, validation_size=6000, win_length=400, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
6aef3378-8582-4422-ab55-c2e4505ecb0a
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5221      0.1289     0.0730     0.3408
00100     2.3490      0.1719     0.2078     0.1956
00200     2.2224      0.2422     0.2532     0.2013
00300     2.0564      0.2930     0.2902     0.2025
00400     2.0641      0.2578     0.3105     0.1760
00500     2.0216      0.3203     0.3268     0.2009
00600     1.9915      0.2969     0.3285     0.1821
00700     1.8912      0.3516     0.3583     0.1759
00800     1.9278      0.3359     0.3623     0.1993
00900     1.9228      0.2969     0.3623     0.1981
01000     1.8798      0.3555     0.3785     0.1843
01100     1.9017      0.3711     0.3785     0.1925
01200     1.8144      0.3125     0.3930     0.1971
01300     1.7656      0.4141     0.4187     0.2020
01400     1.7809      0.4102     0.4363     0.2019
01500     1.8153      0.3828     0.4423     0.2037
01600     1.7587      0.3789     0.4600     0.1825
01700     1.7942      0.4375     0.4752     0.1989
01800     1.6991      0.4375     0.4842     0.1972
01900     1.7077      0.4492     0.5025     0.1951
02000     1.6643      0.4961     0.5033     0.1956
02100     1.6965      0.4492     0.5197     0.1965
02200     1.6220      0.4844     0.5450     0.2006
02300     1.6695      0.4570     0.5450     0.1793
02400     1.6513      0.5078     0.5450     0.1810
02500     1.6522      0.4492     0.5450     0.1885
02600     1.6978      0.4805     0.5450     0.2092
02700     1.6741      0.4727     0.5450     0.1874
02800     1.5702      0.5195     0.5450     0.1808
02900     1.5921      0.5195     0.5575     0.1792
03000     1.6674      0.4883     0.5575     0.1952
03100     1.7752      0.4492     0.5575     0.1771
