Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(batch_size=256, cy_div=2, cy_scale=2, dataloader_num_workers=4, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', epochs=45000, global_beta=1.5, hidden=200, hop_length=320, hp_bw=False, init_factor=2, learning_rate=0.0005, lr_divide=15000, n_mfcc=64, noise_injectionI=0.1, noise_injectionT=0.1, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, sample_rate=16000, std_scale=3, testing_percentage=10, validation_batch=8192, validation_percentage=10, validation_size=3, win_length=400, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
b3a719d4-e29b-484a-a4bf-4a06a5595fba
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.6307      0.0625     0.0859     0.9441
00100     2.3253      0.1602     0.2227     0.1697
00200     2.1762      0.2539     0.2578     0.1792
00300     2.1871      0.2227     0.2956     0.1737
00400     2.1361      0.2539     0.3177     0.1747
00500     2.0747      0.2734     0.3190     0.1644
00600     1.9937      0.3242     0.3216     0.1662
00700     2.0252      0.2773     0.3438     0.1726
00800     2.0141      0.3398     0.3568     0.1682
00900     1.8980      0.3320     0.3750     0.1689
01000     1.8456      0.3359     0.3750     0.2006
01100     1.8201      0.4219     0.3750     0.1772
01200     1.8244      0.3633     0.3867     0.1740
01300     1.8401      0.3945     0.3945     0.1659
01400     1.7890      0.4023     0.4010     0.1772
01500     1.8500      0.3945     0.4010     0.1694
01600     1.8319      0.3320     0.4010     0.1751
01700     1.8270      0.3828     0.4036     0.1728
01800     1.8101      0.3594     0.4167     0.1794
01900     1.7950      0.4062     0.4232     0.1604
02000     1.7678      0.3984     0.4388     0.1710
02100     1.7335      0.3594     0.4388     0.1673
02200     1.8418      0.3398     0.4622     0.1712
02300     1.7306      0.4297     0.4648     0.1705
02400     1.6003      0.4961     0.4935     0.1654
02500     1.6314      0.5000     0.5078     0.1679
02600     1.7006      0.4648     0.5078     0.1672
02700     1.7035      0.4297     0.5091     0.1726
02800     1.6567      0.5000     0.5208     0.1869
02900     1.6879      0.4688     0.5208     0.1686
03000     1.5537      0.5352     0.5208     0.1706
03100     1.6077      0.4883     0.5299     0.1724
03200     1.5885      0.4727     0.5299     0.1675
03300     1.6093      0.4648     0.5299     0.1675
03400     1.5713      0.5156     0.5560     0.1744
03500     1.6713      0.4453     0.5560     0.1701
03600     1.5413      0.4492     0.5560     0.1749
03700     1.5523      0.5508     0.5560     0.1713
03800     1.6213      0.4688     0.5560     0.1777
03900     1.5510      0.5078     0.5560     0.1675
04000     1.5588      0.5039     0.5560     0.1725
04100     1.6001      0.4844     0.5560     0.1723
04200     1.5602      0.4844     0.5560     0.1709
04300     1.5094      0.5508     0.5664     0.1631
04400     1.5821      0.5508     0.5664     0.1668
04500     1.4935      0.5664     0.5755     0.1624
04600     1.4382      0.6055     0.5755     0.1727
04700     1.5167      0.5703     0.5755     0.1679
04800     1.5211      0.5664     0.5755     0.1707
04900     1.5281      0.5430     0.5846     0.1700
05000     1.5285      0.5430     0.5911     0.1721
05100     1.5115      0.5781     0.5911     0.1720
05200     1.5499      0.5430     0.6068     0.1679
05300     1.4663      0.5859     0.6068     0.1739
05400     1.4458      0.5977     0.6068     0.1612
05500     1.4357      0.5742     0.6068     0.1689
05600     1.5822      0.5195     0.6068     0.1694
05700     1.4719      0.5547     0.6068     0.1705
05800     1.3854      0.6250     0.6068     0.1668
05900     1.5343      0.5430     0.6068     0.1712
06000     1.4695      0.5703     0.6068     0.1684
06100     1.4572      0.5508     0.6068     0.1605
06200     1.5659      0.4727     0.6068     0.1662
06300     1.5195      0.5703     0.6068     0.1609
06400     1.5118      0.5156     0.6068     0.1686
06500     1.4346      0.5898     0.6068     0.1693
06600     1.5263      0.5234     0.6068     0.1711
06700     1.5288      0.5234     0.6094     0.1702
06800     1.4967      0.5625     0.6094     0.1738
06900     1.4588      0.5469     0.6289     0.1734
07000     1.4515      0.5508     0.6289     0.1717
07100     1.5471      0.5469     0.6289     0.1741
07200     1.4905      0.5273     0.6289     0.1717
07300     1.4414      0.5898     0.6289     0.1652
07400     1.4653      0.5664     0.6289     0.1712
07500     1.4782      0.5156     0.6289     0.1670
07600     1.5177      0.5078     0.6289     0.1738
07700     1.4824      0.4688     0.6289     0.1715
07800     1.3364      0.6016     0.6289     0.1678
07900     1.4530      0.4766     0.6289     0.1804
08000     1.5094      0.5000     0.6289     0.1692
08100     1.4152      0.5859     0.6289     0.1743
08200     1.3544      0.6289     0.6289     0.1695
08300     1.4492      0.5469     0.6289     0.1689
08400     1.4573      0.5977     0.6289     0.1660
08500     1.3871      0.6172     0.6289     0.1745
08600     1.3524      0.5977     0.6315     0.1729
08700     1.4370      0.6211     0.6380     0.1706
08800     1.4533      0.5195     0.6380     0.1669
