Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(batch_size=256, cy_div=2, cy_scale=2, dataloader_num_workers=4, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', epochs=60000, global_beta=1.5, hidden=256, hop_length=320, hp_bw=False, init_factor=2, learning_rate=0.0005, lr_divide=15000, n_mfcc=70, noise_injection=0.1, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, sample_rate=16000, std_scale=3, testing_percentage=10, validation_batch=8192, validation_percentage=10, validation_size=3, win_length=400, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
86aa6bca-6bb1-4996-bb14-02b50c5d0699
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5437      0.0898     0.0677     0.6770
00100     2.4141      0.1250     0.2057     0.1661
00200     2.2513      0.2656     0.2734     0.1684
00300     2.0421      0.3203     0.3177     0.1709
00400     2.0504      0.3008     0.3529     0.1700
00500     2.0364      0.3164     0.3711     0.1702
00600     2.0615      0.2812     0.3958     0.1685
00700     1.8780      0.3711     0.4167     0.1714
00800     1.8949      0.3438     0.4206     0.1721
00900     2.2921      0.2461     0.4336     0.1687
01000     1.9649      0.3047     0.4336     0.1724
01100     1.9184      0.3594     0.4336     0.1707
01200     1.8500      0.3945     0.4336     0.1685
01300     1.7499      0.4102     0.4453     0.1733
01400     1.8372      0.3750     0.4635     0.1619
01500     1.8932      0.2930     0.4635     0.1755
01600     1.8132      0.4102     0.4648     0.1701
01700     2.1489      0.3086     0.4661     0.1721
01800     1.8735      0.3906     0.4688     0.1673
01900     1.7802      0.4062     0.4766     0.1695
02000     2.0789      0.3047     0.4792     0.1699
02100     1.7352      0.4180     0.4857     0.1681
02200     1.7754      0.3789     0.4857     0.1808
02300     1.6509      0.4883     0.4857     0.1707
02400     1.7768      0.3867     0.4857     0.1751
02500     1.6794      0.4609     0.4896     0.1683
02600     1.6973      0.4609     0.4896     0.1715
02700     1.6632      0.4336     0.4896     0.1753
02800     1.7502      0.4375     0.4974     0.1740
02900     1.7261      0.3945     0.4974     0.1643
03000     1.7337      0.4648     0.5065     0.1681
03100     1.7170      0.4961     0.5091     0.1698
03200     1.6903      0.4258     0.5091     0.1708
03300     1.8734      0.3789     0.5091     0.1727
03400     1.8403      0.3125     0.5091     0.1667
03500     1.7254      0.4688     0.5091     0.1680
03600     1.7757      0.4453     0.5169     0.1753
03700     1.5916      0.5156     0.5664     0.2031
03800     1.6481      0.4688     0.5729     0.1681
03900     1.5551      0.5742     0.5729     0.1663
04000     1.6270      0.4844     0.5833     0.1635
04100     1.5919      0.5586     0.5938     0.1657
04200     1.6884      0.5039     0.5938     0.1692
04300     1.5404      0.5469     0.5938     0.1711
04400     1.5561      0.5547     0.5951     0.1701
04500     1.6335      0.5078     0.5951     0.1714
04600     1.6619      0.5352     0.5951     0.1667
04700     1.5540      0.5781     0.5951     0.1620
04800     1.6311      0.5156     0.5951     0.1692
04900     2.6864      0.1445     0.5951     0.1677
05000     2.2443      0.2461     0.5951     0.1700
05100     1.9738      0.3555     0.5951     0.1707
05200     1.7665      0.4609     0.5951     0.1718
05300     1.7651      0.5352     0.5951     0.1658
05400     1.6181      0.5039     0.5951     0.1758
05500     1.6171      0.5234     0.5951     0.1673
05600     1.5770      0.5234     0.5951     0.1671
05700     1.6384      0.5469     0.5951     0.1703
05800     1.6237      0.5508     0.6133     0.1680
05900     1.5496      0.5625     0.6133     0.1746
