Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', hidden=118, hop_length=320, learning_rate='0.0005,0.0001,0.00002', n_mfcc=10, noise_injectionT=0.0, quant_actMVM=8, quant_actNM=8, quant_inp=8, quant_w=8, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
695b9c43-bed6-4706-a3d8-72f26628cda7
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.7250      0.1000     0.0705     9.9128
00100     2.1699      0.2800     0.2626     22.8359
00200     1.7714      0.3800     0.3847     20.0114
00300     1.4950      0.5000     0.5032     19.5288
00400     1.2696      0.5300     0.6129     18.8928
00500     1.2189      0.5500     0.6696     19.9290
00600     0.8075      0.7600     0.7242     19.6230
00700     0.8033      0.7500     0.7491     20.1255
00800     0.7879      0.7600     0.7689     19.9732
00900     0.8213      0.7800     0.7846     19.6980
01000     0.9232      0.7200     0.7874     20.1256
01100     0.7958      0.7600     0.7992     20.0702
01200     0.6512      0.8000     0.8026     21.4206
01300     0.6390      0.8200     0.8143     20.1988
01400     0.7146      0.8200     0.8222     20.6990
01500     0.5380      0.8400     0.8222     20.0201
01600     0.7384      0.7400     0.8337     20.5441
01700     0.4330      0.8200     0.8394     23.4315
01800     0.6236      0.8100     0.8443     19.8934
01900     0.5439      0.7700     0.8443     20.3275
02000     0.5003      0.8100     0.8476     20.1759
02100     0.5784      0.8500     0.8476     20.6680
02200     0.4374      0.8300     0.8501     21.1337
02300     0.5705      0.8000     0.8576     20.2970
02400     0.4439      0.8600     0.8617     21.2523
02500     0.5138      0.8000     0.8636     24.6192
02600     0.6017      0.8000     0.8636     21.3229
02700     0.5850      0.8000     0.8706     19.9958
02800     0.4847      0.8300     0.8752     20.3384
02900     0.4873      0.8100     0.8752     20.9010
03000     0.4488      0.8400     0.8752     20.6528
03100     0.4348      0.8600     0.8752     20.4675
03200     0.3159      0.9100     0.8752     20.0662
03300     0.6045      0.8200     0.8820     21.1766
03400     0.3882      0.9000     0.8820     23.5331
03500     0.3816      0.8400     0.8820     21.0963
03600     0.3298      0.8800     0.8820     23.9497
03700     0.3743      0.8700     0.8820     20.0165
03800     0.5079      0.8200     0.8820     20.2383
03900     0.3959      0.8500     0.8820     19.7348
04000     0.3702      0.8700     0.8820     20.6324
04100     0.2747      0.8900     0.8820     21.4750
04200     0.4338      0.8400     0.8820     20.2156
04300     0.3300      0.8900     0.8881     19.8361
04400     0.4500      0.8500     0.8881     20.0436
04500     0.3134      0.9000     0.8881     20.3356
04600     0.2318      0.9300     0.8886     20.0238
04700     0.4630      0.8600     0.8898     20.3028
04800     0.4327      0.8500     0.8898     21.3494
04900     0.3466      0.8900     0.8898     22.5196
05000     0.3136      0.8800     0.8915     19.9236
05100     0.3087      0.9000     0.8915     19.9376
05200     0.4065      0.8500     0.8915     20.7476
05300     0.5378      0.8300     0.8916     20.1294
05400     0.3714      0.8700     0.8916     20.3630
05500     0.3132      0.8900     0.8922     19.9854
05600     0.2213      0.9500     0.8922     20.3410
05700     0.2465      0.9300     0.8922     21.3438
05800     0.4651      0.8600     0.8942     19.7898
05900     0.2972      0.9200     0.8942     20.3735
06000     0.2522      0.9400     0.9003     19.9921
06100     0.4678      0.8600     0.9003     19.9270
06200     0.3374      0.8900     0.9003     19.8669
06300     0.2200      0.9200     0.9011     20.7234
06400     0.2403      0.9000     0.9011     19.9622
06500     0.2400      0.9400     0.9011     19.8275
06600     0.3338      0.8900     0.9011     20.1944
06700     0.2446      0.9000     0.9011     19.8012
06800     0.3948      0.8800     0.9011     19.8870
06900     0.2545      0.9100     0.9011     19.8241
07000     0.3764      0.8600     0.9011     21.5475
07100     0.2946      0.9100     0.9011     20.8815
07200     0.4128      0.8600     0.9011     19.9407
07300     0.2621      0.9300     0.9037     20.3466
07400     0.3865      0.9000     0.9037     20.0863
07500     0.4144      0.8800     0.9037     20.1377
07600     0.2525      0.9400     0.9037     19.9020
07700     0.3681      0.8800     0.9037     20.0674
07800     0.3167      0.8900     0.9037     19.9013
07900     0.3852      0.8900     0.9037     19.7426
08000     0.3287      0.8900     0.9037     20.2128
08100     0.3533      0.8600     0.9064     19.8878
08200     0.3481      0.9100     0.9064     20.0578
08300     0.4756      0.9000     0.9064     19.8491
08400     0.2893      0.9000     0.9064     20.3436
08500     0.3264      0.8700     0.9064     20.4466
08600     0.2860      0.9000     0.9064     19.7792
08700     0.4695      0.8300     0.9064     19.9349
08800     0.2467      0.9000     0.9064     20.0358
08900     0.3477      0.8700     0.9064     20.5282
09000     0.2097      0.9200     0.9118     19.8055
09100     0.2478      0.9200     0.9118     20.2731
09200     0.2062      0.9400     0.9118     21.0596
09300     0.2906      0.8900     0.9118     21.1486
09400     0.2848      0.8900     0.9118     20.0917
09500     0.3338      0.8900     0.9118     19.7507
09600     0.2692      0.9000     0.9118     20.1302
09700     0.4781      0.8100     0.9118     22.8944
09800     0.1946      0.9200     0.9118     22.9016
09900     0.3529      0.8700     0.9118     20.6931
10000     0.2878      0.9200     0.9118     20.9728
10100     0.1956      0.9300     0.9139     21.1967
10200     0.3639      0.9000     0.9140     20.3718
10300     0.2774      0.9200     0.9140     20.6603
10400     0.3000      0.9100     0.9140     20.8274
10500     0.1784      0.9300     0.9147     21.0599
10600     0.2601      0.9200     0.9147     21.0832
10700     0.3222      0.8700     0.9147     20.8419
10800     0.1822      0.9300     0.9175     21.4162
10900     0.1467      0.9500     0.9175     21.9348
11000     0.2520      0.9500     0.9175     22.8854
11100     0.1869      0.9500     0.9175     19.9586
11200     0.1911      0.9300     0.9175     20.3188
11300     0.1951      0.9300     0.9215     20.4654
11400     0.3494      0.8900     0.9215     20.4960
11500     0.3414      0.8800     0.9215     20.0893
11600     0.3689      0.8800     0.9215     20.4768
11700     0.1430      0.9400     0.9215     21.2870
11800     0.1318      0.9600     0.9215     20.3535
11900     0.1739      0.9400     0.9215     20.5626
12000     0.1887      0.9500     0.9215     20.2196
12100     0.3498      0.9000     0.9215     21.2876
12200     0.2732      0.8900     0.9215     20.7288
12300     0.2950      0.8800     0.9215     20.7743
12400     0.2453      0.9100     0.9215     21.6816
12500     0.3042      0.8900     0.9215     20.6715
12600     0.2599      0.9300     0.9215     21.6336
12700     0.3223      0.8700     0.9215     21.1908
12800     0.3086      0.9100     0.9215     20.9635
12900     0.1909      0.9500     0.9215     20.7176
13000     0.2496      0.9300     0.9215     20.6396
13100     0.3018      0.9000     0.9215     21.0555
13200     0.3012      0.9100     0.9215     24.1362
13300     0.1591      0.9300     0.9215     20.9429
13400     0.1428      0.9600     0.9215     20.5804
13500     0.3894      0.8700     0.9215     20.0559
13600     0.1366      0.9700     0.9215     20.4393
13700     0.3165      0.8800     0.9215     20.3830
13800     0.2446      0.8900     0.9215     20.8597
13900     0.2804      0.9000     0.9215     20.8747
14000     0.1806      0.9200     0.9215     21.5309
14100     0.2630      0.9100     0.9215     20.9588
14200     0.2723      0.9200     0.9215     22.4766
14300     0.2970      0.9000     0.9215     20.8387
14400     0.2089      0.9300     0.9215     21.0100
14500     0.1795      0.9500     0.9215     20.8408
14600     0.1388      0.9400     0.9215     21.0091
14700     0.2249      0.9200     0.9215     21.3756
14800     0.2427      0.9400     0.9215     20.8147
14900     0.1531      0.9500     0.9215     21.3691
15000     0.2769      0.9000     0.9215     20.7634
15100     0.0885      0.9800     0.9215     22.1818
15200     0.1801      0.9500     0.9215     21.3557
15300     0.2421      0.9400     0.9215     21.3684
15400     0.2231      0.9400     0.9215     20.6138
15500     0.1644      0.9400     0.9215     20.8066
15600     0.3284      0.8900     0.9215     20.5207
15700     0.2715      0.8900     0.9215     21.1964
15800     0.3614      0.8600     0.9215     20.2995
15900     0.1749      0.9400     0.9215     20.3010
16000     0.3791      0.8900     0.9215     20.3821
16100     0.2510      0.9100     0.9215     20.8621
16200     0.1049      0.9700     0.9215     20.1463
16300     0.3485      0.9100     0.9215     20.6736
16400     0.2624      0.9100     0.9215     23.6905
16500     0.2361      0.9100     0.9215     20.5264
16600     0.2003      0.9400     0.9215     20.9588
16700     0.1603      0.9300     0.9215     20.5315
16800     0.2166      0.9100     0.9215     20.9684
16900     0.2556      0.9500     0.9215     24.7877
17000     0.2120      0.9300     0.9215     20.5592
17100     0.2601      0.9100     0.9215     20.4541
17200     0.2655      0.9200     0.9215     20.0067
17300     0.1990      0.9400     0.9215     20.5329
17400     0.5320      0.7900     0.9215     21.7790
17500     0.3298      0.8900     0.9215     21.8858
17600     0.3524      0.8800     0.9215     20.1758
17700     0.2955      0.9000     0.9215     21.5839
17800     0.1630      0.9300     0.9238     21.5387
17900     0.3665      0.9100     0.9238     21.3704
18000     0.4063      0.8400     0.9238     21.7765
18100     0.2508      0.9400     0.9238     21.1041
18200     0.2172      0.9300     0.9238     21.8597
18300     0.2097      0.9300     0.9238     20.8687
18400     0.3212      0.8900     0.9238     21.2838
18500     0.3434      0.8900     0.9238     22.0606
18600     0.1835      0.9300     0.9238     21.4601
18700     0.2607      0.9200     0.9238     21.7782
18800     0.4271      0.8700     0.9238     20.5420
18900     0.3036      0.9000     0.9238     20.9178
19000     0.3258      0.9000     0.9238     21.2107
19100     0.2274      0.9200     0.9238     22.2899
19200     0.2051      0.9100     0.9238     20.6975
19300     0.2205      0.9100     0.9238     20.3057
19400     0.1491      0.9300     0.9238     23.4704
19500     0.1985      0.9700     0.9238     20.6867
19600     0.1311      0.9500     0.9238     20.8213
19700     0.1887      0.9400     0.9238     20.9053
19800     0.3114      0.9300     0.9238     20.8864
19900     0.2061      0.9100     0.9238     20.9386
20000     0.2298      0.9000     0.9238     20.6835
20100     0.4198      0.8800     0.9238     21.9258
20200     0.2068      0.9400     0.9238     20.2621
20300     0.2509      0.9100     0.9238     21.4551
20400     0.2586      0.9300     0.9238     21.0510
20500     0.2998      0.8900     0.9238     22.7111
20600     0.3577      0.8900     0.9238     20.3448
20700     0.2508      0.9000     0.9238     20.2061
20800     0.2969      0.8900     0.9238     20.2810
20900     0.2356      0.9300     0.9238     23.9330
21000     0.2441      0.9400     0.9238     20.0257
21100     0.2416      0.9100     0.9238     19.9523
21200     0.1524      0.9500     0.9238     24.2834
21300     0.2890      0.9400     0.9238     22.4049
21400     0.2117      0.9300     0.9238     21.0420
