Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Traceback (most recent call last):
  File "KWS_LSTM.py", line 80, in <module>
    test_dataloader = torch.utils.data.DataLoader(speech_dataset_test, batch_size=args.batch_size, shuffle=True, num_workers=args.dataloader_num_workers)
  File "/afs/crc.nd.edu/user/c/cschaef6/.local/lib/python3.7/site-packages/torch/utils/data/dataloader.py", line 224, in __init__
    sampler = RandomSampler(dataset, generator=generator)
  File "/afs/crc.nd.edu/user/c/cschaef6/.local/lib/python3.7/site-packages/torch/utils/data/sampler.py", line 96, in __init__
    "value, but got num_samples={}".format(self.num_samples))
ValueError: num_samples should be a positive integer value, but got num_samples=0
Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Traceback (most recent call last):
  File "KWS_LSTM.py", line 83, in <module>
    model = KWS_LSTM(input_dim = args.n_mfcc, hidden_dim = args.hidden, output_dim = len(args.word_list), batch_size = args.batch_size, device = device, quant_factor = 1, quant_beta = 1, wb = args.quant_w, abMVM = args.quant_actMVM, abNM = args.quant_actNM, ib = args.quant_inp, noise_level = args.noise_injectionT, blocks = 1, pool_method = 'Max', fc_blocks = 0, cy_div = 1, cy_scale = 1, train_a = args.train_a).to(device)
  File "/afs/crc.nd.edu/user/c/cschaef6/Qiuwen/QuantizedLSTM/model.py", line 241, in __init__
    self.lstmBlocks = LSTMLayer(LSTMCellQ, self.input_dim, self.hidden_dim, self.wb, self.ib, self.abMVM, self.abNM, self.noise_level, self.device, cy_div, cy_scale, train_a = train_a)
TypeError: __init__() got an unexpected keyword argument 'train_a'
Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, dataloader_num_workers=8, dataset_path_test='../../QuantizedLSTM/data.nosync/speech_commands_test_set_v0.02', dataset_path_train='../../QuantizedLSTM/data.nosync/speech_commands_v0.02', hidden=118, hop_length=320, l2=0.01, learning_rate='0.0005,0.0001,0.00002', n_mfcc=40, noise_injectionT=0, quant_actMVM=8, quant_actNM=8, quant_inp=8, quant_w=8, random_seed=8627169, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, train_a=True, training_steps='10000,10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
4896e49d-eed6-4e82-b28c-480e5c3d5269
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     4.1263      0.1200     0.0776     17.6192
00100     3.7046      0.2000     0.2098     42.3816
00200     3.5801      0.2000     0.2747     43.5548
00300     3.3678      0.3100     0.3511     43.0851
00400     3.0443      0.4100     0.4451     42.9736
00500     2.9259      0.4200     0.5203     43.0270
00600     2.8316      0.5100     0.5722     42.8799
00700     2.5222      0.6400     0.6255     43.1172
00800     2.4407      0.6100     0.6468     43.0846
00900     2.4580      0.6000     0.6619     43.3297
01000     2.3993      0.6100     0.6822     43.2576
01100     2.2332      0.7100     0.6999     43.3283
01200     2.2780      0.6800     0.7160     43.2637
01300     1.9943      0.7600     0.7273     42.8899
01400     2.2545      0.6700     0.7283     42.7445
01500     2.1479      0.7300     0.7471     43.2015
01600     2.0225      0.7500     0.7487     42.8300
01700     2.2716      0.6300     0.7654     42.9088
01800     2.0316      0.7400     0.7666     42.4833
01900     1.8523      0.8200     0.7675     43.2255
02000     1.9683      0.7700     0.7731     43.2894
02100     1.9705      0.7300     0.7802     42.9029
02200     2.0163      0.7300     0.7805     43.0771
02300     2.0315      0.7400     0.7966     43.1951
02400     2.0638      0.7200     0.7969     43.3020
02500     1.8698      0.7900     0.7969     43.0848
02600     1.9311      0.8300     0.8109     42.9703
02700     1.8883      0.8100     0.8116     43.1803
02800     1.7968      0.8100     0.8119     43.3574
02900     1.8972      0.7800     0.8244     43.5157
03000     1.9072      0.7900     0.8244     43.2029
03100     1.7395      0.8500     0.8244     43.4844
03200     1.8733      0.8400     0.8244     43.0081
03300     1.7562      0.8400     0.8244     43.1347
03400     1.7944      0.8400     0.8350     43.6665
03500     1.7246      0.9000     0.8350     42.9527
03600     1.8569      0.8100     0.8395     43.5840
03700     1.6565      0.9000     0.8395     43.2102
03800     1.7326      0.8300     0.8395     43.2001
03900     1.7509      0.8700     0.8395     43.7685
04000     1.6949      0.8600     0.8450     43.2148
04100     1.7490      0.8300     0.8450     43.8816
04200     1.8397      0.8100     0.8450     43.0101
04300     1.8352      0.7900     0.8461     44.0073
04400     1.6867      0.8400     0.8461     43.1242
04500     1.6808      0.8900     0.8544     43.4291
04600     1.6148      0.9200     0.8544     43.5643
04700     1.8216      0.7800     0.8577     43.5183
04800     1.8198      0.8200     0.8613     43.2327
04900     1.5703      0.9200     0.8613     43.4217
05000     1.7251      0.8500     0.8613     43.2881
05100     1.6955      0.8700     0.8702     43.4125
05200     1.7486      0.8700     0.8702     43.0769
05300     1.6586      0.9300     0.8702     43.3751
05400     1.6042      0.8800     0.8702     43.3709
05500     1.6771      0.8800     0.8702     43.5529
05600     1.7639      0.8400     0.8702     43.5787
05700     1.6720      0.8400     0.8702     43.7262
05800     1.7194      0.8700     0.8702     43.3319
05900     1.5137      0.9200     0.8702     43.4554
06000     1.6442      0.9200     0.8702     43.8931
06100     1.7007      0.8500     0.8702     43.2109
