Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(batch_size=512, cy_div=2, cy_scale=2, dataloader_num_workers=4, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', epochs=20000, fp_train=0, global_beta=1.5, hidden=200, hop_length=320, init_factor=2, learning_rate=0.0005, lr_divide=10000, n_mfcc=110, noise_injection=0.1, quant_act=4, quant_inp=4, quant_w=None, sample_rate=16000, std_scale=2, testing_percentage=10, validation_percentage=10, validation_size=1000, win_length=400, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
70e0279d-c7ef-480d-94f5-315a6aa22dbc
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5246      0.0938     0.0870     0.2230
00100     2.4296      0.1621     0.1810     0.1515
00200     2.4255      0.1992     0.2000     0.1484
00300     2.4044      0.1914     0.2150     0.1579
00400     2.4081      0.1973     0.2570     0.1516
00500     2.3906      0.2168     0.2600     0.1469
00600     2.3925      0.2012     0.2710     0.1566
00700     2.3364      0.2109     0.2840     0.1585
00800     2.3156      0.2363     0.2840     0.1505
00900     2.3847      0.1797     0.2840     0.1561
01000     2.4223      0.1543     0.2840     0.1584
01100     2.2942      0.2539     0.2840     0.1536
01200     2.3275      0.2422     0.2840     0.1495
01300     2.2973      0.1953     0.2840     0.1606
01400     2.3139      0.2031     0.2840     0.1620
01500     2.4217      0.1270     0.2840     0.1636
01600     2.3007      0.2246     0.2840     0.1568
01700     2.2860      0.2441     0.2840     0.1579
01800     2.4527      0.1406     0.2840     0.1572
01900     2.4339      0.1895     0.2840     0.1539
02000     2.3728      0.2031     0.2840     0.1526
02100     2.3782      0.2129     0.2840     0.1571
02200     2.3452      0.2344     0.2840     0.1483
02300     2.5217      0.0840     0.2840     0.1509
02400     2.5354      0.0684     0.2840     0.1591
02500     2.5388      0.0645     0.2840     0.1462
02600     2.5387      0.0645     0.2840     0.1505
02700     2.5345      0.0586     0.2840     0.1555
02800     2.5012      0.1191     0.2840     0.1598
02900     2.4159      0.1484     0.2840     0.1570
03000     2.3602      0.1719     0.2840     0.1556
03100     2.3513      0.1641     0.2840     0.1597
03200     2.3280      0.1738     0.2840     0.1545
03300     2.3703      0.1816     0.2840     0.1488
03400     2.3105      0.2109     0.2840     0.1531
03500     2.3317      0.1660     0.2840     0.1495
03600     2.2928      0.1777     0.2840     0.1586
03700     2.2713      0.1816     0.2840     0.1557
03800     2.2467      0.1934     0.2840     0.1500
03900     2.3160      0.2012     0.2840     0.1539
04000     2.2691      0.1543     0.2840     0.1554
04100     2.3416      0.1875     0.2840     0.1594
04200     2.4931      0.1250     0.2840     0.1594
04300     2.4597      0.1523     0.2840     0.1533
04400     2.5388      0.0645     0.2840     0.1592
04500     2.5183      0.0879     0.2840     0.1582
04600     2.5423      0.0781     0.2840     0.1559
04700     2.3325      0.2500     0.2840     0.1534
04800     2.3659      0.1992     0.2840     0.1559
04900     2.3659      0.2285     0.2840     0.1454
05000     2.2860      0.2246     0.2840     0.1615
05100     2.2719      0.2578     0.2840     0.1571
05200     2.2633      0.2031     0.2840     0.1585
05300     2.2136      0.2363     0.2840     0.1580
05400     2.2124      0.2109     0.2840     0.1521
05500     2.1986      0.1992     0.2840     0.1572
05600     2.2328      0.2129     0.2840     0.1555
05700     2.2637      0.1953     0.2840     0.1540
05800     2.1894      0.2012     0.2840     0.1493
05900     2.2641      0.1445     0.2840     0.1718
06000     2.2417      0.1738     0.2840     0.1530
06100     2.2102      0.1738     0.2840     0.1535
06200     2.2288      0.2051     0.2840     0.1620
06300     2.2511      0.1426     0.2840     0.1602
06400     2.3293      0.1914     0.2840     0.1555
06500     2.3116      0.1914     0.2840     0.1508
06600     2.1772      0.2344     0.2840     0.1516
06700     2.3569      0.1641     0.2840     0.1571
06800     2.2970      0.1758     0.2840     0.1613
06900     2.4684      0.1543     0.2840     0.1553
07000     2.4977      0.1523     0.2840     0.1508
07100     2.4971      0.1426     0.2840     0.1552
07200     2.4598      0.1641     0.2840     0.1487
07300     2.4893      0.1211     0.2840     0.1613
07400     2.4466      0.1777     0.2840     0.1596
07500     2.4726      0.1543     0.2840     0.1587
07600     2.4924      0.1113     0.2840     0.1565
07700     2.4813      0.1387     0.2840     0.1563
07800     2.4795      0.1426     0.2840     0.1496
07900     2.4762      0.1348     0.2840     0.1542
08000     2.4593      0.1465     0.2840     0.1484
08100     2.4581      0.1699     0.2840     0.1538
08200     2.4716      0.1777     0.2840     0.1591
08300     2.4298      0.1680     0.2840     0.1510
08400     2.3819      0.2168     0.2840     0.1573
08500     2.3466      0.2051     0.2840     0.1567
08600     2.3959      0.1895     0.2840     0.1469
08700     2.3539      0.1816     0.2840     0.1572
08800     2.3744      0.1523     0.2840     0.1593
08900     2.3436      0.1738     0.2840     0.1612
09000     2.3523      0.2051     0.2840     0.1551
09100     2.3194      0.1719     0.2840     0.1590
09200     2.3409      0.2031     0.2840     0.1542
09300     2.3192      0.1367     0.2840     0.1510
09400     2.2730      0.1816     0.2840     0.1528
09500     2.2496      0.1680     0.2840     0.1494
09600     2.2869      0.1484     0.2840     0.1561
09700     2.2725      0.1484     0.2840     0.1600
09800     2.1925      0.2617     0.2840     0.1574
09900     2.4237      0.1543     0.2840     0.1571
10000     2.3347      0.1406     0.2840     0.1572
10100     2.3648      0.1191     0.2840     0.1553
10200     2.2861      0.1758     0.2840     0.1609
10300     2.2226      0.2363     0.2840     0.1553
10400     2.2414      0.1309     0.2840     0.1570
10500     2.2125      0.2324     0.2840     0.1632
10600     2.2271      0.1660     0.2840     0.1557
10700     2.1840      0.2812     0.2930     0.1548
10800     2.1502      0.2539     0.2930     0.1463
10900     2.2094      0.2539     0.2930     0.1540
11000     2.1782      0.2715     0.2930     0.1569
11100     2.1893      0.2207     0.3010     0.1593
