Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(batch_size=512, cy_div=2, cy_scale=2, dataloader_num_workers=4, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', epochs=20000, fp_train=0, global_beta=1.5, hidden=200, hop_length=320, init_factor=2, learning_rate=0.0005, lr_divide=10000, n_mfcc=60, noise_injection=0.1, quant_act=4, quant_inp=4, quant_w=None, sample_rate=16000, std_scale=2, testing_percentage=10, validation_percentage=10, validation_size=1000, win_length=400, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
159748dc-f262-4726-bda1-0e41930362b2
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5416      0.0781     0.0780     1.8936
00100     2.4324      0.1621     0.2300     0.1917
00200     2.4177      0.1758     0.2320     0.2067
00300     2.4095      0.2012     0.2410     0.1855
00400     2.4385      0.1523     0.2440     0.1986
00500     2.4142      0.1680     0.2440     0.1973
00600     2.3875      0.2012     0.2510     0.2072
00700     2.3364      0.1836     0.2550     0.2046
00800     2.3697      0.1582     0.2550     0.1717
00900     2.4036      0.2070     0.2550     0.1994
01000     2.3470      0.2285     0.2550     0.2060
01100     2.3956      0.1953     0.2630     0.1986
01200     2.3872      0.1699     0.2630     0.2027
01300     2.4209      0.1602     0.2630     0.2068
01400     2.3960      0.1719     0.2630     0.2023
01500     2.5306      0.0703     0.2630     0.2020
01600     2.5305      0.0762     0.2630     0.2026
01700     2.5234      0.0762     0.2630     0.2309
01800     2.5191      0.0879     0.2630     0.2005
01900     2.5276      0.0723     0.2630     0.1812
02000     2.4989      0.0977     0.2630     0.1880
02100     2.5038      0.0938     0.2630     0.2292
02200     2.4488      0.1504     0.2630     0.1907
02300     2.4170      0.1797     0.2630     0.1981
02400     2.4563      0.1270     0.2630     0.2080
02500     2.3838      0.2266     0.2630     0.2145
02600     2.3890      0.2266     0.2630     0.2052
02700     2.3713      0.2168     0.2630     0.1830
02800     2.3587      0.1738     0.2630     0.1794
02900     2.3404      0.2285     0.2630     0.1794
03000     2.3760      0.2090     0.2630     0.2031
03100     2.4082      0.2051     0.2630     0.1958
03200     2.3839      0.2109     0.2630     0.1893
03300     2.3892      0.1836     0.2630     0.1863
03400     2.3601      0.2168     0.2630     0.1711
03500     2.3554      0.1777     0.2630     0.1958
03600     2.3345      0.2305     0.2630     0.1890
03700     2.4081      0.2207     0.2630     0.1843
03800     2.3811      0.1426     0.2630     0.2114
03900     2.3292      0.1621     0.2630     0.1988
04000     2.3230      0.2188     0.2630     0.1874
04100     2.3167      0.2422     0.2630     0.1974
04200     2.3279      0.2285     0.2630     0.2071
04300     2.3073      0.1816     0.2630     0.1999
04400     2.3802      0.1973     0.2630     0.2033
04500     2.3771      0.1914     0.2630     0.1991
04600     2.3325      0.1699     0.2630     0.2063
04700     2.3577      0.1992     0.2630     0.1742
04800     2.3246      0.2246     0.2630     0.2099
04900     2.3294      0.1855     0.2630     0.1859
05000     2.3282      0.1680     0.2630     0.2081
05100     2.3356      0.1641     0.2630     0.1978
05200     2.3295      0.1680     0.2630     0.1981
05300     2.3375      0.1426     0.2630     0.1913
05400     2.3384      0.1582     0.2630     0.1694
05500     2.3321      0.1660     0.2630     0.1755
05600     2.3214      0.1816     0.2630     0.1940
05700     2.3081      0.2012     0.2630     0.2070
05800     2.3315      0.1504     0.2630     0.2000
05900     2.3497      0.1660     0.2630     0.1938
06000     2.3129      0.1699     0.2630     0.1881
06100     2.2936      0.1738     0.2630     0.1848
06200     2.3380      0.1582     0.2630     0.1883
06300     2.3289      0.1641     0.2630     0.1903
06400     2.2936      0.1895     0.2630     0.2036
06500     2.3273      0.1484     0.2630     0.1974
06600     2.3091      0.1875     0.2630     0.2044
06700     2.3577      0.1582     0.2630     0.1850
06800     2.3159      0.1641     0.2630     0.1924
06900     2.3640      0.1582     0.2630     0.1815
07000     2.4106      0.1016     0.2630     0.1989
07100     2.4840      0.1230     0.2630     0.1985
07200     2.5375      0.1172     0.2630     0.2050
07300     2.5031      0.1270     0.2630     0.1908
07400     2.4787      0.1270     0.2630     0.2044
07500     2.4604      0.1426     0.2630     0.1989
07600     2.4448      0.1660     0.2630     0.1941
07700     2.5131      0.0938     0.2630     0.1970
07800     2.5217      0.0840     0.2630     0.1879
07900     2.5274      0.0781     0.2630     0.1775
08000     2.4794      0.1855     0.2630     0.1721
08100     2.4736      0.1543     0.2630     0.1898
08200     2.4638      0.1719     0.2630     0.1860
08300     2.4474      0.1777     0.2630     0.1918
08400     2.4825      0.1484     0.2630     0.1847
08500     2.5166      0.0898     0.2630     0.1978
08600     2.5046      0.1035     0.2630     0.1840
08700     2.5201      0.0879     0.2630     0.1749
08800     2.4864      0.1328     0.2630     0.2002
08900     2.4408      0.1270     0.2630     0.1979
09000     2.4365      0.1426     0.2630     0.1983
09100     2.4215      0.1504     0.2630     0.1869
09200     2.4256      0.1445     0.2630     0.1969
09300     2.4733      0.0781     0.2630     0.1834
09400     2.4319      0.0879     0.2630     0.2142
09500     2.3545      0.1152     0.2630     0.1788
09600     2.3346      0.1641     0.2630     0.1906
09700     2.3330      0.1406     0.2630     0.1995
09800     2.3159      0.2148     0.2630     0.1893
09900     2.3587      0.1816     0.2630     0.2043
10000     2.3448      0.1758     0.2630     0.2086
10100     2.3222      0.1191     0.2630     0.2111
10200     2.3142      0.1367     0.2630     0.2067
10300     2.2943      0.1230     0.2630     0.2034
10400     2.3219      0.1680     0.2630     0.2083
10500     2.2809      0.1582     0.2630     0.1817
10600     2.3043      0.1641     0.2630     0.2089
10700     2.2991      0.1562     0.2630     0.1831
10800     2.2979      0.1895     0.2630     0.2310
10900     2.2877      0.1797     0.2630     0.2154
11000     2.3059      0.2148     0.2630     0.2254
11100     2.3161      0.1582     0.2630     0.2438
11200     2.2687      0.1973     0.2630     0.2196
11300     2.3408      0.1738     0.2630     0.1768
11400     2.2824      0.2051     0.2630     0.2014
11500     2.2745      0.2012     0.2630     0.1952
11600     2.2941      0.2090     0.2630     0.1999
11700     2.2602      0.1660     0.2630     0.2058
11800     2.2769      0.1895     0.2630     0.1915
11900     2.2754      0.2051     0.2630     0.1990
12000     2.2600      0.1934     0.2630     0.1932
12100     2.2610      0.1836     0.2630     0.2407
12200     2.2730      0.2031     0.2630     0.2292
12300     2.2519      0.2051     0.2630     0.1987
12400     2.2718      0.1777     0.2630     0.2061
