Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(batch_size=512, cy_div=2, cy_scale=2, dataloader_num_workers=4, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', epochs=20000, fp_train=0, global_beta=1.5, hidden=200, hop_length=320, init_factor=2, learning_rate=0.0005, lr_divide=10000, n_mfcc=40, noise_injection=0.1, quant_act=4, quant_inp=4, quant_w=None, sample_rate=16000, std_scale=2, testing_percentage=10, validation_percentage=10, validation_size=1000, win_length=400, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
28b0d7cb-13ce-4614-9618-e6552374a550
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.4964      0.0820     0.0800     0.2767
00100     2.4751      0.1289     0.1280     0.1994
00200     2.4502      0.1484     0.1750     0.1824
00300     2.3947      0.1699     0.2150     0.1806
00400     2.3343      0.2363     0.2330     0.1793
00500     2.3666      0.2012     0.2350     0.1842
00600     2.3171      0.2148     0.2530     0.1977
00700     2.2763      0.2051     0.2530     0.2063
00800     2.2636      0.2070     0.2530     0.1872
00900     2.2173      0.2441     0.2590     0.2117
01000     2.2629      0.2207     0.2590     0.1885
01100     2.2539      0.1875     0.2690     0.2185
01200     2.2349      0.2012     0.2690     0.1981
01300     2.2386      0.1816     0.2690     0.2113
01400     2.1933      0.2520     0.2690     0.1962
01500     2.2143      0.1992     0.2700     0.2000
01600     2.1532      0.3125     0.2900     0.2075
01700     2.1386      0.2812     0.2950     0.2118
01800     2.1114      0.2930     0.3160     0.2214
01900     2.1157      0.2773     0.3180     0.2135
02000     2.1343      0.2148     0.3180     0.2076
02100     2.1014      0.2480     0.3220     0.2020
02200     2.0606      0.2988     0.3290     0.2105
02300     2.0884      0.3008     0.3290     0.2060
02400     2.0886      0.2656     0.3440     0.2351
02500     2.0575      0.3164     0.3440     0.1882
02600     2.0399      0.2949     0.3440     0.1961
02700     2.0602      0.3242     0.3470     0.1985
02800     2.0369      0.3379     0.3490     0.2084
02900     2.0525      0.2852     0.3560     0.2195
03000     2.0710      0.3281     0.3610     0.1948
03100     2.0485      0.3418     0.3610     0.2108
03200     2.0325      0.3477     0.3610     0.2475
03300     2.0288      0.3359     0.3630     0.1948
03400     2.0208      0.3281     0.3630     0.1930
03500     2.0302      0.2695     0.3630     0.2086
03600     2.0500      0.3242     0.3680     0.2075
03700     2.0492      0.3203     0.3680     0.2420
03800     2.0064      0.3457     0.3680     0.1957
03900     2.0394      0.2910     0.3740     0.1940
04000     1.9822      0.3633     0.3740     0.2018
04100     2.0044      0.3340     0.3830     0.2052
04200     2.0023      0.3340     0.3850     0.2063
04300     2.0027      0.3516     0.3850     0.1952
04400     2.0286      0.2812     0.3910     0.1833
04500     1.9909      0.3359     0.3930     0.1903
04600     1.9989      0.3418     0.3930     0.1913
04700     1.9999      0.3379     0.4030     0.2008
04800     1.9804      0.3750     0.4050     0.2354
04900     1.9567      0.4082     0.4050     0.2007
05000     1.9999      0.3242     0.4050     0.2074
05100     1.9942      0.3281     0.4050     0.2611
05200     1.9712      0.3223     0.4050     0.2131
05300     1.9709      0.3887     0.4050     0.2577
05400     1.9757      0.3652     0.4050     0.1891
05500     1.9837      0.3184     0.4050     0.2046
05600     1.9924      0.3652     0.4050     0.1952
05700     1.9361      0.4629     0.4500     0.2010
05800     1.9261      0.4199     0.4630     0.2032
05900     1.9556      0.4297     0.4630     0.1973
06000     1.9384      0.4082     0.4760     0.2013
06100     1.9813      0.3535     0.4780     0.1840
06200     1.9524      0.3613     0.4780     0.1950
06300     1.9284      0.4023     0.4780     0.2098
06400     1.9268      0.4102     0.4780     0.1876
06500     1.9812      0.3398     0.4780     0.2222
06600     1.9379      0.4355     0.4780     0.2014
06700     1.8977      0.4648     0.4780     0.2245
06800     1.9323      0.3906     0.4780     0.1915
06900     1.9456      0.3965     0.4780     0.1933
07000     1.9099      0.4336     0.4840     0.2077
07100     1.9193      0.4414     0.4840     0.2075
07200     1.8917      0.4277     0.4840     0.2110
07300     1.9025      0.4414     0.4880     0.1977
07400     1.9133      0.4375     0.4880     0.2068
07500     1.9299      0.4434     0.4880     0.2085
07600     1.9036      0.4629     0.4910     0.2178
07700     1.8938      0.4668     0.4910     0.1865
07800     1.9238      0.4531     0.4910     0.1980
07900     1.8867      0.4746     0.4910     0.1905
08000     1.9300      0.3867     0.4910     0.2058
08100     1.9209      0.4414     0.4910     0.1969
08200     1.9115      0.4258     0.4910     0.1891
08300     1.9076      0.4199     0.4910     0.1808
08400     1.9300      0.4316     0.5160     0.1989
08500     2.0456      0.3496     0.5160     0.2018
08600     1.9154      0.4297     0.5160     0.2100
08700     1.9695      0.4297     0.5160     0.2079
08800     1.9086      0.4355     0.5160     0.1838
08900     1.9686      0.4004     0.5160     0.2042
09000     1.9048      0.4395     0.5160     0.1988
09100     1.9050      0.4238     0.5160     0.2094
09200     1.9048      0.4102     0.5160     0.2030
09300     1.9265      0.3906     0.5160     0.2007
09400     1.8921      0.4219     0.5160     0.2078
09500     1.9072      0.4258     0.5160     0.2010
09600     1.9483      0.4238     0.5160     0.1989
09700     1.9245      0.4102     0.5160     0.2215
09800     1.9051      0.4023     0.5160     0.1958
09900     1.9019      0.4316     0.5160     0.2037
10000     1.9088      0.4258     0.5160     0.2041
10100     1.9197      0.4609     0.5160     0.1811
10200     1.9049      0.4316     0.5160     0.1874
10300     1.8971      0.4570     0.5160     0.2256
10400     1.8807      0.4590     0.5160     0.1956
10500     1.9550      0.4121     0.5160     0.2054
