Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(batch_size=256, cy_div=2, cy_scale=2, dataloader_num_workers=4, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', epochs=60000, global_beta=1.5, hidden=256, hop_length=320, hp_bw=False, init_factor=2, learning_rate=0.0005, lr_divide=15000, n_mfcc=70, noise_injection=0.1, quant_actMVM=0, quant_actNM=0, quant_inp=0, quant_w=None, sample_rate=16000, std_scale=3, testing_percentage=10, validation_batch=8192, validation_percentage=10, validation_size=3, win_length=400, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
359b7a5a-f1f4-4d00-901a-c3e142d30905
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5295      0.1367     0.0716     0.3710
00100     2.3040      0.2266     0.2096     0.1467
00200     2.2482      0.1836     0.2669     0.1717
00300     2.2153      0.2070     0.3099     0.1456
00400     2.1180      0.2539     0.3099     0.1340
00500     2.0739      0.2500     0.3099     0.1926
00600     2.0502      0.2461     0.3099     0.1812
00700     1.9663      0.2969     0.3099     0.1410
00800     1.9944      0.2695     0.3503     0.1411
00900     1.8880      0.3828     0.3698     0.1538
01000     1.9312      0.3516     0.3880     0.1939
01100     1.9071      0.3203     0.4219     0.1430
01200     1.7448      0.4492     0.4505     0.1431
01300     1.7630      0.3789     0.4505     0.1622
01400     1.7697      0.3477     0.4766     0.2042
01500     1.7695      0.3711     0.4857     0.1821
01600     1.6788      0.4531     0.4857     0.1578
01700     1.7737      0.3945     0.4857     0.1804
01800     1.6709      0.4570     0.5130     0.1471
01900     1.7293      0.4023     0.5221     0.2654
02000     1.5860      0.4570     0.5326     0.1321
02100     1.6428      0.4805     0.5482     0.2429
02200     1.7052      0.4961     0.5482     0.1558
02300     1.5957      0.5156     0.5521     0.2081
02400     1.5479      0.4727     0.5573     0.2103
02500     1.5601      0.5117     0.5612     0.1959
02600     1.5427      0.5352     0.5638     0.1859
02700     1.5521      0.5000     0.5911     0.2009
02800     1.5390      0.5469     0.5911     0.1808
02900     1.5046      0.5703     0.6042     0.1426
03000     1.5404      0.5352     0.6042     0.2155
03100     1.4017      0.6250     0.6042     0.1926
03200     1.5897      0.5234     0.6224     0.1555
03300     1.7454      0.4531     0.6224     0.2735
03400     1.7845      0.4297     0.6224     0.1384
03500     1.5348      0.5625     0.6224     0.2392
03600     1.5314      0.5000     0.6224     0.1394
03700     1.5734      0.4883     0.6224     0.1525
03800     1.5843      0.4922     0.6250     0.1371
03900     1.4550      0.6133     0.6276     0.1968
04000     1.3910      0.6055     0.6276     0.1454
04100     1.5257      0.5508     0.6276     0.1526
04200     1.4070      0.5742     0.6276     0.1610
04300     1.4655      0.5391     0.6276     0.2530
04400     1.3744      0.5898     0.6276     0.1564
04500     1.4749      0.5625     0.6276     0.2142
04600     1.4119      0.5703     0.6276     0.1818
04700     1.4572      0.5859     0.6276     0.1548
04800     1.4450      0.5977     0.6276     0.1415
04900     1.4202      0.5469     0.6276     0.2826
05000     1.3703      0.5742     0.6276     0.1440
05100     1.3704      0.5664     0.6276     0.1572
