Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(ab1=None, ab10=None, ab2=None, ab3=None, ab4=8, ab5=None, ab6=None, ab7=None, ab8=None, ab9=None, batch_size=512, dataloader_num_workers=4, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', epochs=42000, global_beta=1.5, hidden=200, hop_length=320, init_factor=2, learning_rate=0.0005, lr_divide=10000, n_mfcc=40, noise_injection=0, quant_act=None, quant_inp=None, quant_w=None, sample_rate=16000, std_scale=2, testing_percentage=10, validation_percentage=10, validation_size=1000, win_length=400, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
b785fc81-e03a-488a-9ce2-3e42a2b38203
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5128      0.0664     0.0740     0.2684
00100     2.4622      0.1055     0.1370     0.1763
00200     2.4277      0.1484     0.1930     0.1603
00300     2.3325      0.2422     0.2750     0.1810
00400     2.3140      0.1934     0.3310     0.1654
00500     2.1812      0.3613     0.3580     0.1701
00600     2.1274      0.3594     0.3680     0.1630
00700     2.1136      0.3809     0.3950     0.1589
00800     2.0515      0.4258     0.4150     0.1703
00900     2.5346      0.0625     0.4280     0.1654
01000     2.4603      0.1289     0.4280     0.1488
01100     2.3084      0.3418     0.4280     0.1716
01200     2.2302      0.3340     0.4280     0.1671
01300     2.1245      0.4004     0.4280     0.1731
01400     2.0933      0.3516     0.4280     0.1643
01500     2.1199      0.3320     0.4280     0.1593
01600     2.0250      0.4277     0.4280     0.1750
01700     2.0293      0.4023     0.4280     0.1750
01800     2.0483      0.3906     0.4300     0.1649
01900     2.0102      0.3828     0.4350     0.1819
02000     1.9962      0.4004     0.4350     0.1738
02100     1.9715      0.4609     0.4490     0.1668
02200     1.9406      0.4922     0.4890     0.1715
02300     2.0011      0.4453     0.4930     0.1628
02400     1.9860      0.4746     0.5260     0.1678
02500     2.0421      0.3672     0.5260     0.1596
02600     1.9546      0.4648     0.5260     0.1580
02700     1.9739      0.4863     0.5260     0.1754
02800     1.9857      0.4297     0.5310     0.1748
02900     1.9515      0.5000     0.5310     0.1571
03000     1.9678      0.4805     0.5310     0.1730
03100     1.9239      0.5117     0.5320     0.1755
03200     1.9641      0.4785     0.5320     0.1435
03300     1.9234      0.4883     0.5370     0.1643
03400     1.9376      0.4395     0.5370     0.1737
03500     1.9449      0.4590     0.5400     0.1552
03600     1.9627      0.4453     0.5430     0.1624
03700     1.9449      0.4922     0.5430     0.1697
03800     1.9651      0.4316     0.5450     0.1760
03900     1.9215      0.4746     0.5510     0.1708
04000     1.8998      0.5000     0.5620     0.1595
04100     1.9275      0.4609     0.5620     0.1640
04200     2.0813      0.3867     0.5620     0.1689
04300     1.9162      0.4980     0.5620     0.1646
04400     1.9066      0.4805     0.5620     0.1792
04500     1.9010      0.4746     0.5620     0.1705
04600     1.9066      0.4746     0.5620     0.2071
04700     1.8874      0.5078     0.5620     0.1606
04800     1.9035      0.4961     0.5620     0.1832
04900     1.9142      0.5039     0.5620     0.1706
05000     2.1512      0.3008     0.5620     0.1481
05100     1.9598      0.4629     0.5620     0.1724
05200     1.9861      0.4023     0.5620     0.1732
05300     1.8927      0.5176     0.5620     0.1668
05400     1.9054      0.4961     0.5620     0.1795
05500     1.9257      0.4492     0.5620     0.1713
05600     1.8876      0.5039     0.5620     0.1696
05700     1.8842      0.5020     0.5620     0.1864
05800     1.9329      0.4492     0.5620     0.1774
05900     1.9449      0.4414     0.5620     0.1679
06000     1.8951      0.4590     0.5620     0.1664
06100     1.8803      0.4648     0.5620     0.1625
06200     1.8580      0.4941     0.5620     0.1652
06300     1.8740      0.5000     0.5620     0.1519
06400     1.8753      0.4609     0.5620     0.1618
06500     1.8768      0.4707     0.5620     0.1615
06600     1.8956      0.4629     0.5620     0.1679
06700     1.8473      0.5371     0.5620     0.1706
06800     1.8445      0.4902     0.5620     0.1603
06900     1.8558      0.4844     0.5620     0.1725
07000     1.8852      0.4844     0.5620     0.1747
07100     1.8479      0.5391     0.5730     0.1699
07200     1.8699      0.4961     0.5730     0.1538
07300     1.8941      0.5059     0.5730     0.1573
07400     2.1065      0.3691     0.5730     0.1626
07500     1.8447      0.5254     0.5840     0.1603
07600     1.8747      0.5254     0.5970     0.1710
07700     1.8267      0.5547     0.6020     0.1672
07800     1.8514      0.5391     0.6060     0.1497
07900     1.8432      0.5371     0.6060     0.1614
08000     1.8509      0.5332     0.6150     0.1718
08100     1.8787      0.5234     0.6150     0.1646
08200     1.8712      0.5371     0.6150     0.1562
08300     1.8374      0.5664     0.6150     0.1729
08400     1.8692      0.5234     0.6150     0.1742
08500     1.8518      0.5469     0.6150     0.1820
08600     1.8364      0.5527     0.6150     0.1746
08700     1.8337      0.5625     0.6300     0.1581
08800     1.8309      0.5703     0.6300     0.1618
08900     2.0502      0.4414     0.6300     0.1776
09000     1.9427      0.4590     0.6300     0.1730
09100     1.8222      0.5605     0.6300     0.1558
09200     1.8439      0.5957     0.6300     0.1737
09300     1.8182      0.5820     0.6300     0.1777
09400     1.8445      0.5645     0.6310     0.1788
09500     1.8261      0.5859     0.6370     0.1608
09600     1.8324      0.5957     0.6450     0.1635
09700     1.8035      0.5879     0.6530     0.1753
09800     1.8123      0.5684     0.6530     0.1630
09900     1.8039      0.6289     0.6560     0.1585
10000     1.8113      0.6191     0.6670     0.1755
10100     1.7977      0.6289     0.6740     0.1788
10200     1.7981      0.6504     0.6980     0.1579
10300     1.8179      0.6348     0.6980     0.1728
10400     1.7954      0.6426     0.6980     0.1745
10500     1.8168      0.6309     0.6980     0.1687
10600     1.7982      0.6406     0.6980     0.1692
10700     1.7954      0.6387     0.6980     0.1666
10800     1.7996      0.6738     0.6980     0.1707
10900     1.8104      0.6543     0.6980     0.1733
11000     1.8287      0.6406     0.6980     0.1771
11100     1.8071      0.6445     0.6980     0.1706
11200     1.7946      0.6602     0.6980     0.1724
11300     1.8118      0.6523     0.6980     0.1545
11400     1.8085      0.6406     0.6980     0.1634
11500     1.7725      0.6953     0.7050     0.1740
11600     1.8266      0.6523     0.7050     0.1696
11700     1.7985      0.6816     0.7060     0.1678
11800     1.8083      0.6660     0.7310     0.1674
11900     1.8190      0.6777     0.7310     0.1682
12000     1.7848      0.7012     0.7440     0.1702
12100     1.7975      0.7148     0.7440     0.1684
12200     1.7717      0.7324     0.7440     0.1631
12300     1.8027      0.6855     0.7440     0.1534
12400     1.8053      0.6836     0.7440     0.1725
12500     1.7759      0.7246     0.7440     0.1915
12600     1.7893      0.6973     0.7500     0.1757
12700     1.7753      0.7383     0.7500     0.1641
12800     1.7746      0.7285     0.7500     0.1616
12900     1.7835      0.6973     0.7500     0.1717
13000     1.8336      0.6895     0.7500     0.1707
13100     1.7801      0.7051     0.7500     0.1643
13200     1.7740      0.7344     0.7500     0.1582
13300     1.7809      0.7246     0.7500     0.1710
13400     1.7720      0.7422     0.7610     0.1807
13500     1.7719      0.7090     0.7610     0.1666
13600     1.7829      0.7109     0.7610     0.1574
13700     1.7784      0.7070     0.7610     0.1611
13800     1.7940      0.6992     0.7610     0.1480
13900     1.7927      0.7070     0.7610     0.1760
14000     1.7942      0.7188     0.7610     0.1713
14100     1.7902      0.6855     0.7610     0.1592
14200     1.7973      0.7012     0.7610     0.1663
14300     1.7600      0.7461     0.7610     0.1707
14400     1.7543      0.7598     0.7710     0.1611
