Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(ab1=None, ab10=None, ab2=None, ab3=None, ab4=None, ab5=8, ab6=None, ab7=None, ab8=None, ab9=None, batch_size=512, dataloader_num_workers=4, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', epochs=42000, global_beta=1.5, hidden=200, hop_length=320, init_factor=2, learning_rate=0.0005, lr_divide=10000, n_mfcc=40, noise_injection=0, quant_act=None, quant_inp=None, quant_w=None, sample_rate=16000, std_scale=2, testing_percentage=10, validation_percentage=10, validation_size=1000, win_length=400, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
6daf9cb5-cf64-4a1d-b34f-e22004d789be
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5000      0.0840     0.1010     0.2055
00100     2.4885      0.0703     0.1160     0.1334
00200     2.4837      0.0957     0.1410     0.1329
00300     2.4656      0.1055     0.1730     0.1283
00400     2.4436      0.1758     0.1880     0.1292
00500     2.4426      0.1484     0.2080     0.1440
00600     2.3924      0.2070     0.2370     0.1341
00700     2.3845      0.2031     0.2380     0.1347
00800     2.3346      0.2383     0.2540     0.1289
00900     2.3029      0.2070     0.2800     0.1310
01000     2.2684      0.2148     0.2830     0.1205
01100     2.2257      0.2168     0.3000     0.1367
01200     2.2240      0.2402     0.3000     0.1258
01300     2.2261      0.2461     0.3000     0.1323
01400     2.2174      0.2207     0.3070     0.1238
01500     2.1922      0.2871     0.3180     0.1230
01600     2.1363      0.2910     0.3180     0.1418
01700     2.1632      0.3066     0.3180     0.1320
01800     2.1506      0.2793     0.3180     0.1296
01900     2.1344      0.2734     0.3370     0.1279
02000     2.1320      0.3223     0.3450     0.1330
02100     2.1361      0.3047     0.3850     0.1318
02200     2.0877      0.3379     0.3850     0.1259
02300     2.1204      0.3594     0.3850     0.1331
02400     2.1269      0.2949     0.3850     0.1217
02500     2.1187      0.3574     0.3850     0.1322
02600     2.0884      0.3418     0.3920     0.1327
02700     2.0763      0.4023     0.3960     0.1459
02800     2.0825      0.3750     0.4040     0.1442
02900     2.2046      0.2852     0.4310     0.1324
03000     2.0254      0.4355     0.4310     0.1310
03100     2.0573      0.3867     0.4310     0.1369
03200     2.1156      0.3633     0.4310     0.1302
03300     2.1424      0.3086     0.4310     0.1233
03400     2.0602      0.3926     0.4310     0.1319
03500     2.0902      0.3633     0.4490     0.1297
03600     2.1326      0.2930     0.4490     0.1210
03700     2.0647      0.3633     0.4510     0.1332
03800     2.1256      0.3008     0.4510     0.1417
03900     2.0330      0.3984     0.4510     0.1296
04000     2.1448      0.3340     0.4510     0.1212
04100     2.0747      0.3496     0.4510     0.1235
04200     2.0510      0.4219     0.4510     0.1227
04300     2.4582      0.1797     0.4510     0.1308
04400     2.3907      0.2070     0.4510     0.1322
04500     2.3411      0.2617     0.4510     0.1293
04600     2.3045      0.2949     0.4510     0.1308
04700     2.4127      0.1738     0.4510     0.1303
04800     2.3581      0.2070     0.4510     0.1299
04900     2.3938      0.1797     0.4510     0.1225
05000     2.2976      0.2676     0.4510     0.1195
05100     2.3111      0.1992     0.4510     0.1300
05200     2.3383      0.1973     0.4510     0.1315
05300     2.2606      0.2227     0.4510     0.1221
05400     2.2684      0.2441     0.4510     0.1281
05500     2.3546      0.1914     0.4510     0.1322
05600     2.3067      0.2168     0.4510     0.1312
05700     2.3659      0.1836     0.4510     0.1212
05800     2.2688      0.2422     0.4510     0.1246
05900     2.2395      0.2695     0.4510     0.1303
06000     2.2513      0.2852     0.4510     0.1212
06100     2.2149      0.2773     0.4510     0.1238
06200     2.1783      0.3047     0.4510     0.1278
06300     2.2772      0.2559     0.4510     0.1232
06400     2.2437      0.2246     0.4510     0.1210
06500     2.1812      0.3125     0.4510     0.1281
06600     2.2110      0.2695     0.4510     0.1418
06700     2.1861      0.2578     0.4510     0.1277
06800     2.1856      0.2832     0.4510     0.1430
06900     2.2043      0.2344     0.4510     0.1273
07000     2.1483      0.3008     0.4510     0.1442
07100     2.1388      0.3145     0.4510     0.1334
07200     2.1433      0.2812     0.4510     0.1280
07300     2.1331      0.2930     0.4510     0.1308
07400     2.1051      0.2871     0.4510     0.1294
07500     2.1618      0.2930     0.4510     0.1210
07600     2.1075      0.3145     0.4510     0.1296
07700     2.1003      0.3301     0.4510     0.1229
07800     2.0571      0.3633     0.4510     0.1259
07900     2.1666      0.3047     0.4510     0.1458
08000     2.0787      0.3574     0.4510     0.1240
08100     2.1279      0.3008     0.4510     0.1250
08200     2.4262      0.1504     0.4510     0.1303
08300     2.3205      0.2480     0.4510     0.1308
08400     2.2792      0.2754     0.4510     0.1263
08500     2.2753      0.3027     0.4510     0.1228
08600     2.1933      0.3730     0.4510     0.1312
08700     2.1927      0.3008     0.4510     0.1319
08800     2.1479      0.3770     0.4510     0.1277
08900     2.1421      0.3848     0.4510     0.1206
09000     2.1006      0.4004     0.4510     0.1437
09100     2.0573      0.4180     0.4510     0.1321
09200     2.0818      0.4180     0.4510     0.1220
09300     2.1293      0.3398     0.4740     0.1431
09400     2.0874      0.4219     0.4740     0.1301
09500     2.1001      0.4336     0.4740     0.1331
09600     2.0636      0.4336     0.4740     0.1303
09700     2.0672      0.4160     0.4740     0.1315
09800     2.0842      0.3730     0.4740     0.1430
09900     2.0936      0.3516     0.4750     0.1299
10000     2.0502      0.4316     0.4750     0.1266
10100     2.0362      0.4355     0.4760     0.1300
10200     2.0654      0.4102     0.4980     0.1308
10300     2.0302      0.4512     0.4980     0.1447
10400     2.0170      0.4902     0.5080     0.1433
10500     2.0451      0.4473     0.5080     0.1272
10600     2.0286      0.4238     0.5130     0.1287
10700     2.0462      0.4043     0.5130     0.1247
10800     2.0320      0.4688     0.5130     0.1272
10900     2.0298      0.4160     0.5130     0.1306
11000     2.0540      0.4082     0.5130     0.1319
11100     2.0492      0.4180     0.5130     0.1284
11200     2.0151      0.4746     0.5130     0.1219
11300     1.9945      0.5000     0.5130     0.1267
11400     2.0158      0.4336     0.5130     0.1333
11500     2.0334      0.4199     0.5130     0.1312
11600     2.0173      0.4648     0.5130     0.1236
11700     2.0081      0.4570     0.5130     0.1254
11800     2.0139      0.4238     0.5130     0.1240
11900     2.0241      0.4336     0.5130     0.1289
12000     2.0213      0.4258     0.5130     0.1219
12100     2.0296      0.4336     0.5130     0.1228
12200     2.0016      0.4824     0.5130     0.1510
12300     2.0127      0.4355     0.5130     0.1210
12400     2.0022      0.4805     0.5130     0.1236
12500     2.0925      0.3809     0.5130     0.1429
12600     2.0313      0.4551     0.5130     0.1451
12700     2.0179      0.4473     0.5130     0.1224
12800     2.0270      0.4473     0.5130     0.1297
12900     2.0186      0.4473     0.5130     0.1201
13000     1.9893      0.4609     0.5130     0.1220
13100     2.0138      0.4434     0.5130     0.1286
13200     2.0067      0.4805     0.5130     0.1267
13300     1.9850      0.4883     0.5130     0.1388
13400     1.9991      0.4453     0.5200     0.1249
13500     2.0081      0.4473     0.5200     0.1206
13600     1.9875      0.4805     0.5200     0.1275
13700     1.9934      0.4590     0.5200     0.1300
13800     2.1066      0.3535     0.5220     0.1274
13900     2.0149      0.4570     0.5220     0.1272
14000     1.9761      0.4785     0.5220     0.1263
14100     1.9725      0.4688     0.5220     0.1310
14200     1.9905      0.4492     0.5220     0.1305
14300     1.9668      0.4746     0.5220     0.1297
14400     1.9839      0.5254     0.5370     0.1278
14500     1.9658      0.4941     0.5370     0.1271
14600     1.9788      0.4863     0.5370     0.1309
14700     1.9895      0.4629     0.5420     0.1304
14800     1.9721      0.4941     0.5420     0.1294
14900     1.9627      0.5488     0.5420     0.1250
15000     1.9996      0.4551     0.5420     0.1474
15100     1.9838      0.4434     0.5420     0.1300
15200     1.9474      0.5391     0.5420     0.1310
15300     2.0101      0.4805     0.5420     0.1261
15400     1.9810      0.4688     0.5420     0.1337
15500     2.0126      0.4688     0.5420     0.1304
15600     1.9460      0.5059     0.5420     0.1277
15700     1.9615      0.5039     0.5450     0.1193
15800     1.9728      0.4961     0.5500     0.1319
15900     2.0020      0.4805     0.5500     0.1303
16000     1.9597      0.5234     0.5500     0.1287
16100     1.9566      0.5156     0.5500     0.1232
16200     1.9924      0.4570     0.5540     0.1324
16300     1.9559      0.4434     0.5540     0.1255
16400     1.9606      0.4688     0.5540     0.1224
16500     1.9864      0.4980     0.5570     0.1287
16600     1.9379      0.5215     0.5570     0.1288
16700     2.0967      0.4180     0.5570     0.1211
16800     1.9684      0.5039     0.5570     0.1285
16900     1.9811      0.4766     0.5570     0.1321
17000     1.9834      0.4414     0.5570     0.1300
17100     1.9830      0.4785     0.5570     2.3527
17200     1.9913      0.4707     0.5570     0.1201
17300     1.9646      0.4609     0.5570     0.1226
17400     1.9726      0.4746     0.5570     0.1297
17500     2.0301      0.4551     0.5570     0.1249
17600     1.9868      0.5039     0.5570     0.1321
17700     1.9888      0.4492     0.5570     0.1296
17800     1.9764      0.4824     0.5570     0.1314
17900     1.9639      0.4824     0.5570     0.1226
18000     1.9780      0.4492     0.5650     0.1414
18100     1.9375      0.5020     0.5650     0.1290
18200     1.9956      0.4688     0.5650     0.1311
18300     1.9621      0.4980     0.5650     0.1303
18400     1.9633      0.4980     0.5650     0.1221
18500     1.9257      0.4883     0.5650     0.1225
18600     1.9769      0.4746     0.5650     0.1481
18700     1.9709      0.4668     0.5650     0.1305
18800     1.9642      0.4785     0.5650     0.1269
18900     1.9747      0.5059     0.5650     0.1229
19000     1.9771      0.4766     0.5650     0.1347
19100     1.9562      0.4883     0.5650     0.1229
19200     1.9286      0.5352     0.5650     0.1287
19300     1.9396      0.5215     0.5650     0.1300
19400     1.9558      0.4883     0.5650     0.1319
19500     1.9362      0.5020     0.5650     0.1251
19600     1.9385      0.4863     0.5650     0.1308
19700     1.9260      0.4746     0.5650     0.1303
19800     1.9475      0.4941     0.5650     0.1224
19900     1.9856      0.4824     0.5650     0.1224
20000     1.9628      0.4922     0.5650     0.1280
20100     1.9583      0.4902     0.5650     0.1330
20200     1.9152      0.5410     0.5650     0.1332
20300     1.9449      0.4805     0.5700     0.1229
20400     1.9480      0.4980     0.5700     0.1300
20500     1.9702      0.4961     0.5700     0.1239
20600     1.9130      0.5879     0.5700     0.1311
20700     1.9109      0.5547     0.5700     0.1445
20800     1.9168      0.5137     0.5700     0.1299
20900     1.9343      0.5234     0.5770     0.1264
21000     1.9295      0.4727     0.5770     0.1316
21100     1.9244      0.5000     0.5770     0.1298
21200     1.9490      0.5234     0.5770     0.1246
21300     1.9590      0.4844     0.5770     0.1263
21400     1.9496      0.4922     0.5770     0.1252
21500     1.9444      0.4746     0.5770     0.1271
21600     1.9171      0.5098     0.5770     0.1443
21700     1.9208      0.5137     0.5770     0.1353
21800     1.9564      0.4727     0.5770     0.1297
21900     1.9354      0.5078     0.5770     0.1207
22000     1.9798      0.4395     0.5770     0.1263
22100     1.9454      0.4863     0.5770     0.1303
22200     1.9415      0.5059     0.5770     0.1245
22300     1.9030      0.5176     0.5770     0.1237
22400     1.9309      0.5137     0.5770     0.1312
22500     1.9195      0.5176     0.5770     0.1277
22600     1.9279      0.5234     0.5770     0.1288
22700     1.9153      0.5176     0.5770     0.1273
22800     1.9001      0.5352     0.5770     0.1344
22900     1.9094      0.5527     0.5770     0.1233
23000     1.9264      0.4766     0.5770     0.1315
23100     1.9204      0.5137     0.5770     0.1318
23200     1.9092      0.5391     0.5770     0.1305
23300     1.9308      0.5352     0.5770     0.1287
23400     1.9359      0.5391     0.5770     0.1297
23500     1.9194      0.5586     0.5790     0.1298
23600     1.9576      0.5195     0.5880     0.1302
23700     1.9676      0.4824     0.5880     0.1272
23800     1.9444      0.5098     0.5880     0.1288
23900     1.9331      0.5234     0.5880     0.1265
24000     1.9299      0.5410     0.5880     0.1281
24100     1.9203      0.5371     0.5880     0.1215
24200     1.8938      0.6094     0.5880     0.1265
24300     1.9254      0.4961     0.5880     0.1303
24400     1.9061      0.5156     0.5880     0.1219
24500     1.8888      0.5391     0.5880     0.1291
24600     1.9081      0.5625     0.5880     0.1241
24700     1.9640      0.4492     0.5880     0.1460
24800     1.9216      0.5293     0.5880     0.1220
24900     1.9202      0.5391     0.5880     0.1240
25000     1.9318      0.5195     0.5880     0.1233
25100     1.9090      0.5312     0.5880     0.1225
25200     1.9261      0.4941     0.5880     0.1315
25300     1.9404      0.5176     0.5880     0.1297
25400     1.9740      0.4668     0.5880     0.1326
