Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', finetuning_epochs=10000, hidden=118, hop_length=320, l2=0.01, learning_rate='0.0005,0.0001,0.00002', method=0, n_mfcc=40, n_msb=3, noise_injectionI=0.1, noise_injectionT=0.1, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=8627169, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
ce44d12c-bfc2-42b8-bd81-fae4351f688c
Start training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.7145      0.0800     0.0801     61.5422
00100     2.2528      0.2900     0.3112     284.8023
00200     1.8012      0.3800     0.4105     287.5040
00300     1.7489      0.3800     0.5250     294.1688
00400     1.4019      0.5500     0.6071     299.4956
00500     1.0358      0.6700     0.6601     294.1040
00600     1.0774      0.6400     0.6943     296.5869
00700     0.9781      0.6700     0.7163     298.2259
00800     0.8760      0.7500     0.7378     301.6170
00900     1.0358      0.6400     0.7378     286.7981
01000     0.9697      0.6500     0.7539     291.9479
01100     0.9423      0.6500     0.7629     292.1575
01200     0.9724      0.7000     0.7701     294.2729
01300     0.7681      0.8100     0.7701     295.6312
01400     1.1168      0.7000     0.7755     299.2062
01500     0.8862      0.6900     0.7756     305.5804
01600     0.9989      0.6600     0.7826     295.3607
01700     0.9789      0.7400     0.7978     299.8325
01800     0.8144      0.7600     0.7993     296.7938
01900     0.8094      0.7400     0.7993     298.7371
02000     1.0636      0.7400     0.8060     297.6461
02100     0.8103      0.7600     0.8060     294.3371
02200     0.6962      0.7900     0.8062     292.6606
02300     0.7248      0.7800     0.8071     293.4549
02400     0.6938      0.7800     0.8071     311.6613
02500     0.7387      0.7400     0.8127     290.9262
02600     0.7391      0.7900     0.8148     290.2950
02700     0.7220      0.7700     0.8148     300.2786
02800     0.8887      0.7400     0.8148     301.5403
02900     0.6532      0.8000     0.8213     298.2053
03000     0.8788      0.7600     0.8213     290.8164
03100     0.5786      0.7900     0.8257     293.9185
03200     0.5419      0.8100     0.8322     297.3704
03300     0.8132      0.7500     0.8322     294.9755
03400     0.8540      0.7200     0.8322     294.5432
03500     0.6517      0.8000     0.8322     293.3958
03600     0.5840      0.8400     0.8322     291.9846
03700     0.6938      0.7400     0.8322     295.2494
03800     0.6426      0.8000     0.8322     298.9676
03900     0.8329      0.7300     0.8374     289.6311
04000     0.5342      0.8100     0.8374     290.3889
04100     0.5248      0.8100     0.8489     292.8375
04200     0.8164      0.7100     0.8489     303.3211
04300     0.7563      0.7400     0.8489     288.9785
04400     0.7449      0.7900     0.8489     310.5565
04500     0.7186      0.7700     0.8489     298.9724
04600     0.5147      0.8300     0.8489     300.2472
04700     0.4823      0.8200     0.8489     301.6656
04800     0.6979      0.8100     0.8489     310.5743
04900     0.7072      0.7500     0.8489     290.0258
05000     0.6499      0.8000     0.8489     309.1221
05100     0.6752      0.7700     0.8512     297.3894
05200     0.3723      0.8800     0.8512     296.3960
05300     0.5835      0.8300     0.8512     297.9279
05400     0.6964      0.7800     0.8512     302.7039
05500     0.7212      0.7600     0.8524     304.3648
05600     0.7170      0.7800     0.8524     296.5747
05700     0.5200      0.8100     0.8524     292.6923
05800     0.4878      0.8100     0.8524     296.2616
05900     0.6806      0.7800     0.8524     294.3819
06000     0.7012      0.7800     0.8524     287.2666
06100     0.5973      0.8000     0.8524     291.2309
06200     0.6000      0.7700     0.8524     300.3594
06300     0.6195      0.8000     0.8524     332.0041
06400     0.6857      0.8100     0.8524     316.6137
06500     0.6555      0.7700     0.8524     297.1454
06600     0.6396      0.7800     0.8524     295.0105
06700     0.3692      0.8900     0.8524     295.9267
06800     0.3735      0.9000     0.8524     300.8563
06900     0.5649      0.8100     0.8524     296.0360
07000     0.7359      0.8000     0.8526     306.3805
07100     0.5229      0.8500     0.8576     298.2154
07200     0.5053      0.8500     0.8576     304.4319
07300     0.5690      0.8300     0.8576     304.3529
07400     0.7085      0.7700     0.8576     295.3594
07500     0.6061      0.8100     0.8576     277.9355
07600     0.5097      0.8100     0.8576     272.3787
07700     0.4630      0.8500     0.8576     272.3845
07800     0.5980      0.8300     0.8576     280.1386
07900     0.5890      0.8400     0.8576     297.1436
08000     0.6683      0.8000     0.8576     302.5052
08100     0.5892      0.8400     0.8576     313.4211
08200     0.4954      0.8400     0.8605     321.0988
08300     0.5739      0.7600     0.8605     285.5892
