Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', finetuning_epochs=10000, hidden=118, hop_length=320, l2=0.01, learning_rate='0.0005,0.0001,0.00002', method=0, n_mfcc=40, n_msb=3, noise_injectionI=0.1, noise_injectionT=0.1, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
43e0eeee-5a4b-4025-8ab9-b6021f0d7be0
Start training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     3.0161      0.1000     0.0784     65.0766
00100     2.3096      0.2500     0.2684     378.0899
00200     1.8331      0.3800     0.4183     379.8769
00300     1.4845      0.5500     0.5267     403.6758
00400     1.3519      0.5400     0.5842     402.6299
00500     1.1999      0.5800     0.6357     409.9179
00600     1.3827      0.5000     0.6593     390.4466
00700     1.1971      0.6300     0.6921     406.5532
00800     0.9502      0.7100     0.7036     404.0183
00900     0.9717      0.7400     0.7216     399.3533
01000     0.9870      0.6700     0.7300     391.4881
01100     1.0887      0.6300     0.7437     404.8159
01200     0.7936      0.7300     0.7524     398.6780
01300     1.0292      0.6300     0.7574     403.8387
01400     0.9265      0.6900     0.7691     390.2628
01500     0.7751      0.7300     0.7801     391.3329
01600     0.9159      0.6700     0.7863     389.4695
01700     0.7560      0.7800     0.7863     395.8480
01800     1.0683      0.6600     0.7863     409.1354
01900     0.6100      0.8100     0.7872     387.5795
02000     0.9436      0.7000     0.7944     396.3826
02100     0.7125      0.7800     0.7974     406.7546
02200     0.7214      0.7500     0.7974     394.4200
02300     0.7487      0.8000     0.7974     389.7719
02400     0.6603      0.8100     0.8026     402.4940
02500     0.8729      0.7300     0.8026     403.7418
02600     0.7401      0.7600     0.8026     414.1618
02700     0.6101      0.8100     0.8060     379.6558
02800     0.7000      0.7600     0.8060     380.1692
02900     0.7225      0.7600     0.8069     384.0046
03000     0.8009      0.7200     0.8120     387.0609
03100     0.7663      0.7500     0.8120     403.6131
03200     0.7885      0.7000     0.8120     397.9878
03300     0.7527      0.7500     0.8121     392.8428
03400     0.6250      0.8400     0.8121     393.3008
03500     0.7916      0.7900     0.8205     382.7389
03600     0.7839      0.7700     0.8205     391.5240
03700     0.8480      0.7300     0.8293     398.8300
03800     0.7706      0.7900     0.8293     384.5272
03900     0.6050      0.8300     0.8293     379.9177
04000     0.7281      0.7600     0.8297     374.9043
04100     0.6899      0.7800     0.8297     387.5207
04200     0.6759      0.8200     0.8344     408.9787
04300     0.5814      0.8100     0.8359     402.8603
04400     0.5483      0.8200     0.8378     403.8929
04500     0.7552      0.7800     0.8378     409.0073
04600     0.6326      0.8000     0.8378     409.9063
04700     0.5723      0.8200     0.8378     395.1335
04800     0.6533      0.8000     0.8378     393.0365
04900     0.6386      0.8000     0.8393     399.0372
05000     0.7855      0.7200     0.8393     403.0157
05100     0.5426      0.8200     0.8393     387.9049
05200     0.5934      0.8000     0.8393     409.2115
05300     0.6416      0.7900     0.8393     406.7835
05400     0.6031      0.8100     0.8400     381.6930
05500     0.5180      0.8200     0.8495     378.6770
05600     0.5319      0.8600     0.8495     394.6921
05700     0.8166      0.7600     0.8495     399.5821
05800     0.5265      0.8400     0.8495     407.8022
05900     0.5751      0.8600     0.8495     409.0400
06000     0.5918      0.8300     0.8495     399.9820
06100     0.7472      0.7900     0.8495     405.0474
06200     0.5303      0.8600     0.8495     404.6544
06300     0.4690      0.8300     0.8495     411.1386
06400     0.5007      0.8400     0.8495     403.5947
06500     0.6066      0.8300     0.8495     413.7678
06600     0.7164      0.7800     0.8524     396.0934
06700     0.7731      0.7900     0.8524     401.7131
06800     0.6309      0.8400     0.8524     395.3300
06900     0.6078      0.7800     0.8524     405.1322
07000     0.7385      0.7500     0.8524     404.8085
07100     0.6066      0.8200     0.8524     397.0806
07200     0.6093      0.7600     0.8524     406.7022
07300     0.5904      0.8400     0.8539     390.0203
07400     0.6453      0.8200     0.8539     391.5326
07500     0.6128      0.8200     0.8539     390.4221
07600     0.5218      0.8600     0.8539     377.9595
07700     0.4702      0.8500     0.8539     369.8520
07800     0.6095      0.8300     0.8539     377.4368
07900     0.5853      0.8100     0.8539     393.5374
08000     0.7732      0.7200     0.8547     385.7730
08100     0.6522      0.8100     0.8547     385.7828
08200     0.6294      0.8100     0.8547     370.4177
08300     0.7562      0.7900     0.8547     389.6618
08400     0.4794      0.8300     0.8547     392.1195
08500     0.4828      0.8500     0.8547     389.0538
08600     0.4668      0.8400     0.8547     377.5326
08700     0.4233      0.8800     0.8583     402.3023
08800     0.4997      0.8400     0.8583     407.2851
08900     0.4954      0.8300     0.8583     392.9169
09000     0.6053      0.8100     0.8583     393.1539
09100     0.6482      0.8300     0.8583     405.6071
09200     0.5246      0.8500     0.8583     390.4058
09300     0.5822      0.8600     0.8583     408.9480
09400     0.5149      0.8500     0.8583     372.5721
09500     0.5267      0.8500     0.8583     372.7181
09600     0.5411      0.8500     0.8589     388.0560
09700     0.6169      0.8000     0.8589     393.1405
09800     0.5765      0.8300     0.8589     396.2289
09900     0.6770      0.8100     0.8589     406.4324
