Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', finetuning_epochs=10000, hidden=118, hop_length=320, l2=0.01, learning_rate='0.0005,0.0001,0.00002', method=0, n_mfcc=40, n_msb=3, noise_injectionI=0.1, noise_injectionT=0.1, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
c06ba4e5-eb5b-4d79-892a-4ef8bd22e8cf
Start training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.7415      0.1000     0.1346     63.9520
00100     2.2486      0.3300     0.2874     314.3906
00200     1.9464      0.3700     0.4035     305.2580
00300     1.7228      0.4200     0.5121     303.9827
00400     1.3138      0.5600     0.5834     300.7154
00500     1.1233      0.5900     0.6420     299.0644
00600     0.9900      0.7000     0.6880     292.2070
00700     1.0650      0.7200     0.7116     299.9781
00800     1.2203      0.6200     0.7186     301.3171
00900     1.0762      0.6900     0.7313     306.3953
01000     1.1182      0.6700     0.7478     297.2385
01100     0.9369      0.7200     0.7509     298.3882
01200     1.0404      0.6600     0.7663     312.3862
01300     0.9622      0.6900     0.7740     313.7016
01400     0.8342      0.7500     0.7763     305.1474
01500     0.8760      0.6800     0.7822     299.0191
01600     0.7953      0.7600     0.7847     305.4744
01700     0.9211      0.6600     0.7894     304.3293
01800     0.9692      0.6800     0.7931     296.7165
01900     1.0535      0.6600     0.7957     307.1377
02000     1.0470      0.6900     0.8018     304.2881
02100     0.9955      0.7100     0.8018     297.3905
02200     0.8066      0.7200     0.8018     299.9605
02300     0.8046      0.7700     0.8057     302.6378
02400     0.8777      0.7200     0.8068     307.5837
02500     0.9340      0.7000     0.8130     307.3294
02600     0.7515      0.7700     0.8166     309.8871
02700     0.6301      0.8000     0.8175     316.3774
02800     0.6709      0.7900     0.8175     320.4195
02900     0.6575      0.8000     0.8175     300.0259
03000     0.8050      0.7500     0.8204     305.6517
03100     0.5349      0.8600     0.8271     307.9687
03200     0.6950      0.7800     0.8271     295.8648
03300     0.7790      0.7600     0.8271     299.3651
03400     0.7158      0.7500     0.8303     304.7268
03500     0.6501      0.8200     0.8330     298.7378
03600     0.7512      0.7500     0.8360     299.2655
03700     0.4676      0.8400     0.8360     299.2591
03800     0.6995      0.7800     0.8360     302.6420
03900     0.7126      0.7600     0.8360     302.6911
04000     0.7564      0.7500     0.8360     303.4003
04100     0.6565      0.7800     0.8390     306.1597
04200     0.8770      0.7500     0.8392     304.5013
04300     0.7679      0.7400     0.8392     303.7929
04400     0.8379      0.7600     0.8397     309.6838
04500     0.7844      0.7700     0.8490     306.5858
04600     0.6096      0.8200     0.8490     303.3496
04700     0.6966      0.7700     0.8490     317.9505
04800     0.6646      0.8100     0.8490     301.1901
04900     0.5167      0.8300     0.8490     299.1895
05000     0.6552      0.8200     0.8511     312.5172
05100     0.7403      0.7300     0.8511     312.1498
05200     0.4894      0.8800     0.8524     296.7164
05300     0.7003      0.7700     0.8524     306.9055
05400     0.7106      0.7900     0.8524     314.0704
05500     0.4221      0.8800     0.8524     313.7814
05600     0.5974      0.8400     0.8524     316.1084
05700     0.7616      0.7300     0.8567     301.6266
05800     0.6091      0.8300     0.8567     299.8168
05900     0.6206      0.8200     0.8567     302.4560
06000     0.7022      0.7400     0.8567     301.7991
06100     0.5700      0.8300     0.8567     300.8674
06200     0.4699      0.8300     0.8573     310.9307
06300     0.4770      0.8800     0.8573     303.8714
06400     0.4644      0.8700     0.8573     304.7303
06500     0.6353      0.8000     0.8573     300.7780
