Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', finetuning_epochs=10000, hidden=118, hop_length=320, l2=0.01, learning_rate='0.0005,0.0001,0.00002', method=0, n_mfcc=40, n_msb=3, noise_injectionI=0.1, noise_injectionT=0.1, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=8627169, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
80392693-d435-470b-be9c-caa2f58df9ac
Start training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.8593      0.0600     0.0570     63.4430
00100     2.2188      0.2400     0.3066     340.1705
00200     1.7313      0.4600     0.4490     339.2021
00300     1.7305      0.4800     0.5207     337.9907
00400     1.4934      0.5400     0.6004     338.2720
00500     1.1727      0.6800     0.6441     337.8412
00600     1.3079      0.5600     0.6764     337.9498
00700     1.1328      0.6400     0.7046     338.4505
00800     0.9670      0.7100     0.7135     337.5327
00900     0.8448      0.7200     0.7352     338.1825
01000     1.0372      0.6800     0.7419     338.8450
01100     1.0279      0.6800     0.7497     337.9356
01200     1.0956      0.6400     0.7617     337.2267
01300     0.8686      0.7300     0.7734     337.1088
01400     0.7843      0.7700     0.7778     339.6437
01500     0.7001      0.7900     0.7778     337.8214
01600     0.7833      0.7800     0.7841     338.2738
01700     0.6794      0.7900     0.7841     336.7234
01800     0.9388      0.7200     0.7940     339.2024
01900     0.8078      0.6900     0.7940     339.4770
02000     0.8494      0.7400     0.8088     337.8217
02100     0.9806      0.6900     0.8088     338.0879
02200     0.8409      0.7200     0.8088     337.9627
02300     0.6677      0.7800     0.8088     338.0468
02400     0.5613      0.8100     0.8088     337.8322
02500     0.8109      0.7600     0.8125     337.4887
02600     0.9165      0.7200     0.8162     339.1327
02700     0.7543      0.7600     0.8166     338.6237
02800     0.8677      0.7300     0.8166     338.2665
