Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', finetuning_epochs=10000, hidden=118, hop_length=320, l2=0.01, learning_rate='0.0001,0.00005,0.00001', max_w=0.1, method=0, n_mfcc=40, n_msb=8, noise_injectionI=0.1, noise_injectionT=0.17, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
caae8175-8012-4e3f-9a47-ebc356a51a84
Start training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.7053      0.1300     0.0830     16.4857
00100     2.5058      0.1100     0.0996     60.8627
00200     2.4365      0.2000     0.2084     60.8860
00300     2.3819      0.2200     0.2191     62.2375
00400     2.3571      0.2100     0.2418     61.5797
00500     2.2780      0.2400     0.2891     60.8162
00600     2.2329      0.2700     0.3214     61.8877
00700     2.1022      0.3400     0.3445     62.8135
00800     2.0197      0.3800     0.3863     62.3088
00900     2.0653      0.3500     0.3999     60.8817
01000     1.9070      0.4000     0.4183     61.0991
01100     1.9970      0.3100     0.4497     60.5951
01200     1.7055      0.4800     0.4584     60.2236
01300     1.8694      0.3700     0.4822     62.5232
01400     1.6098      0.5200     0.4957     62.8700
01500     1.5884      0.4800     0.5035     61.3539
01600     1.4909      0.5500     0.5249     61.4027
01700     1.6166      0.5000     0.5402     61.5602
01800     1.6626      0.4100     0.5587     63.6401
01900     1.4126      0.5300     0.5645     61.9360
02000     1.4410      0.5500     0.5850     62.5580
02100     1.2944      0.5900     0.5899     60.9916
02200     1.2425      0.6600     0.6039     60.9566
02300     1.4663      0.5800     0.6189     62.3621
02400     1.2392      0.6500     0.6189     61.9245
02500     1.3801      0.5000     0.6202     60.9519
02600     1.2698      0.6000     0.6389     61.2032
02700     1.2201      0.6000     0.6444     60.0134
02800     1.1799      0.6900     0.6548     60.5270
02900     1.0424      0.7300     0.6615     60.9412
03000     1.1493      0.6600     0.6686     59.7842
03100     1.1422      0.6600     0.6743     61.7343
03200     1.2200      0.6500     0.6743     61.5497
03300     1.2604      0.6400     0.6779     62.3685
03400     1.1480      0.5800     0.6884     60.5243
03500     1.3640      0.5300     0.6884     61.1239
03600     1.1450      0.6700     0.7040     63.0728
03700     1.1667      0.6700     0.7040     61.9714
03800     1.1483      0.7100     0.7091     60.5997
03900     1.1335      0.6400     0.7091     60.3809
04000     1.0736      0.6400     0.7122     60.5667
04100     1.1508      0.6300     0.7213     62.9853
04200     1.0171      0.7200     0.7232     60.8910
