Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', finetuning_epochs=10000, hidden=118, hop_length=320, l2=0.01, learning_rate='0.0005,0.0001,0.00002', max_w=0.1, method=0, n_mfcc=40, n_msb=8, noise_injectionI=0.1, noise_injectionT=0.17, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=8627169, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
af1efd07-9491-4e66-a2eb-535459649000
Start training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.7145      0.0600     0.0531     15.1348
00100     2.2706      0.2100     0.2635     47.2336
00200     1.9702      0.4000     0.4027     44.9377
00300     1.8273      0.4400     0.4709     48.3451
00400     1.7395      0.4500     0.5343     48.2460
00500     1.3310      0.5600     0.5879     47.3998
00600     1.4002      0.6000     0.6478     47.0017
00700     1.2732      0.5900     0.6815     46.2215
00800     1.0389      0.7000     0.6891     48.7841
00900     0.9251      0.7700     0.7251     47.1219
01000     1.1355      0.6200     0.7251     46.4820
01100     1.1186      0.6300     0.7313     44.4120
01200     1.3126      0.5500     0.7397     44.9867
01300     0.9547      0.7500     0.7511     49.1126
01400     0.9326      0.7600     0.7601     44.2531
01500     0.8347      0.7700     0.7601     45.0185
01600     0.8533      0.7400     0.7646     44.5048
01700     0.8464      0.7300     0.7743     45.5820
01800     0.9796      0.7100     0.7746     47.1837
01900     0.8541      0.6800     0.7882     49.5723
02000     0.8658      0.7400     0.7882     45.5135
02100     1.0926      0.6300     0.7953     45.0782
02200     0.9353      0.6900     0.7985     46.2332
02300     0.6555      0.8200     0.8072     47.1798
02400     0.7598      0.7500     0.8072     46.8779
02500     0.8816      0.7400     0.8122     45.6443
02600     0.9800      0.6500     0.8122     46.0335
02700     0.7470      0.7700     0.8131     44.7822
02800     0.8457      0.7600     0.8131     44.7522
02900     0.8121      0.7900     0.8167     44.5451
03000     1.0017      0.7300     0.8167     45.7014
03100     0.7269      0.7500     0.8167     44.3552
03200     0.7049      0.8000     0.8167     44.7074
03300     0.7121      0.7900     0.8167     46.1784
03400     0.5135      0.8500     0.8167     47.8327
03500     0.7595      0.7700     0.8167     50.7761
03600     0.9307      0.6900     0.8167     50.5901
03700     0.8092      0.7400     0.8167     50.8724
03800     0.7257      0.7600     0.8167     49.8558
03900     0.7460      0.7300     0.8167     49.0707
04000     0.6323      0.8100     0.8167     49.7767
04100     0.8647      0.7200     0.8240     49.3234
04200     0.8364      0.7000     0.8281     48.7358
04300     0.8285      0.7500     0.8281     47.4750
04400     0.7844      0.7300     0.8331     47.7830
04500     0.6853      0.8100     0.8331     47.6953
04600     0.8113      0.7200     0.8331     49.4823
04700     0.5539      0.8500     0.8338     51.4828
04800     0.8305      0.7400     0.8338     48.6959
04900     0.7419      0.7600     0.8338     51.8516
05000     0.8308      0.7500     0.8338     50.0680
05100     0.6122      0.7800     0.8338     50.5535
05200     0.6689      0.8300     0.8338     49.4046
05300     0.7275      0.7700     0.8338     49.7291
05400     0.7728      0.7400     0.8383     48.3028
05500     0.5995      0.8400     0.8383     48.0175
05600     0.5908      0.8300     0.8383     48.3299
05700     0.6810      0.7800     0.8389     47.0081
05800     0.5186      0.8600     0.8389     49.0409
05900     0.7285      0.7900     0.8389     49.2526
06000     0.6775      0.8100     0.8389     48.3448
06100     0.5397      0.8400     0.8389     50.2649
06200     0.7351      0.7700     0.8436     49.7169
06300     0.6425      0.8000     0.8438     47.9225
06400     0.5951      0.7900     0.8438     48.4454
06500     0.7119      0.7700     0.8438     50.0470
06600     0.8075      0.7400     0.8511     48.6617
06700     0.6415      0.8400     0.8516     47.6490
06800     0.6972      0.7700     0.8516     48.7499
06900     0.8513      0.7000     0.8516     48.7021
07000     0.5460      0.8400     0.8516     46.6205
07100     0.8584      0.7400     0.8516     50.0917
07200     0.5771      0.8200     0.8516     49.6489
07300     0.7365      0.7800     0.8516     49.4204
07400     0.6351      0.8100     0.8516     49.3827
07500     0.5143      0.8700     0.8516     51.4701
07600     0.7468      0.7600     0.8516     49.9132
07700     0.5622      0.8600     0.8516     49.9361
07800     0.6189      0.8400     0.8516     50.6443
07900     0.6398      0.7500     0.8516     49.9695
08000     0.5630      0.8400     0.8520     48.1940
08100     0.5264      0.8300     0.8520     47.1492
08200     0.7750      0.7300     0.8520     47.2276
08300     0.4943      0.8600     0.8520     51.6471
08400     0.7140      0.7400     0.8542     50.1019
08500     0.6934      0.7800     0.8542     47.8353
08600     0.5034      0.8400     0.8542     49.8929
08700     0.7297      0.7900     0.8542     48.4525
08800     0.6195      0.8300     0.8542     48.5263
08900     0.5578      0.8100     0.8542     48.7163
09000     0.7205      0.7500     0.8542     51.7448
09100     0.5204      0.8300     0.8542     50.0310
09200     0.6548      0.8000     0.8586     48.2036
09300     0.6174      0.8200     0.8586     47.3862
09400     0.6600      0.7400     0.8586     46.1146
09500     0.6715      0.8200     0.8586     48.8676
09600     0.5052      0.8400     0.8586     48.1097
09700     0.6668      0.7900     0.8626     48.4873
09800     0.6193      0.8100     0.8626     48.8546
09900     0.5610      0.8100     0.8626     48.6986
10000     0.5292      0.8400     0.8626     51.5715
10100     0.5377      0.8600     0.8665     47.3563
10200     0.6048      0.8300     0.8665     47.6496
10300     0.4706      0.8600     0.8690     49.0397
10400     0.4742      0.8700     0.8696     49.2409
10500     0.6264      0.8000     0.8696     46.1233
10600     0.5964      0.8100     0.8702     47.6245
10700     0.4760      0.8500     0.8710     50.5341
10800     0.4731      0.8400     0.8710     48.5721
10900     0.6219      0.8100     0.8710     50.2629
11000     0.4658      0.8300     0.8710     48.4119
11100     0.4889      0.8500     0.8710     52.0726
11200     0.7097      0.7800     0.8723     48.5985
11300     0.6081      0.7900     0.8723     48.3099
11400     0.5900      0.7700     0.8723     47.3863
11500     0.4794      0.8600     0.8742     49.0930
11600     0.4507      0.8600     0.8743     50.1433
11700     0.5396      0.8300     0.8743     49.5572
11800     0.5831      0.8100     0.8743     49.3721
11900     0.4958      0.8200     0.8743     49.2264
12000     0.5758      0.8000     0.8743     48.2720
12100     0.6223      0.8000     0.8743     49.4488
12200     0.4937      0.8200     0.8774     48.8630
12300     0.5465      0.8300     0.8774     48.8319
12400     0.5784      0.8400     0.8774     49.1009
12500     0.5272      0.8300     0.8774     49.7564
12600     0.4676      0.8500     0.8774     50.0201
12700     0.4962      0.8800     0.8774     46.2497
12800     0.7103      0.8100     0.8774     49.4677
12900     0.5797      0.8100     0.8774     49.7257
13000     0.4289      0.9000     0.8774     50.8451
13100     0.5194      0.8500     0.8774     48.3591
13200     0.5150      0.8100     0.8774     47.2968
13300     0.5498      0.8400     0.8774     46.7429
13400     0.5739      0.8500     0.8774     49.0547
13500     0.5063      0.8500     0.8774     50.8311
13600     0.4968      0.8600     0.8774     49.4677
13700     0.7881      0.7700     0.8774     47.9553
13800     0.4441      0.8600     0.8774     48.6332
13900     0.5815      0.8100     0.8774     48.5538
14000     0.5246      0.8400     0.8774     48.7993
14100     0.6144      0.8100     0.8774     49.3609
14200     0.5824      0.8100     0.8774     46.6599
14300     0.5003      0.8500     0.8774     48.3894
14400     0.3197      0.8900     0.8774     48.6843
14500     0.6008      0.8500     0.8774     47.2458
14600     0.6176      0.8300     0.8774     47.7703
14700     0.5083      0.8400     0.8774     47.8840
14800     0.3948      0.9100     0.8774     49.6032
14900     0.4905      0.8800     0.8774     47.9698
15000     0.4816      0.8900     0.8774     46.8223
15100     0.6200      0.8400     0.8774     48.6468
15200     0.5786      0.8500     0.8774     46.9571
15300     0.5647      0.8500     0.8774     49.6321
15400     0.4125      0.8800     0.8774     49.0468
15500     0.4748      0.8600     0.8774     46.4155
15600     0.4767      0.8400     0.8774     47.1485
15700     0.6112      0.7600     0.8774     45.8973
15800     0.4427      0.8600     0.8774     46.7706
15900     0.6809      0.7700     0.8774     49.3589
16000     0.4766      0.8700     0.8774     48.0408
16100     0.6345      0.8200     0.8774     49.4312
16200     0.6796      0.7800     0.8774     49.3578
16300     0.4870      0.8500     0.8774     48.2586
16400     0.6026      0.7900     0.8774     49.5101
16500     0.4849      0.8400     0.8774     48.1708
16600     0.5542      0.8600     0.8774     48.9948
16700     0.3227      0.9100     0.8774     46.1244
16800     0.5453      0.8200     0.8774     49.3709
16900     0.6206      0.7900     0.8774     49.0872
17000     0.4157      0.8700     0.8774     48.6339
17100     0.5814      0.8100     0.8774     47.8680
17200     0.4282      0.9000     0.8774     49.0751
17300     0.4259      0.8700     0.8774     49.9942
17400     0.6272      0.8300     0.8774     47.4905
17500     0.6895      0.8000     0.8774     49.2279
17600     0.4894      0.8700     0.8774     49.4407
17700     0.4993      0.8500     0.8774     47.1202
17800     0.5113      0.8400     0.8774     47.9312
17900     0.4276      0.8900     0.8774     47.8883
18000     0.5559      0.8400     0.8774     45.5730
18100     0.4817      0.8800     0.8774     46.0386
18200     0.4601      0.8700     0.8774     48.3447
18300     0.6472      0.8200     0.8774     46.6322
18400     0.4990      0.8500     0.8774     47.4869
18500     0.6882      0.8100     0.8774     47.8863
18600     0.4308      0.8600     0.8774     48.4840
18700     0.2509      0.9500     0.8774     47.8833
18800     0.4930      0.8500     0.8774     47.7738
18900     0.5470      0.8300     0.8774     46.6839
19000     0.3460      0.8900     0.8774     46.5912
19100     0.4422      0.8900     0.8774     48.6534
19200     0.6333      0.8000     0.8774     45.9478
19300     0.5202      0.8900     0.8774     45.1958
19400     0.6392      0.7800     0.8774     45.4796
19500     0.4571      0.8500     0.8774     46.9701
19600     0.5417      0.8100     0.8774     50.1905
19700     0.4890      0.8600     0.8774     47.6066
19800     0.5446      0.8300     0.8774     44.3711
19900     0.4756      0.8700     0.8774     46.0858
20000     0.5585      0.8300     0.8774     46.7924
20100     0.4486      0.8900     0.8774     50.5234
20200     0.3791      0.8800     0.8774     44.4800
20300     0.3310      0.9200     0.8774     46.0179
20400     0.5218      0.7900     0.8774     48.2754
20500     0.6100      0.7600     0.8774     44.6969
20600     0.4289      0.8700     0.8774     44.9734
20700     0.5514      0.8300     0.8774     45.5929
20800     0.3840      0.8700     0.8774     45.3612
20900     0.4605      0.8600     0.8774     46.5407
21000     0.3652      0.8900     0.8774     46.9814
21100     0.4598      0.8600     0.8774     44.9016
21200     0.4139      0.8900     0.8774     46.4437
21300     0.3276      0.9200     0.8774     48.2956
21400     0.5960      0.8100     0.8774     47.8256
21500     0.4632      0.8900     0.8774     45.6567
21600     0.5081      0.8700     0.8774     43.9916
21700     0.5769      0.8000     0.8774     45.4658
21800     0.6043      0.8100     0.8774     46.5132
21900     0.3478      0.9000     0.8774     48.7438
22000     0.4669      0.8300     0.8774     45.5686
22100     0.4726      0.8600     0.8774     44.6722
22200     0.3558      0.9000     0.8774     46.5099
22300     0.5798      0.8200     0.8774     48.3978
22400     0.4770      0.8400     0.8774     45.7582
22500     0.4419      0.8800     0.8774     45.2969
22600     0.6333      0.8100     0.8774     47.8052
22700     0.3738      0.9000     0.8774     48.7610
22800     0.4349      0.8500     0.8774     47.7258
22900     0.5252      0.8200     0.8774     44.5913
23000     0.5790      0.8100     0.8774     45.4499
23100     0.4678      0.9000     0.8774     46.3725
23200     0.6528      0.7900     0.8774     48.1756
