Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', finetuning_epochs=10000, hidden=118, hop_length=320, l2=0.01, learning_rate='0.002,0.0004', max_w=0.1, method=0, n_mfcc=40, n_msb=8, noise_injectionI=0.1, noise_injectionT=0.11, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
d01ba6cb-0836-4b8f-8fb9-0f2946f54a5a
Start training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5618      0.0900     0.0840     12.7269
00100     1.8530      0.4100     0.4660     45.2258
00200     1.4207      0.4900     0.5588     45.3592
00300     1.3633      0.5000     0.6443     46.3515
00400     1.2169      0.6300     0.6859     46.0420
00500     1.0849      0.6600     0.7361     46.2347
00600     1.0789      0.6700     0.7640     45.9557
00700     1.1040      0.6700     0.7640     45.9825
00800     1.0679      0.6500     0.7640     45.3892
00900     0.8436      0.7700     0.7640     45.8204
01000     0.9405      0.7200     0.7652     46.2342
01100     1.0914      0.6100     0.7826     45.4126
01200     0.6880      0.7800     0.7883     45.9168
01300     0.9141      0.7300     0.7883     45.3734
01400     0.8439      0.7300     0.7883     45.9972
01500     0.7433      0.7900     0.7903     45.2107
01600     0.9177      0.7300     0.7903     46.1739
01700     0.8607      0.7200     0.7940     47.6019
01800     0.7814      0.7500     0.7940     45.7564
01900     0.8317      0.7700     0.8029     45.5531
02000     0.8207      0.7300     0.8029     46.6767
02100     1.0196      0.6100     0.8029     46.1693
02200     0.8095      0.8100     0.8104     46.3589
02300     0.7984      0.7700     0.8104     46.1991
02400     0.9915      0.7400     0.8104     45.6968
02500     0.8906      0.7200     0.8202     45.6949
02600     0.8174      0.7700     0.8202     45.7420
02700     0.6748      0.8000     0.8202     46.4041
02800     0.7369      0.7700     0.8202     46.1619
02900     0.8093      0.7300     0.8202     45.5577
03000     0.8238      0.7400     0.8202     46.4334
03100     0.8113      0.7400     0.8227     46.0855
03200     0.5287      0.8600     0.8227     45.9486
03300     0.6274      0.8200     0.8227     46.3283
03400     0.8113      0.7300     0.8227     45.7752
03500     0.8283      0.7200     0.8227     46.5301
03600     0.8643      0.7300     0.8227     45.8016
03700     0.6789      0.7400     0.8227     45.9834
03800     0.7137      0.7600     0.8253     46.1617
03900     0.8454      0.7300     0.8287     46.1248
