Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', finetuning_epochs=10000, hidden=118, hop_length=320, l2=0.01, learning_rate='0.002,0.0004', max_w=0.1, method=0, n_mfcc=40, n_msb=8, noise_injectionI=0.1, noise_injectionT=0.14, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
049042a4-9a81-4425-89f6-91d157475f26
Start training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5591      0.0800     0.0831     15.6164
00100     1.9641      0.3400     0.4373     59.2437
00200     1.4992      0.5200     0.5859     57.1794
00300     1.3040      0.5800     0.6598     61.0314
00400     1.2478      0.6300     0.6831     59.0896
00500     1.1144      0.6200     0.7240     57.1928
00600     1.2132      0.6500     0.7588     57.7068
00700     1.1373      0.6400     0.7588     60.1838
00800     1.1164      0.6500     0.7599     58.3321
00900     0.9088      0.7600     0.7667     58.8126
01000     0.9202      0.7300     0.7795     57.0085
01100     1.1529      0.6000     0.7795     59.5931
01200     0.7410      0.7800     0.7875     60.4537
01300     0.9051      0.7500     0.7875     58.6418
01400     0.8077      0.7400     0.7911     57.6943
01500     0.7315      0.7900     0.7911     60.6550
01600     1.0200      0.7200     0.7911     58.3964
01700     0.7981      0.7700     0.8057     59.8786
01800     0.7555      0.7800     0.8057     57.3578
01900     0.9093      0.7100     0.8061     57.8911
02000     0.8759      0.7200     0.8061     57.0218
02100     1.1791      0.6000     0.8061     60.9262
02200     0.8657      0.7700     0.8061     58.4818
02300     0.8342      0.7500     0.8061     61.4425
02400     0.9523      0.7300     0.8101     58.7492
02500     0.9491      0.7000     0.8144     60.6279
02600     0.7241      0.7700     0.8189     61.3016
