Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', finetuning_epochs=10000, hidden=118, hop_length=320, l2=0.01, learning_rate='0.002,0.0004', max_w=0.1, method=0, n_mfcc=40, n_msb=8, noise_injectionI=0.1, noise_injectionT=0.17, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
53df713c-9877-481d-8d6b-2b967fe685d2
Start training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.7020      0.0800     0.0783     16.1327
00100     2.0417      0.3300     0.4259     58.7140
00200     1.3801      0.5900     0.5730     57.6915
00300     1.4166      0.5500     0.6421     57.8107
00400     1.1332      0.6600     0.6812     57.9428
00500     1.0771      0.6600     0.7169     59.1998
00600     1.0102      0.6900     0.7221     57.9337
00700     0.9821      0.6700     0.7508     58.8959
00800     1.0366      0.6400     0.7508     58.7804
00900     0.8228      0.7500     0.7556     58.5978
01000     0.9465      0.6800     0.7556     57.9375
01100     0.8169      0.7200     0.7812     58.1491
01200     0.9771      0.7000     0.7812     58.7464
01300     0.9469      0.6900     0.7812     57.7929
01400     0.8092      0.7500     0.7847     58.3504
01500     0.9824      0.7000     0.7847     59.1054
01600     0.8144      0.7600     0.7847     58.6881
01700     0.9540      0.7500     0.7906     59.6243
01800     0.7996      0.7700     0.7906     58.5186
01900     0.8678      0.7200     0.7991     58.1821
02000     0.9425      0.7100     0.7991     58.7764
02100     0.8761      0.7100     0.7991     58.4992
02200     0.8070      0.7900     0.7991     57.8945
02300     0.7940      0.7400     0.7991     58.1585
02400     0.9294      0.7200     0.7991     58.1015
02500     0.6984      0.7600     0.8000     59.1995
02600     0.9997      0.7300     0.8000     58.2026
