Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', finetuning_epochs=10000, hidden=118, hop_length=320, l2=0.01, learning_rate='0.002,0.0004', max_w=0.1, method=0, n_mfcc=40, n_msb=8, noise_injectionI=0.1, noise_injectionT=0.17, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
bb415751-7490-42fb-81ff-3a302f5d6f4f
Start training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.6040      0.0500     0.0877     15.4701
00100     1.9401      0.3200     0.4217     58.6663
00200     1.5339      0.4300     0.5584     60.3349
00300     1.4505      0.4900     0.6145     59.6802
00400     1.2647      0.5700     0.6392     59.8648
00500     1.0247      0.6800     0.7103     60.5790
00600     1.2316      0.6200     0.7400     60.4823
00700     1.1291      0.6300     0.7400     60.1136
00800     1.0150      0.7000     0.7592     59.9243
00900     0.9295      0.6700     0.7592     59.7299
01000     0.9321      0.7100     0.7741     60.0884
01100     1.2616      0.5600     0.7741     59.2280
01200     0.8620      0.7300     0.7785     60.2158
01300     0.8619      0.7500     0.7785     59.4992
01400     0.8846      0.7100     0.7817     60.7888
01500     0.8466      0.7300     0.7992     59.5326
01600     0.9011      0.7300     0.7992     60.1192
01700     0.9125      0.7000     0.7992     59.3988
01800     0.7735      0.7500     0.7992     59.6882
01900     0.9778      0.6700     0.7992     60.3814
02000     0.7637      0.7700     0.7992     59.1644
02100     1.0968      0.6900     0.7992     60.4746
02200     0.8508      0.7600     0.7992     59.6869
02300     0.8149      0.7700     0.7992     59.8265
02400     0.9791      0.6600     0.8093     59.8755
02500     0.8422      0.7200     0.8093     60.2609
02600     0.7610      0.7400     0.8153     59.9264
02700     0.7515      0.7600     0.8153     59.7201
02800     0.7440      0.7500     0.8153     59.4765
02900     0.7535      0.7400     0.8221     59.9270
03000     0.8307      0.7700     0.8221     60.1219
03100     0.8108      0.7500     0.8221     59.4856
03200     0.6400      0.7900     0.8221     59.2804
03300     0.7003      0.8000     0.8221     59.7975
03400     0.8216      0.7400     0.8221     59.8649
03500     0.8272      0.7200     0.8221     59.6323
03600     0.8505      0.7300     0.8221     59.8079
03700     0.6777      0.7800     0.8221     59.9760
03800     0.6593      0.8000     0.8343     61.0161
03900     0.7899      0.7300     0.8343     59.3154
04000     0.7531      0.7900     0.8343     59.7047
04100     0.7146      0.7700     0.8343     59.4248
04200     0.7351      0.7700     0.8343     59.4477
04300     0.5886      0.8500     0.8343     59.3418
04400     0.8138      0.7300     0.8343     59.4356
04500     0.5591      0.8400     0.8343     59.1564
04600     0.8874      0.7200     0.8343     60.2219
04700     0.7184      0.7800     0.8343     59.4087
04800     0.9394      0.7100     0.8343     59.5717
04900     0.6721      0.7700     0.8343     59.7668
05000     0.6559      0.8300     0.8343     59.3715
05100     0.5958      0.8000     0.8343     59.1640
05200     0.8915      0.7100     0.8343     60.0680
05300     0.8967      0.7000     0.8343     60.9451
05400     0.7102      0.7900     0.8343     59.0321
05500     0.8404      0.7500     0.8373     60.0017
05600     0.8489      0.6800     0.8373     58.7180
05700     0.7796      0.7400     0.8373     59.1877
05800     0.7708      0.7500     0.8384     60.0339
05900     0.6376      0.8300     0.8438     59.5997
06000     0.7694      0.7000     0.8438     59.2098
06100     0.7176      0.7700     0.8438     59.6388
06200     0.7989      0.7500     0.8438     60.5948
06300     0.6454      0.8000     0.8438     60.7220
06400     0.7439      0.7800     0.8438     59.6120
06500     0.8383      0.7500     0.8438     60.2877
06600     0.7446      0.7900     0.8438     59.5813
06700     0.7920      0.7200     0.8438     60.3972
06800     0.6530      0.8100     0.8438     60.2937
06900     0.5671      0.8400     0.8438     60.0901
07000     0.5556      0.7900     0.8438     59.5017
07100     0.9492      0.7000     0.8438     59.5482
07200     0.6652      0.7900     0.8466     60.6031
07300     0.5010      0.8700     0.8466     60.9074
07400     0.7381      0.8000     0.8466     59.5739
07500     0.7809      0.7500     0.8466     60.2103
07600     0.7237      0.7800     0.8466     60.1807
07700     0.5329      0.8400     0.8466     59.6531
07800     0.8337      0.7400     0.8466     60.0350
07900     0.5935      0.8400     0.8466     59.7959
08000     0.5897      0.8400     0.8466     59.7792
08100     0.6149      0.8000     0.8466     59.9171
08200     0.8145      0.7200     0.8466     59.3382
08300     0.8128      0.7600     0.8466     60.0896
08400     0.7597      0.7700     0.8466     59.5539
08500     0.7265      0.7800     0.8466     59.5466
08600     0.6974      0.8200     0.8466     60.3375
08700     0.9773      0.7200     0.8466     60.9752
08800     0.6393      0.8200     0.8466     60.0165
08900     0.6804      0.8000     0.8466     59.2921
09000     0.5702      0.8100     0.8466     59.3189
09100     0.8038      0.7900     0.8466     59.6741
09200     0.6351      0.8000     0.8467     60.2044
09300     0.6457      0.8100     0.8467     59.2250
09400     0.6741      0.7700     0.8467     59.2472
09500     0.4746      0.8200     0.8467     59.6251
09600     0.6454      0.8200     0.8467     59.8385
09700     0.7821      0.7600     0.8467     60.3739
09800     0.7038      0.7900     0.8467     59.2440
09900     0.7009      0.8100     0.8467     59.4994
10000     0.6065      0.8400     0.8467     60.2179
10100     0.7492      0.7700     0.8560     59.6909
10200     0.4732      0.8700     0.8560     59.4126
10300     0.6632      0.7900     0.8580     59.9524
10400     0.6024      0.8100     0.8616     60.4558
10500     0.6594      0.8100     0.8616     60.3618
10600     0.4300      0.8600     0.8616     60.2765
10700     0.5917      0.8000     0.8616     59.9267
10800     0.6411      0.7900     0.8616     59.0464
10900     0.5300      0.8400     0.8616     60.1717
11000     0.6424      0.8000     0.8685     59.8393
11100     0.6168      0.8200     0.8685     59.7732
11200     0.5380      0.8300     0.8685     59.9036
11300     0.5362      0.8300     0.8685     59.6721
11400     0.3629      0.9200     0.8685     59.6680
11500     0.6792      0.8100     0.8685     60.2588
11600     0.5185      0.8500     0.8685     60.5133
11700     0.5467      0.8300     0.8695     60.2825
11800     0.7886      0.8000     0.8695     59.9245
11900     0.5412      0.8300     0.8695     59.4996
12000     0.6626      0.7800     0.8695     59.5024
12100     0.5462      0.8100     0.8695     60.2078
12200     0.7305      0.8000     0.8695     59.8557
12300     0.7108      0.7900     0.8695     59.6289
12400     0.6062      0.8300     0.8695     60.0388
12500     0.6455      0.8100     0.8695     59.6511
12600     0.4168      0.8900     0.8695     60.1968
12700     0.5825      0.8000     0.8695     59.6895
12800     0.5511      0.8700     0.8695     60.5234
12900     0.5130      0.8000     0.8695     59.7207
13000     0.4597      0.8700     0.8695     60.2065
13100     0.5717      0.8000     0.8695     59.2493
13200     0.5670      0.8400     0.8695     60.5243
13300     0.5909      0.7800     0.8695     59.7390
13400     0.5033      0.8800     0.8695     60.0671
13500     0.5293      0.8400     0.8699     59.9829
13600     0.5575      0.8200     0.8699     59.4944
