Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', finetuning_epochs=10000, hidden=118, hop_length=320, l2=0.01, learning_rate='0.0005,0.0001,0.00002', method=0, n_mfcc=40, n_msb=3, noise_injectionI=0.1, noise_injectionT=0.1, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
94991788-4ac7-4a86-93a6-8248e5dc8a1b
Start training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     3.0161      0.1000     0.0784     15.8911
00100     2.2705      0.2900     0.2887     56.8929
00200     1.8091      0.3700     0.4156     57.2201
00300     1.4788      0.5900     0.5300     56.8991
00400     1.3964      0.5500     0.5849     52.1275
00500     1.1365      0.6200     0.6518     52.6927
00600     1.3583      0.5100     0.6698     55.5841
00700     1.1797      0.6200     0.7005     55.2717
00800     0.9605      0.7200     0.7071     57.8028
00900     1.0634      0.6900     0.7226     55.7371
01000     0.9963      0.6900     0.7342     54.4097
01100     1.1443      0.6500     0.7491     54.4012
01200     0.8378      0.7400     0.7555     55.5833
01300     1.0241      0.7000     0.7603     55.9223
01400     0.8952      0.7100     0.7724     54.3619
01500     0.8339      0.7200     0.7724     56.5648
01600     0.8559      0.7200     0.7811     55.9791
01700     0.7240      0.7900     0.7820     55.9266
01800     1.1172      0.6100     0.7832     54.8926
01900     0.6491      0.8100     0.7895     56.0162
02000     0.8784      0.7000     0.7949     56.6372
02100     0.6992      0.8000     0.7957     55.8681
02200     0.7331      0.7900     0.7957     54.0721
02300     0.8058      0.7900     0.7994     51.5817
02400     0.7176      0.8200     0.7994     55.1610
02500     0.8154      0.7500     0.7994     55.7402
02600     0.7632      0.7700     0.7994     57.3859
02700     0.6206      0.8200     0.7994     57.2964
02800     0.7167      0.7400     0.8033     54.0015
02900     0.6744      0.8200     0.8148     52.0400
03000     0.6683      0.8300     0.8148     56.4671
03100     0.7608      0.7900     0.8148     53.6430
03200     0.7681      0.7000     0.8148     53.8368
03300     0.6870      0.7600     0.8148     55.4540
03400     0.6675      0.8200     0.8210     56.3973
03500     0.7700      0.7900     0.8210     54.0373
03600     0.8494      0.7300     0.8210     52.5707
03700     0.7838      0.7200     0.8210     54.4849
03800     0.7652      0.7900     0.8210     56.9078
03900     0.6427      0.7700     0.8223     55.2301
04000     0.7172      0.7800     0.8267     53.1762
04100     0.6413      0.7600     0.8267     53.9322
04200     0.6584      0.7900     0.8271     53.9864
04300     0.6143      0.8200     0.8331     55.7976
04400     0.5827      0.8100     0.8342     54.2479
04500     0.6864      0.8200     0.8342     53.8296
04600     0.6641      0.8200     0.8342     55.1663
04700     0.5742      0.8200     0.8342     55.8206
04800     0.7210      0.7700     0.8342     56.0927
04900     0.6175      0.7900     0.8342     51.3323
05000     0.7764      0.6900     0.8342     56.5229
05100     0.5957      0.8200     0.8347     55.2232
05200     0.5762      0.8200     0.8347     54.8845
05300     0.6756      0.8000     0.8347     54.3302
05400     0.5550      0.8300     0.8419     53.3894
05500     0.5385      0.8000     0.8452     55.0167
05600     0.4656      0.8600     0.8452     55.2697
05700     0.7163      0.8100     0.8452     56.2072
05800     0.5222      0.8600     0.8452     53.8249
05900     0.5667      0.8400     0.8494     54.5754
06000     0.4785      0.8700     0.8494     55.1955
06100     0.6971      0.7800     0.8494     55.0499
06200     0.5291      0.8300     0.8494     55.0173
06300     0.5134      0.8400     0.8494     54.0969
06400     0.4274      0.8700     0.8494     54.8166
06500     0.6731      0.7800     0.8494     54.8332
06600     0.6993      0.7900     0.8494     56.8329
06700     0.7940      0.7500     0.8494     57.0140
06800     0.5403      0.8100     0.8494     54.5860
06900     0.6232      0.7700     0.8494     55.2457
07000     0.7738      0.7700     0.8494     57.1260
07100     0.5649      0.8300     0.8494     53.8643
