Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=113, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, rows_bias=0.2, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
b4a11061-db05-41a3-8513-f2e59c1376dd
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.4666      0.0600     0.0852     16.0534   0.4310
00100     2.1239      0.2100     0.2790     55.4781   0.2062
00200     1.8960      0.3200     0.3769     55.0700   0.0861
00300     1.2363      0.6200     0.4807     55.0823   0.0272
00400     1.1454      0.6200     0.5257     55.7200   0.0004
00500     1.0739      0.6500     0.6142     54.9714   0.0000
00600     0.9728      0.7200     0.6240     54.9762   0.0000
00700     1.1378      0.6300     0.6363     55.3091   0.0001
00800     1.0048      0.6500     0.6285     54.7528   0.0000
00900     1.0147      0.6200     0.6391     55.1814   0.0000
01000     0.9210      0.7400     0.6398     55.4323   0.0000
01100     0.9133      0.6700     0.6492     54.7920   0.0000
01200     0.8472      0.7400     0.6748     55.0041   0.0000
01300     0.8722      0.7100     0.6988     55.0476   0.0000
01400     0.9855      0.7200     0.6878     55.0647   0.0000
01500     0.7203      0.8000     0.7060     55.2690   0.0000
01600     0.8872      0.7300     0.6536     54.7357   0.0000
01700     0.9856      0.6500     0.6832     55.0956   0.0000
01800     0.8077      0.7700     0.6935     55.1147   0.0000
01900     1.0833      0.6600     0.6983     55.9341   0.0000
02000     0.7222      0.7900     0.7094     55.3444   0.0000
02100     0.8916      0.7100     0.7203     54.6623   0.0000
02200     0.8150      0.6900     0.7460     54.8606   0.0000
02300     1.0105      0.6800     0.6937     55.9151   0.0000
02400     0.8293      0.7100     0.7103     56.1372   0.0000
02500     0.8873      0.7500     0.7363     55.1404   0.0000
02600     0.6866      0.7600     0.7142     55.0165   0.0000
02700     0.6944      0.7300     0.7451     54.6924   0.0000
02800     0.8325      0.7100     0.7505     55.7929   0.0000
02900     0.5931      0.8300     0.7262     54.7254   0.0000
03000     0.7579      0.7300     0.7427     55.2832   0.0000
03100     0.6756      0.7800     0.7439     55.2296   0.0000
03200     0.7893      0.7300     0.6840     55.0008   0.0000
03300     0.5902      0.7800     0.7098     55.2089   0.0000
03400     0.6861      0.8000     0.7154     55.7648   0.0000
03500     0.7598      0.7700     0.7181     55.2131   0.0000
03600     0.6549      0.7600     0.7263     55.1720   0.0000
03700     0.8590      0.7400     0.7278     55.9832   0.0000
03800     0.7164      0.7900     0.6926     55.9516   0.0000
03900     0.7911      0.7400     0.6854     54.7095   0.0000
04000     0.9281      0.6700     0.6855     55.0993   0.0000
04100     0.8093      0.7800     0.7385     55.9899   0.0000
04200     0.7392      0.7600     0.7284     55.2640   0.0000
04300     0.7057      0.7800     0.7089     55.7884   0.0000
04400     0.7889      0.7500     0.6977     55.4503   0.0000
04500     0.5798      0.8300     0.7157     55.6604   0.0000
04600     0.8562      0.7500     0.6966     55.0437   0.0000
04700     0.8941      0.7100     0.7094     55.2860   0.0000
04800     0.8744      0.7000     0.7808     55.4336   0.0000
04900     0.8347      0.6900     0.7517     56.4086   0.0000
05000     0.6962      0.7600     0.7974     55.3225   0.0000
05100     0.7072      0.7300     0.7358     55.4268   0.0000
05200     0.5464      0.8300     0.7560     56.1081   0.0000
05300     0.6385      0.8000     0.7302     54.9605   0.0000
05400     0.7081      0.7900     0.6991     56.2230   0.0000
05500     0.6262      0.8000     0.7485     56.1875   0.0000
05600     0.6440      0.7600     0.7614     56.0623   0.0000
05700     0.6393      0.7900     0.6927     56.0318   0.0000
05800     0.6784      0.7700     0.7573     55.4013   0.0000
05900     0.5247      0.7800     0.7632     55.2833   0.0000
06000     0.7763      0.7800     0.7279     55.5516   0.0000
06100     0.6657      0.7800     0.7343     54.7968   0.0000
06200     0.7215      0.7500     0.7302     56.0447   0.0000
06300     0.6942      0.7700     0.7531     55.2486   0.0000
06400     0.7541      0.7600     0.7337     55.4439   0.0000
06500     0.5227      0.7900     0.7113     55.1825   0.0000
06600     0.6962      0.7900     0.7849     55.8440   0.0000
06700     0.7910      0.7200     0.8047     54.6591   0.0000
06800     0.7478      0.7700     0.7691     54.8215   0.0000
06900     0.6135      0.8100     0.8016     54.9924   0.0000
07000     0.8632      0.7300     0.7735     55.2097   0.0000
07100     0.5559      0.8100     0.7226     55.7264   0.0000
07200     0.5141      0.8900     0.7345     55.2215   0.0000
07300     0.7365      0.7800     0.8148     54.8021   0.0000
07400     0.6545      0.7700     0.7657     55.6680   0.0000
07500     0.6020      0.8300     0.7804     54.7764   0.0000
07600     0.5272      0.8400     0.7616     54.9338   0.0000
07700     0.6490      0.8100     0.7219     55.1492   0.0000
07800     0.8905      0.7200     0.7794     55.3654   0.0000
07900     0.5992      0.8100     0.7486     55.1492   0.0000
08000     0.6684      0.7800     0.7440     54.8830   0.0000
08100     0.6049      0.8200     0.7594     56.2661   0.0000
08200     0.5609      0.8100     0.7680     55.6196   0.0000
08300     0.4666      0.8300     0.7067     55.1934   0.0000
08400     0.4904      0.8400     0.7759     55.3203   0.0000
08500     0.6214      0.8000     0.7579     55.4288   0.0000
08600     0.6415      0.7700     0.7132     55.7990   0.0000
08700     0.5755      0.8000     0.7875     55.4012   0.0000
08800     0.5152      0.8600     0.7678     55.2368   0.0000
08900     0.5538      0.8200     0.7226     55.1221   0.0000
09000     0.6321      0.7900     0.7800     55.5344   0.0000
09100     0.4936      0.8500     0.7668     55.2859   0.0000
09200     0.6874      0.8200     0.8140     55.3520   0.0000
09300     0.7852      0.7600     0.7808     55.3074   0.0000
09400     0.5799      0.8300     0.8078     55.2764   0.0000
09500     0.7963      0.7600     0.7705     55.0334   0.0000
09600     0.7718      0.7200     0.7795     55.5203   0.0000
09700     0.6289      0.8000     0.7465     55.6159   0.0000
09800     0.6860      0.7700     0.7747     55.3119   0.0000
09900     0.6231      0.7700     0.7982     55.3063   0.0000
10000     0.5697      0.8700     0.7415     55.1078   0.0000
10100     0.5604      0.8300     0.7708     54.9754   0.0000
10200     0.5779      0.7900     0.7667     55.3976   0.0000
10300     0.5804      0.8300     0.7584     55.1794   0.0000
10400     0.8335      0.6700     0.7737     55.1503   0.0000
10500     0.6026      0.8000     0.7715     55.5982   0.0000
10600     0.5089      0.8500     0.8026     55.5596   0.0000
10700     0.6274      0.8000     0.7736     55.2214   0.0000
10800     0.4289      0.8600     0.7804     54.6150   0.0000
10900     0.7060      0.8300     0.7654     55.0299   0.0000
11000     0.5096      0.8400     0.7636     55.9758   0.0000
11100     0.4004      0.8700     0.7373     54.4929   0.0000
11200     0.6474      0.7900     0.7470     55.3767   0.0000
11300     0.6423      0.8100     0.7791     55.8195   0.0000
11400     0.4506      0.8800     0.7387     55.9098   0.0000
11500     0.5370      0.8000     0.7723     55.4443   0.0000
11600     0.5476      0.8200     0.7613     54.9926   0.0000
11700     0.4603      0.8300     0.7633     55.4308   0.0000
11800     0.5784      0.8200     0.7480     56.0037   0.0000
11900     0.7760      0.7100     0.7635     54.6214   0.0000
12000     0.6079      0.8300     0.7888     55.4834   0.0000
12100     0.4869      0.8400     0.7503     55.3289   0.0000
12200     0.7304      0.7800     0.7661     55.4260   0.0000
12300     0.4403      0.8800     0.7621     55.3208   0.0000
12400     0.4490      0.8300     0.7673     54.8480   0.0000
12500     0.5215      0.8300     0.7571     55.3613   0.0000
12600     0.4733      0.8700     0.8127     54.3011   0.0000
12700     0.5536      0.8400     0.7763     56.2759   0.0000
12800     0.4151      0.8700     0.7571     55.1467   0.0000
12900     0.4553      0.8200     0.7428     54.6208   0.0000
13000     0.4516      0.8800     0.7833     55.1010   0.0000
13100     0.4657      0.8700     0.7729     54.9738   0.0000
13200     0.5140      0.8500     0.7674     55.3389   0.0000
13300     0.5012      0.8100     0.7647     55.7555   0.0000
13400     0.6105      0.8100     0.7426     55.3268   0.0000
13500     0.4232      0.8800     0.7622     55.5198   0.0000
13600     0.5015      0.8700     0.7507     54.9188   0.0000
13700     0.4627      0.8500     0.7557     54.9891   0.0000
13800     0.6081      0.8100     0.7757     54.9179   0.0000
13900     0.3782      0.9100     0.7637     56.2848   0.0000
14000     0.5091      0.8500     0.7587     55.2682   0.0000
14100     0.4316      0.8500     0.7499     55.2435   0.0000
14200     0.3940      0.9000     0.7777     55.2293   0.0000
14300     0.4432      0.8900     0.7619     55.3315   0.0000
14400     0.7250      0.7500     0.7469     55.0746   0.0000
14500     0.4885      0.8400     0.7895     55.7645   0.0000
14600     0.5188      0.8100     0.7817     55.3706   0.0000
14700     0.5405      0.8300     0.7804     55.5819   0.0000
14800     0.4012      0.8900     0.7791     55.8971   0.0000
14900     0.4370      0.8400     0.7581     55.5033   0.0000
15000     0.6019      0.7700     0.7794     55.7908   0.0000
15100     0.6151      0.8500     0.7926     54.5851   0.0000
15200     0.4342      0.8700     0.7868     56.0689   0.0000
15300     0.3142      0.9100     0.8005     55.5434   0.0000
15400     0.5250      0.8700     0.7789     54.9216   0.0000
15500     0.6366      0.8000     0.7638     55.8747   0.0000
15600     0.5159      0.8400     0.7586     54.8701   0.0000
15700     0.6589      0.7800     0.7759     55.0544   0.0000
15800     0.5612      0.8100     0.7367     55.2013   0.0000
15900     0.4062      0.8800     0.7749     56.1250   0.0000
16000     0.4555      0.8600     0.7793     54.8169   0.0000
16100     0.6055      0.7900     0.7480     55.3271   0.0000
16200     0.6139      0.8400     0.7827     55.0107   0.0000
16300     0.5041      0.8100     0.7649     55.2434   0.0000
16400     0.3459      0.9100     0.7997     55.2308   0.0000
16500     0.4716      0.8600     0.7792     55.3951   0.0000
16600     0.5386      0.8300     0.7917     55.1092   0.0000
16700     0.4368      0.8700     0.7702     54.9101   0.0000
16800     0.5306      0.8100     0.7665     54.9963   0.0000
16900     0.5777      0.8400     0.7425     55.7024   0.0000
17000     0.7696      0.7300     0.7735     55.0675   0.0000
17100     0.5343      0.8600     0.7650     55.8096   0.0000
17200     0.4856      0.8500     0.7524     55.7005   0.0000
17300     0.3358      0.8900     0.7692     55.0521   0.0000
17400     0.2892      0.9100     0.7889     55.6338   0.0000
17500     0.4053      0.8600     0.7605     54.7741   0.0000
17600     0.6021      0.8200     0.7867     55.4212   0.0000
17700     0.6270      0.7700     0.7728     55.0759   0.0000
17800     0.4484      0.8500     0.8103     55.1581   0.0000
17900     0.5142      0.8100     0.8153     55.3378   0.0000
18000     0.6553      0.7800     0.8074     55.5275   0.0000
18100     0.5408      0.8300     0.7904     55.2805   0.0000
18200     0.4839      0.8500     0.7954     55.4488   0.0000
18300     0.5517      0.8100     0.7603     55.5860   0.0000
18400     0.3394      0.9100     0.7736     55.9816   0.0000
18500     0.5951      0.8300     0.7962     55.0107   0.0000
18600     0.5281      0.8400     0.8001     55.7494   0.0000
18700     0.5793      0.8400     0.7455     55.8586   0.0000
18800     0.6954      0.8100     0.7633     55.0377   0.0000
18900     0.4459      0.8600     0.7639     55.4735   0.0000
19000     0.6317      0.8000     0.7775     54.7318   0.0000
19100     0.4144      0.8600     0.7683     55.1866   0.0000
19200     0.4893      0.8600     0.7635     55.0750   0.0000
19300     0.4866      0.8600     0.7332     54.7959   0.0000
19400     0.5513      0.8200     0.7571     54.6678   0.0000
19500     0.5354      0.8400     0.7770     55.5493   0.0000
19600     0.5059      0.8600     0.7646     55.6847   0.0000
19700     0.4660      0.8900     0.7721     55.2664   0.0000
19800     0.3796      0.8800     0.7588     55.2461   0.0000
19900     0.4304      0.8600     0.7503     55.1765   0.0000
20000     0.6289      0.7900     0.7671     55.4051   0.0000
20100     0.5681      0.8000     0.7650     55.2331   0.0000
20199     0.4623      0.8300     0.7739     55.1868   0.0000
Start finetuning with noise:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     0.6267      0.7900     0.7904     14.3975   0.0000
00100     0.4812      0.8400     0.8532     55.7384   0.0000
00200     0.5880      0.8100     0.8628     54.8725   0.0000
00300     0.5545      0.8300     0.8617     56.4412   0.0000
00400     0.3588      0.8700     0.8671     55.0641   0.0000
