Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=112, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, rows_bias=0.4, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
6a4539bb-863b-4d70-ad4a-a5e8e76fd029
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.7405      0.0700     0.0807     18.8627   0.4324
00100     2.0035      0.4300     0.2538     72.9193   0.2184
00200     1.8218      0.4100     0.4004     76.6559   0.1006
00300     1.4044      0.5600     0.4864     75.0050   0.0435
00400     1.3936      0.5500     0.5634     74.5861   0.0123
00500     1.0531      0.6800     0.6206     73.5643   0.0000
00600     0.9822      0.7100     0.6325     77.7486   0.0000
00700     1.0883      0.6200     0.6610     74.4328   0.0000
00800     1.1017      0.5800     0.6788     71.1668   0.0000
00900     0.9599      0.6700     0.6474     72.3869   0.0000
01000     0.8902      0.6700     0.6852     75.7301   0.0000
01100     0.8917      0.6900     0.7050     73.9176   0.0000
01200     1.2812      0.5400     0.6754     73.5739   0.0000
01300     0.9528      0.7300     0.6268     75.2756   0.0000
01400     0.8412      0.6800     0.7008     73.5819   0.0000
01500     0.8198      0.7400     0.6888     72.5419   0.0000
01600     0.8573      0.7200     0.7083     76.8786   0.0000
01700     0.9147      0.7100     0.6721     71.3080   0.0000
01800     0.8031      0.7600     0.7201     73.6823   0.0000
01900     0.7274      0.7600     0.7325     73.5344   0.0000
02000     0.7646      0.7400     0.7049     76.0319   0.0000
02100     0.8992      0.7600     0.7319     78.0453   0.0000
02200     0.8741      0.7200     0.7454     77.5355   0.0000
02300     0.8192      0.7400     0.7360     71.7655   0.0000
02400     1.1179      0.6700     0.7323     78.3683   0.0000
02500     0.9159      0.7000     0.7249     70.9107   0.0000
02600     0.8055      0.7100     0.7132     75.1243   0.0000
02700     0.8932      0.7000     0.7298     75.4153   0.0000
02800     0.8718      0.7200     0.7171     73.5420   0.0000
02900     0.7765      0.7300     0.7367     77.5701   0.0000
03000     0.8373      0.7200     0.7125     71.4752   0.0000
03100     0.6433      0.8000     0.7502     76.2029   0.0000
03200     0.7190      0.7800     0.6993     75.2840   0.0000
03300     0.9228      0.7000     0.7403     72.9459   0.0001
03400     0.8073      0.7300     0.7525     74.9703   0.0000
03500     0.6950      0.8200     0.7417     78.0681   0.0000
03600     0.6747      0.7800     0.7088     75.4918   0.0000
03700     0.7272      0.7500     0.7264     72.7679   0.0000
03800     0.8684      0.7400     0.7015     76.8594   0.0000
03900     0.6438      0.8100     0.6739     71.7652   0.0000
04000     0.8427      0.7300     0.7655     76.8713   0.0000
04100     0.7379      0.7600     0.7007     74.4970   0.0000
04200     0.7908      0.6900     0.7577     75.6867   0.0000
04300     0.6142      0.8100     0.7339     75.6287   0.0000
04400     0.8001      0.8000     0.7473     79.2877   0.0000
04500     0.7999      0.7500     0.7602     78.1039   0.0000
04600     0.6805      0.8000     0.7470     73.9096   0.0000
04700     0.6242      0.8100     0.7533     74.2946   0.0000
04800     0.6287      0.7700     0.7631     73.1281   0.0000
04900     0.8750      0.7600     0.7259     74.4597   0.0000
05000     0.5611      0.8500     0.7726     76.0383   0.0000
05100     0.6877      0.8000     0.7742     75.2165   0.0000
05200     0.7244      0.7500     0.7704     73.4015   0.0000
05300     0.6735      0.7500     0.6985     75.4244   0.0000
05400     0.5499      0.8100     0.7841     76.3397   0.0000
05500     0.7341      0.7600     0.7806     72.4522   0.0000
05600     0.5682      0.8200     0.7298     75.5365   0.0000
05700     0.6175      0.8000     0.7879     74.4598   0.0000
05800     0.6172      0.8300     0.7122     75.5061   0.0000
05900     0.6664      0.7500     0.7822     77.7687   0.0000
06000     0.6177      0.7400     0.7330     75.9902   0.0000
06100     0.4870      0.8300     0.7005     77.8745   0.0000
06200     0.6840      0.7900     0.7879     72.4251   0.0000
06300     0.3411      0.9100     0.8047     72.5907   0.0000
06400     0.5160      0.8300     0.7602     73.1536   0.0000
06500     0.5017      0.8500     0.7958     71.9351   0.0000
06600     0.6654      0.7700     0.7342     72.8837   0.0000
06700     0.8008      0.7300     0.7846     75.7851   0.0000
06800     0.7647      0.7700     0.7461     74.3251   0.0000
06900     0.7563      0.7900     0.7620     74.1787   0.0000
07000     0.5551      0.8000     0.8024     76.8280   0.0000
07100     0.4820      0.8400     0.7718     73.1219   0.0000
07200     0.6388      0.7800     0.7802     76.3116   0.0000
07300     0.6262      0.7700     0.7658     76.0446   0.0000
07400     0.6777      0.7800     0.7740     72.4983   0.0000
07500     0.5913      0.8100     0.7256     76.2033   0.0000
