Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=112, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=8627169, rows_bias=0.4, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
2f06c015-9fd5-4adf-8487-b80cdf075967
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.5726      0.0500     0.0776     20.0648   0.4317
00100     1.9521      0.3500     0.2916     76.8719   0.2365
00200     1.7808      0.3500     0.4142     78.3569   0.1262
00300     1.3206      0.5700     0.4626     75.5024   0.0666
00400     1.4742      0.4900     0.5627     74.9732   0.0300
00500     1.0006      0.6900     0.5930     74.8676   0.0061
00600     0.9273      0.7000     0.6242     77.1321   0.0000
00700     0.9383      0.7100     0.6049     77.1230   0.0000
00800     0.9144      0.7200     0.6500     76.3444   0.0000
00900     1.0491      0.7100     0.6598     77.8736   0.0000
01000     0.7920      0.7100     0.6553     77.3216   0.0000
01100     0.9145      0.7200     0.6522     79.1202   0.0000
01200     1.0356      0.6800     0.6436     77.6444   0.0000
01300     0.7428      0.7800     0.6645     76.2343   0.0000
01400     1.0623      0.6200     0.6574     73.7313   0.0000
01500     0.7159      0.7400     0.6722     77.3957   0.0000
01600     0.7993      0.7400     0.6563     75.4943   0.0000
01700     0.8187      0.7200     0.6554     75.6475   0.0000
01800     0.8865      0.7100     0.6748     76.2721   0.0000
01900     0.6257      0.7600     0.6867     73.3371   0.0001
02000     0.6600      0.8000     0.6678     75.5684   0.0000
02100     0.9303      0.7000     0.7213     75.4040   0.0000
02200     0.6935      0.7400     0.7032     75.2025   0.0000
02300     0.8616      0.7200     0.6718     78.2421   0.0000
02400     0.7133      0.7900     0.6391     76.0010   0.0000
02500     0.8508      0.7100     0.6890     73.9478   0.0000
02600     0.8461      0.7200     0.6752     77.0668   0.0000
02700     0.7097      0.7900     0.6966     78.1574   0.0000
02800     0.6254      0.7800     0.6770     75.6484   0.0000
02900     0.9264      0.6900     0.6745     74.8614   0.0000
03000     0.8421      0.7700     0.7251     76.9152   0.0000
03100     0.9395      0.6800     0.7117     74.4242   0.0000
03200     0.7191      0.7500     0.7503     75.5438   0.0000
03300     0.6532      0.8100     0.6712     74.7370   0.0000
03400     0.9170      0.7500     0.6735     72.9100   0.0000
03500     0.6652      0.7600     0.6977     72.7945   0.0000
03600     0.6355      0.8100     0.6676     72.3473   0.0000
03700     0.9881      0.7400     0.6865     75.2720   0.0000
03800     0.4203      0.8600     0.6966     72.5071   0.0000
