Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=110, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, rows_bias=0.8, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
d1f7cd3f-7716-40f4-8082-bd7a405a2f87
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.3795      0.1300     0.0871     18.1080   0.4328
00100     2.0188      0.3300     0.2709     68.8322   0.2560
00200     1.6788      0.4400     0.3804     71.1599   0.1463
00300     1.3815      0.5400     0.4601     70.2468   0.0830
00400     1.3533      0.5600     0.5483     74.9281   0.0444
00500     1.1294      0.6800     0.5859     70.0598   0.0185
00600     1.1484      0.6500     0.5852     73.4612   0.0005
00700     1.0292      0.6800     0.6401     70.0376   0.0000
00800     1.0024      0.6800     0.6339     67.8371   0.0000
00900     0.9018      0.6600     0.6087     70.9533   0.0000
01000     0.8682      0.7800     0.6343     72.5442   0.0000
01100     0.7843      0.8000     0.6799     68.8095   0.0001
01200     1.0255      0.6600     0.6458     73.2559   0.0000
01300     0.9215      0.6800     0.6816     69.8196   0.0000
01400     0.8738      0.6500     0.7200     70.8867   0.0000
01500     0.7547      0.7900     0.6993     72.6255   0.0000
01600     0.8041      0.7100     0.6848     70.5213   0.0000
01700     0.9717      0.6900     0.7329     70.0277   0.0000
01800     0.9402      0.7100     0.7202     71.3726   0.0000
01900     0.7827      0.7800     0.7016     73.6297   0.0000
02000     0.5924      0.8000     0.7098     69.5088   0.0000
02100     1.0392      0.6300     0.6771     74.1648   0.0000
02200     0.8150      0.7100     0.7105     72.9099   0.0000
02300     0.9007      0.7400     0.7087     71.1641   0.0000
02400     0.8811      0.6800     0.6596     72.7333   0.0000
02500     0.6649      0.7400     0.7394     70.3666   0.0000
02600     0.7270      0.7900     0.7324     69.6766   0.0000
02700     0.6351      0.8200     0.6676     68.5683   0.0000
02800     0.8341      0.7500     0.6683     69.3585   0.0000
02900     0.7262      0.7700     0.6710     68.0280   0.0000
03000     0.7579      0.7800     0.6850     69.3686   0.0000
03100     0.7689      0.7600     0.6525     72.5874   0.0000
03200     0.6335      0.7700     0.7416     71.5581   0.0000
03300     0.6428      0.8100     0.6629     74.9541   0.0000
03400     0.7152      0.8000     0.6798     70.8068   0.0000
03500     0.8105      0.7100     0.6920     71.4136   0.0000
03600     0.6116      0.8100     0.6916     74.2292   0.0000
03700     0.7269      0.7700     0.6671     72.9687   0.0000
03800     0.6483      0.7900     0.7178     73.8746   0.0000
03900     0.6781      0.7600     0.6932     73.3204   0.0000
04000     0.5997      0.7900     0.6996     74.6618   0.0000
04100     0.8741      0.7100     0.6921     72.5549   0.0000
04200     0.8879      0.7000     0.7649     69.3297   0.0000
04300     0.7539      0.8000     0.7560     73.8712   0.0000
04400     0.6973      0.7600     0.6891     70.2766   0.0000
04500     0.7303      0.7800     0.7663     74.7147   0.0000
04600     0.6346      0.8100     0.7277     70.8005   0.0000
04700     0.6607      0.8100     0.7421     75.5293   0.0000
04800     0.6134      0.7700     0.7540     69.0551   0.0001
04900     0.7933      0.7800     0.7273     74.4203   0.0000
05000     0.7318      0.7900     0.7452     74.4405   0.0000
05100     0.7719      0.7700     0.7021     70.5371   0.0000
05200     0.7413      0.7600     0.7352     70.9107   0.0000
05300     0.5622      0.8100     0.6825     69.2139   0.0000
05400     0.4953      0.8300     0.7755     68.9174   0.0000
05500     0.6188      0.8100     0.7068     70.3408   0.0000
05600     0.8324      0.7600     0.7150     73.3484   0.0000
05700     0.6965      0.7500     0.7689     69.4827   0.0000
05800     0.6709      0.7900     0.7105     69.3702   0.0000
05900     0.6411      0.8200     0.7252     73.4048   0.0000
06000     0.5659      0.8100     0.7739     74.9330   0.0000
06100     0.5480      0.8100     0.7159     74.2325   0.0000
06200     0.6619      0.8200     0.7121     69.9744   0.0000
06300     0.5698      0.8400     0.7182     71.4398   0.0000
06400     0.5850      0.8500     0.7317     68.3466   0.0000
06500     0.5968      0.8000     0.7298     74.6877   0.0000
06600     0.6348      0.7800     0.7550     77.3750   0.0000
