Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.15, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, rows_bias=0.8999999999999999, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
bff163e7-b900-4b41-bf67-50ca0621b8bf
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.3409      0.0700     0.0750     20.8065   0.4321
00100     2.1439      0.2600     0.3175     75.1500   0.2499
00200     1.8212      0.4500     0.4353     70.0695   0.1384
00300     1.3425      0.5600     0.5272     71.2016   0.0758
00400     1.2770      0.6200     0.5571     70.7817   0.0378
00500     0.9112      0.7300     0.6292     72.1925   0.0122
00600     1.0648      0.6100     0.5815     70.7664   0.0001
00700     0.9174      0.7100     0.6625     73.3470   0.0000
00800     0.9267      0.7400     0.6893     74.9463   0.0000
00900     0.8870      0.7100     0.6652     69.2882   0.0000
01000     0.8953      0.7500     0.7026     70.2072   0.0000
01100     0.8978      0.6800     0.6680     72.4979   0.0000
01200     0.9935      0.6900     0.7039     72.8253   0.0000
01300     0.7592      0.7600     0.7065     76.3955   0.0000
01400     0.7753      0.7500     0.7123     70.7708   0.0000
01500     0.8407      0.6800     0.6940     69.6702   0.0000
01600     0.7082      0.7300     0.7402     71.1976   0.0000
01700     1.0755      0.6600     0.7265     70.3892   0.0000
01800     0.8130      0.6700     0.7541     69.5989   0.0000
01900     1.0509      0.6600     0.7600     71.9873   0.0000
02000     0.8864      0.7300     0.7043     71.8966   0.0000
02100     1.0136      0.7300     0.7379     70.5564   0.0000
02200     1.1220      0.6400     0.7292     70.2984   0.0000
02300     0.8174      0.7800     0.7583     70.3029   0.0000
02400     0.7737      0.7500     0.7609     74.4048   0.0000
02500     0.8770      0.7000     0.7403     69.5782   0.0000
02600     0.8574      0.6900     0.7499     69.7268   0.0000
02700     0.6883      0.8200     0.7809     73.9809   0.0000
02800     0.7872      0.7200     0.7805     71.3646   0.0000
02900     0.9515      0.6700     0.7220     73.8469   0.0000
03000     0.6155      0.8700     0.7251     71.3243   0.0000
03100     0.8808      0.7800     0.6984     73.7428   0.0000
03200     0.7960      0.7300     0.7749     76.2778   0.0000
03300     0.7035      0.7400     0.7979     72.0168   0.0000
03400     0.8431      0.7500     0.6951     72.7598   0.0000
03500     0.6687      0.8200     0.7775     72.2879   0.0000
03600     0.8315      0.7500     0.7683     71.6749   0.0000
03700     0.7734      0.7300     0.7516     73.0027   0.0000
03800     0.8240      0.7500     0.7664     74.4517   0.0000
03900     0.7194      0.7400     0.7521     73.2047   0.0000
04000     0.8072      0.7400     0.8045     70.9656   0.0000
04100     0.7208      0.7500     0.7554     76.6632   0.0000
04200     0.8805      0.7200     0.7883     73.1375   0.0000
04300     0.6776      0.7700     0.7954     73.2768   0.0000
04400     0.4730      0.8400     0.7949     71.4024   0.0000
04500     0.5297      0.7900     0.7826     71.1836   0.0000
04600     0.8951      0.7100     0.7836     75.0741   0.0000
04700     0.7976      0.7500     0.7884     70.0517   0.0000
04800     0.7628      0.7800     0.8095     71.4458   0.0000
04900     0.7025      0.7800     0.7891     70.2407   0.0000
05000     0.8544      0.7300     0.7886     76.9920   0.0000
05100     0.6813      0.7900     0.7791     73.4547   0.0000
05200     0.7028      0.7300     0.7242     75.5610   0.0000
05300     0.7681      0.7100     0.7980     74.8480   0.0000
05400     0.5260      0.8300     0.8095     71.4140   0.0000
05500     0.7205      0.7300     0.7357     75.5796   0.0000
05600     0.6585      0.7700     0.7636     75.1220   0.0000
05700     0.5716      0.8200     0.7523     71.2411   0.0000
05800     0.7282      0.7200     0.7095     70.6641   0.0000
05900     0.7128      0.7800     0.7956     72.7288   0.0000
06000     0.6421      0.8200     0.8174     70.9626   0.0000
06100     0.7124      0.7900     0.7587     74.8585   0.0000
06200     0.6805      0.7900     0.7778     69.0733   0.0000
06300     0.5452      0.8400     0.7689     72.2912   0.0000
06400     0.6952      0.8100     0.7815     73.3007   0.0000
06500     0.7127      0.7700     0.7975     73.4379   0.0000
06600     0.8231      0.7600     0.7857     70.7293   0.0000
06700     0.6320      0.7600     0.8069     70.6392   0.0000
06800     0.7544      0.7200     0.8030     69.4250   0.0000
06900     0.6051      0.8100     0.8017     69.3768   0.0000
07000     0.5891      0.7700     0.7986     72.8606   0.0000
07100     0.9349      0.7000     0.8021     72.3272   0.0000
07200     0.6452      0.8300     0.7608     69.2098   0.0000
07300     0.5618      0.8300     0.7594     70.1939   0.0000
07400     0.5433      0.8400     0.7776     69.3689   0.0000
07500     0.5729      0.8200     0.8201     74.6137   0.0000
07600     0.9123      0.7000     0.7779     72.6802   0.0000
07700     0.7181      0.7700     0.8168     73.7164   0.0000
07800     0.7026      0.7900     0.8191     73.1443   0.0000
07900     0.5596      0.8300     0.8209     71.1394   0.0000
08000     0.7655      0.7500     0.8102     73.0193   0.0000
08100     0.5022      0.8500     0.8073     72.7222   0.0000
08200     0.4937      0.8600     0.8019     72.9866   0.0000
08300     0.6287      0.8200     0.8136     72.5239   0.0000
08400     0.6816      0.8200     0.7938     70.4456   0.0000
08500     0.8126      0.7200     0.7985     70.8359   0.0000
08600     0.7887      0.7500     0.8007     73.4727   0.0000
08700     0.6791      0.7500     0.8179     75.7037   0.0000
08800     0.5329      0.8500     0.8194     74.2690   0.0000
08900     0.3291      0.9000     0.8251     72.0536   0.0000
09000     0.5883      0.8100     0.8332     73.8675   0.0000
09100     0.6196      0.8100     0.8226     70.5641   0.0000
09200     0.5275      0.8400     0.7875     72.1598   0.0000
09300     0.6423      0.7800     0.8279     73.8995   0.0000
09400     0.7877      0.7800     0.8061     74.6796   0.0000
09500     0.6731      0.8300     0.8068     73.7559   0.0000
09600     0.5377      0.8500     0.8054     73.1315   0.0000
09700     0.6629      0.7700     0.8269     74.1033   0.0000
09800     0.6120      0.8100     0.8202     73.9163   0.0000
09900     0.5149      0.8600     0.8183     70.9810   0.0000
10000     0.4897      0.8700     0.7687     76.1466   0.0000
10100     0.7678      0.7900     0.8091     78.1833   0.0000
10200     0.6171      0.7600     0.8249     73.5073   0.0000
10300     0.5384      0.8400     0.8181     76.4634   0.0000
10400     0.5948      0.8200     0.8078     73.3784   0.0000
10500     0.5718      0.8100     0.8153     72.1075   0.0000
10600     0.4826      0.8300     0.8052     75.4145   0.0000
