Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, rows_bias=0.6000000000000001, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
3b722f38-1655-4466-857a-bbcf38547c64
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     2.8254      0.0800     0.1084     19.7801   0.4317
00100     2.2205      0.2600     0.3212     72.4392   0.2320
00200     1.6806      0.4600     0.4608     72.7817   0.1158
00300     1.4410      0.5000     0.5303     72.5097   0.0559
00400     1.2949      0.5500     0.5908     73.4001   0.0222
00500     1.2979      0.5600     0.6502     72.7830   0.0005
00600     1.1032      0.6200     0.6630     73.2836   0.0000
00700     1.0712      0.6500     0.6902     73.1595   0.0001
00800     1.0118      0.6700     0.7143     73.0825   0.0000
00900     1.1407      0.6300     0.7060     73.1283   0.0000
01000     0.9462      0.7000     0.7237     72.9050   0.0000
01100     1.1003      0.7100     0.7095     73.4659   0.0000
01200     0.9101      0.6400     0.7417     73.1446   0.0000
01300     0.9901      0.6600     0.7360     73.5981   0.0000
01400     0.8422      0.7400     0.7471     72.3627   0.0000
01500     0.9479      0.7300     0.7393     73.3748   0.0000
01600     0.9157      0.7100     0.7653     73.2578   0.0000
01700     0.9696      0.6900     0.7614     74.1010   0.0000
01800     1.0501      0.7100     0.7716     72.6455   0.0000
01900     1.0079      0.6800     0.7758     73.8417   0.0000
02000     0.8479      0.7100     0.7395     73.6748   0.0001
02100     0.9074      0.7200     0.7621     73.4357   0.0000
02200     0.9697      0.7200     0.7640     74.8155   0.0000
02300     0.8852      0.7200     0.7881     74.9886   0.0000
