Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=8627169, rows_bias=0.6000000000000001, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
15c65f03-9e9e-4387-89d4-33cb1d062dca
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.0382      0.0500     0.0734     16.8555   0.4328
00100     2.1445      0.2900     0.2955     67.4672   0.2208
00200     1.6706      0.5000     0.4412     67.9207   0.1033
00300     1.6285      0.4600     0.5278     68.4657   0.0474
00400     1.3180      0.5100     0.5722     68.4504   0.0168
00500     1.4455      0.5600     0.6431     68.7571   0.0002
00600     1.0949      0.6300     0.6841     68.0732   0.0000
00700     0.9096      0.7100     0.6904     68.4925   0.0000
00800     0.9434      0.6600     0.6988     69.4892   0.0000
00900     1.0252      0.6500     0.7122     69.9862   0.0000
01000     1.0146      0.6200     0.7308     69.6511   0.0000
01100     1.0135      0.7100     0.7333     71.8723   0.0000
01200     0.9323      0.6900     0.7493     72.4918   0.0000
01300     0.8892      0.7300     0.7140     72.1222   0.0000
01400     0.7782      0.7800     0.7338     71.1705   0.0000
01500     0.7839      0.7600     0.7440     73.2271   0.0000
01600     0.7462      0.7500     0.7457     73.5882   0.0000
01700     0.8466      0.7000     0.7565     73.7122   0.0000
01800     0.9127      0.6600     0.7687     73.4034   0.0000
01900     1.0106      0.6700     0.7627     74.0274   0.0000
02000     0.9537      0.6500     0.7615     72.8231   0.0000
02100     0.9023      0.6800     0.7660     74.5494   0.0000
02200     0.9092      0.6400     0.7634     74.8179   0.0000
02300     0.9308      0.7300     0.7772     73.9093   0.0000
02400     0.9227      0.7500     0.7796     73.9568   0.0000
02500     0.8641      0.6900     0.7715     75.0457   0.0000
02600     0.9606      0.6600     0.7747     73.6823   0.0000
02700     0.8962      0.7200     0.7709     73.3429   0.0000
02800     0.7042      0.7800     0.7819     74.0455   0.0000
02900     0.8073      0.7100     0.7664     74.7834   0.0000
03000     0.6733      0.8000     0.7742     74.8376   0.0000
03100     0.7180      0.7900     0.7815     73.8874   0.0000
03200     0.9218      0.7200     0.7791     73.6851   0.0000
03300     0.8622      0.7100     0.7919     74.4572   0.0000
03400     0.8302      0.7400     0.7848     73.9792   0.0000
03500     0.7854      0.7300     0.7922     75.0078   0.0000
03600     0.7725      0.7600     0.7919     74.7356   0.0000
03700     0.8363      0.7200     0.7701     75.4483   0.0000
03800     0.7594      0.7600     0.7964     74.7367   0.0000
03900     0.7309      0.7500     0.8029     75.0149   0.0000
04000     0.7993      0.7100     0.7854     75.1249   0.0000
04100     0.9428      0.7200     0.7902     75.4353   0.0000
04200     0.7295      0.7800     0.7925     73.6063   0.0000
04300     0.7058      0.7400     0.7917     74.5807   0.0000
04400     0.5618      0.8300     0.7896     75.7647   0.0000
04500     0.6866      0.8100     0.7998     74.8782   0.0000
04600     0.9189      0.6900     0.7979     74.5229   0.0000
04700     0.7407      0.7300     0.7903     75.3200   0.0000
04800     0.6682      0.7800     0.7947     75.2408   0.0000
04900     0.7766      0.7500     0.7943     74.4817   0.0000
05000     0.8507      0.7400     0.7967     74.4532   0.0000
05100     0.6790      0.7800     0.7986     76.1177   0.0000
05200     0.7594      0.7500     0.8124     75.5444   0.0000
05300     0.6297      0.8000     0.8040     74.9461   0.0000
05400     0.7681      0.7700     0.7967     75.0369   0.0000
05500     0.9630      0.7000     0.8095     74.9392   0.0000
05600     0.9302      0.6800     0.8122     75.0981   0.0000
05700     0.8047      0.7600     0.8019     74.3749   0.0000
05800     0.9371      0.6900     0.8060     73.7405   0.0000
05900     0.6296      0.8000     0.7617     75.7856   0.0000
06000     0.6064      0.8200     0.7810     73.6506   0.0000
06100     0.6164      0.7500     0.7999     73.9107   0.0000
06200     0.7479      0.7500     0.8181     76.0410   0.0000
06300     0.7025      0.8100     0.8122     75.3095   0.0000
06400     0.6463      0.7700     0.7917     75.7839   0.0000
06500     0.9390      0.6800     0.8197     75.5918   0.0000
06600     0.6763      0.7600     0.8069     75.1016   0.0000
06700     0.6196      0.8200     0.7774     75.5599   0.0000
06800     0.7565      0.7600     0.8034     75.2035   0.0000
06900     0.6725      0.7900     0.7983     75.8187   0.0000
07000     0.8832      0.7600     0.8046     75.0774   0.0000
07100     0.6283      0.8000     0.7935     74.8136   0.0000
07200     0.6980      0.8200     0.8064     75.0330   0.0000
07300     0.5388      0.8500     0.8236     75.4777   0.0000
07400     0.8672      0.7200     0.8224     74.0218   0.0000
07500     0.8368      0.7500     0.8164     75.5186   0.0000
07600     0.7602      0.7600     0.8213     74.5183   0.0000
07700     0.7297      0.7700     0.8167     74.8020   0.0000
07800     0.7420      0.7500     0.8175     74.7702   0.0000
07900     0.5676      0.8200     0.8202     74.9745   0.0000
08000     0.5942      0.8400     0.8027     75.3689   0.0000
08100     0.7973      0.7600     0.8132     75.4249   0.0000
08200     0.7501      0.7800     0.8224     75.1193   0.0000
08300     0.6711      0.8100     0.8164     74.5385   0.0000
08400     0.6181      0.8200     0.8242     75.4302   0.0000
08500     0.7120      0.7700     0.8196     73.6435   0.0000
08600     0.5089      0.8400     0.8118     75.5409   0.0000
08700     0.6068      0.8200     0.8116     74.2393   0.0000
