Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=106, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, rows_bias=0.8, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
a4f44fc0-7369-499b-bd5a-59645821cc7f
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.4508      0.0700     0.0826     17.8286   0.4313
00100     1.9726      0.3700     0.3019     71.4972   0.2441
00200     1.7963      0.4100     0.4416     72.1751   0.1293
00300     1.3745      0.6000     0.5344     72.3862   0.0703
00400     1.5184      0.5200     0.6046     74.3159   0.0362
00500     1.2842      0.5900     0.6463     73.7409   0.0140
00600     1.1800      0.6300     0.6772     73.8405   0.0001
00700     1.0578      0.6200     0.6977     73.0522   0.0000
00800     1.1167      0.6300     0.7135     73.6242   0.0000
00900     1.0246      0.6700     0.7232     73.0896   0.0000
01000     1.0591      0.6600     0.7382     73.5311   0.0000
01100     0.8324      0.7400     0.7392     72.7966   0.0000
01200     1.0238      0.6600     0.7242     72.1481   0.0000
01300     1.0481      0.6700     0.7437     73.0573   0.0000
01400     0.7842      0.6800     0.7439     73.3160   0.0000
01500     0.8808      0.7200     0.7450     73.9658   0.0000
01600     0.6886      0.7800     0.7425     73.5309   0.0000
01700     0.7686      0.7600     0.7593     74.8049   0.0000
01800     0.7762      0.7600     0.7610     73.1751   0.0000
