Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=106, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=8627169, rows_bias=0.8, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
77846077-7090-46a3-9228-b23b728328da
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     2.9873      0.1100     0.0964     14.2931   0.4316
00100     2.2906      0.2800     0.3058     54.9833   0.2305
00200     1.9325      0.3300     0.4461     55.2008   0.1124
00300     1.5674      0.4000     0.5288     54.2555   0.0529
00400     1.3388      0.5900     0.5775     55.0994   0.0197
00500     1.2306      0.5700     0.6386     54.7628   0.0005
00600     1.2287      0.6000     0.6583     55.7053   0.0000
00700     1.1376      0.5700     0.6646     55.2772   0.0000
00800     1.1849      0.6400     0.6929     56.1165   0.0000
00900     1.0749      0.6600     0.6714     56.2295   0.0000
01000     0.9254      0.6700     0.7344     55.5003   0.0000
01100     0.8763      0.7300     0.7338     55.7722   0.0000
01200     0.7673      0.7700     0.7366     56.5230   0.0000
01300     1.0853      0.6900     0.7226     56.3802   0.0000
01400     0.8882      0.7200     0.7460     55.3251   0.0000
01500     1.0139      0.6900     0.7488     56.4104   0.0000
01600     1.0101      0.6900     0.7526     54.8503   0.0000
01700     0.8499      0.7600     0.7604     55.1222   0.0000
01800     0.8008      0.7800     0.7548     54.9356   0.0000
