Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=106, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, rows_bias=1.6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
9d07e314-f6b4-47bb-a5d9-08c7931c180c
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     4.3119      0.0700     0.0808     14.8715   0.4317
00100     1.8455      0.4000     0.2544     55.1457   0.2811
00200     1.7543      0.4300     0.3804     55.2664   0.1695
00300     1.3028      0.5400     0.4612     54.6155   0.0994
00400     1.4210      0.5100     0.5436     55.5136   0.0556
00500     1.3279      0.5400     0.5859     54.9773   0.0252
00600     1.1043      0.6200     0.6199     54.8197   0.0021
00700     1.1121      0.6400     0.6469     55.7332   0.0000
00800     1.1223      0.6200     0.6538     54.5905   0.0000
00900     1.0532      0.6300     0.6640     55.3777   0.0000
01000     0.9954      0.7200     0.6743     55.4788   0.0000
01100     0.7544      0.7800     0.6899     55.3654   0.0000
01200     1.0087      0.7200     0.6636     55.1285   0.0000
01300     1.0237      0.6900     0.6936     55.4885   0.0000
01400     0.7424      0.7300     0.6912     54.9605   0.0000
01500     0.8070      0.7700     0.7100     55.4103   0.0000
01600     0.6303      0.8000     0.7147     53.9955   0.0000
01700     0.6414      0.8000     0.7202     55.1256   0.0000
01800     0.7381      0.7800     0.7121     54.3991   0.0000
01900     0.7505      0.8000     0.7225     54.2853   0.0000
02000     0.9961      0.6500     0.7191     54.8060   0.0000
02100     0.7412      0.7700     0.6880     54.9701   0.0000
02200     0.9808      0.6900     0.7532     55.3391   0.0000
02300     0.8360      0.7500     0.7309     54.8594   0.0000
02400     0.7198      0.7600     0.7405     55.2994   0.0000
02500     0.7539      0.7500     0.7050     54.7772   0.0000
02600     0.6773      0.7600     0.7150     55.3871   0.0000
02700     1.1358      0.6900     0.7367     54.7578   0.0000
02800     0.8384      0.7300     0.6835     55.1473   0.0000
02900     0.7066      0.7800     0.7273     54.7951   0.0000
03000     0.8621      0.7600     0.6804     54.8587   0.0000
03100     0.6458      0.7900     0.7527     55.1603   0.0000
03200     0.7319      0.7400     0.6988     54.7906   0.0000
03300     0.7411      0.7600     0.7276     54.7279   0.0000
03400     0.5934      0.8400     0.6943     55.0804   0.0000
03500     0.7349      0.7400     0.6943     55.2208   0.0000
03600     0.9746      0.7200     0.7038     54.7337   0.0000
03700     0.8506      0.7200     0.7314     55.6241   0.0000
03800     0.5950      0.8300     0.7493     54.9072   0.0000
03900     0.7118      0.7600     0.7515     54.5679   0.0000
04000     0.6279      0.8000     0.7254     54.5770   0.0000
04100     0.6856      0.7900     0.7253     55.0108   0.0000
04200     0.8151      0.7300     0.7136     55.0932   0.0000
04300     0.6529      0.8000     0.7333     54.4258   0.0000
04400     0.5743      0.8300     0.6957     54.2865   0.0000
04500     0.8988      0.6900     0.7152     55.1265   0.0000
04600     0.6895      0.8000     0.6987     55.0746   0.0000
04700     0.8245      0.7300     0.7091     55.2309   0.0000
04800     0.6086      0.7900     0.7419     55.6770   0.0000
04900     0.7165      0.7200     0.7589     57.3554   0.0000
05000     0.8170      0.7700     0.7311     56.2554   0.0000
05100     0.7001      0.7700     0.7600     56.3805   0.0000
05200     0.6547      0.8100     0.7728     55.8096   0.0000
05300     0.6374      0.7900     0.7489     55.0806   0.0000
05400     0.6475      0.8000     0.7611     55.0703   0.0000
05500     0.5671      0.8100     0.7565     56.6367   0.0000
05600     0.6011      0.8300     0.7001     55.0271   0.0000
05700     0.6867      0.8200     0.7847     54.6105   0.0000
05800     0.6056      0.7900     0.7423     54.7711   0.0000
05900     0.6684      0.8200     0.7191     55.6013   0.0000
06000     0.6949      0.7900     0.7082     55.7252   0.0000
06100     0.7345      0.7300     0.7134     55.0419   0.0000
06200     0.7740      0.7700     0.7737     56.2182   0.0000
06300     0.9523      0.7100     0.7781     55.1727   0.0000
06400     0.7580      0.7600     0.7673     55.4781   0.0000
06500     0.7037      0.8200     0.7262     54.8322   0.0000
06600     0.5918      0.8100     0.7969     55.0649   0.0000
06700     0.6913      0.7900     0.7390     54.8057   0.0000
06800     0.5441      0.8600     0.7670     54.5470   0.0000
06900     0.6582      0.8000     0.7416     55.3000   0.0000
07000     0.5188      0.8400     0.7588     55.6250   0.0000
07100     0.7159      0.8000     0.7936     55.1681   0.0000
07200     0.5155      0.8400     0.7026     54.7411   0.0000
07300     0.6147      0.8400     0.7458     55.6486   0.0000
07400     0.6824      0.7900     0.7178     54.8974   0.0000
07500     0.5749      0.8400     0.7505     55.4393   0.0000
07600     0.5775      0.7800     0.7307     54.6797   0.0000
07700     0.5694      0.8300     0.7128     54.7445   0.0000
07800     0.5093      0.8400     0.7039     55.1824   0.0000
07900     0.5066      0.8300     0.7402     54.9563   0.0000
08000     0.5012      0.8600     0.7612     55.0052   0.0000
08100     0.5957      0.8200     0.7317     55.4227   0.0000
08200     0.6066      0.8100     0.7582     54.7969   0.0000
08300     0.7951      0.7800     0.7366     54.8899   0.0000
08400     0.5896      0.8200     0.7460     55.3884   0.0000
08500     0.6542      0.8100     0.7270     55.1454   0.0000
08600     0.6944      0.7400     0.7191     55.2902   0.0000
08700     0.5709      0.8000     0.7476     55.1330   0.0000
08800     0.5489      0.8100     0.7137     55.2040   0.0000
08900     0.5996      0.7900     0.6981     54.7633   0.0000
09000     0.6577      0.7600     0.7138     55.0551   0.0000
09100     0.5168      0.8100     0.7874     54.5827   0.0000
09200     0.6972      0.7600     0.7340     54.8462   0.0000
09300     0.6665      0.8200     0.7128     54.2951   0.0000
09400     0.4609      0.8500     0.7191     55.0909   0.0000
09500     0.7716      0.8100     0.7231     55.3220   0.0000
09600     0.6951      0.7700     0.7517     54.7693   0.0000
09700     0.6496      0.8200     0.7440     55.2627   0.0000
09800     0.5089      0.8400     0.7440     54.9918   0.0000
09900     0.6344      0.8100     0.8123     55.3111   0.0000
10000     0.4786      0.8700     0.7782     55.1236   0.0000
10100     0.5934      0.8500     0.7703     55.3189   0.0000
10200     0.5350      0.8300     0.7368     54.7118   0.0000
10300     0.6342      0.7700     0.7448     55.6568   0.0000
10400     0.5259      0.8500     0.7441     55.6194   0.0000
10500     0.4632      0.8800     0.7370     55.1583   0.0000
10600     0.4571      0.8100     0.7450     54.7607   0.0000
10700     0.4397      0.8700     0.7417     54.8391   0.0000
10800     0.5296      0.8200     0.7537     55.5441   0.0000
10900     0.5362      0.8400     0.7354     55.6206   0.0000
11000     0.5960      0.8400     0.7519     55.3644   0.0000
11100     0.5980      0.8300     0.7508     54.6802   0.0000
11200     0.5998      0.8000     0.7835     55.0443   0.0000
11300     0.6977      0.8000     0.7416     54.7394   0.0000
11400     0.5500      0.8300     0.7431     54.4594   0.0000
11500     0.4806      0.8000     0.7528     54.3091   0.0000
11600     0.5418      0.8200     0.7746     56.1118   0.0000
11700     0.4582      0.9000     0.7399     55.1809   0.0000
11800     0.6565      0.7300     0.7464     54.7521   0.0000
11900     0.5673      0.8200     0.7658     54.7770   0.0000
12000     0.4890      0.8500     0.7278     56.3820   0.0000
12100     0.4602      0.8500     0.7307     55.5801   0.0000
12200     0.5266      0.8300     0.7455     57.8991   0.0000
12300     0.6106      0.7800     0.7436     58.6745   0.0000
12400     0.5022      0.8500     0.7395     56.1327   0.0000
12500     0.5928      0.7900     0.7385     55.7836   0.0000
12600     0.6543      0.8000     0.7364     55.4169   0.0000
12700     0.4786      0.8600     0.7610     54.9373   0.0000
12800     0.5206      0.8200     0.7400     54.8564   0.0000
12900     0.3608      0.8900     0.7615     57.1156   0.0000
13000     0.4884      0.8500     0.7691     57.9331   0.0000
13100     0.4574      0.8600     0.7567     55.5388   0.0000
13200     0.4154      0.8800     0.7370     54.7980   0.0000
13300     0.5769      0.7900     0.7437     56.9606   0.0000
13400     0.5846      0.8300     0.7697     55.9482   0.0000
13500     0.6205      0.7700     0.7309     56.8732   0.0000
13600     0.4406      0.9100     0.7614     54.3974   0.0000
13700     0.6519      0.7800     0.7500     56.0643   0.0000
13800     0.5466      0.8100     0.7462     54.7886   0.0000
13900     0.5941      0.8300     0.7400     55.9721   0.0000
14000     0.4203      0.8600     0.7528     54.3360   0.0000
14100     0.5289      0.8400     0.7335     55.6477   0.0000
14200     0.5300      0.7900     0.7338     54.7048   0.0000
14300     0.5815      0.8000     0.7529     54.4364   0.0000
14400     0.5654      0.8000     0.7430     54.7931   0.0000
14500     0.5594      0.8000     0.7309     54.7599   0.0000
14600     0.4567      0.8500     0.7523     55.1160   0.0000
14700     0.6113      0.8100     0.7304     54.9376   0.0000
14800     0.5518      0.8200     0.7386     54.8280   0.0000
14900     0.3864      0.8900     0.7429     54.0825   0.0000
15000     0.3711      0.8900     0.7391     55.1472   0.0000
15100     0.5858      0.8000     0.7387     54.3882   0.0000
15200     0.5286      0.8600     0.7525     55.0614   0.0000
15300     0.5542      0.8300     0.7409     54.8220   0.0000
15400     0.5563      0.8400     0.7464     54.9094   0.0000
15500     0.6607      0.8000     0.7594     54.9940   0.0000
15600     0.3792      0.8700     0.7429     54.9773   0.0000
15700     0.4204      0.8600     0.7432     55.0878   0.0000
15800     0.5366      0.8600     0.7399     55.4138   0.0000
15900     0.4627      0.8300     0.7494     55.7329   0.0000
16000     0.5122      0.8300     0.7414     54.9355   0.0000
16100     0.4956      0.8400     0.7282     54.8225   0.0000
16200     0.5635      0.8300     0.7368     54.5989   0.0000
16300     0.5525      0.7900     0.7315     55.2931   0.0000
16400     0.5371      0.7800     0.7313     54.8820   0.0000
16500     0.5680      0.8400     0.7406     55.9730   0.0000
16600     0.5314      0.8500     0.7551     55.6780   0.0000
16700     0.6226      0.7800     0.7288     54.7725   0.0000
16800     0.5127      0.8500     0.7563     54.3440   0.0000
