Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=106, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, rows_bias=1.6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
4f59089d-2535-48a1-b7ec-1f3786f282e3
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.5141      0.0600     0.0979     14.5906   0.4317
00100     1.9845      0.3000     0.1952     54.6841   0.2543
00200     1.7529      0.4300     0.3413     54.3983   0.1397
00300     1.5358      0.4800     0.4342     54.9846   0.0714
00400     1.5097      0.5900     0.4693     55.0749   0.0310
00500     1.2121      0.6000     0.5309     55.4556   0.0050
00600     1.0741      0.6200     0.5712     55.2410   0.0000
00700     1.0642      0.6800     0.6241     55.1991   0.0000
00800     1.0442      0.6200     0.5984     54.8551   0.0000
00900     1.0035      0.6600     0.6495     55.5204   0.0000
01000     0.9387      0.6900     0.6700     54.7897   0.0000
01100     0.8964      0.6600     0.6272     54.9626   0.0000
01200     0.7462      0.7600     0.6869     54.8651   0.0000
01300     0.9446      0.7300     0.7045     55.1722   0.0000
01400     1.1000      0.6000     0.6969     54.2644   0.0000
01500     1.0063      0.6800     0.6879     55.0311   0.0000
01600     1.0807      0.7000     0.6926     55.1340   0.0000
01700     0.9568      0.7500     0.6691     55.7666   0.0000
01800     0.8454      0.7400     0.7133     55.0718   0.0001
01900     0.8577      0.7600     0.7033     55.2704   0.0000
02000     0.6813      0.8000     0.7193     55.1921   0.0001
02100     0.7784      0.7500     0.6767     55.3134   0.0000
02200     0.7802      0.6900     0.6846     55.8312   0.0000
02300     0.8021      0.7200     0.6950     55.3010   0.0000
02400     0.9226      0.7100     0.7372     55.3274   0.0000
02500     0.8096      0.7200     0.6895     56.0700   0.0000
02600     0.8201      0.7100     0.7494     55.9172   0.0000
02700     0.6733      0.7700     0.7249     55.4612   0.0000
02800     0.7863      0.7800     0.7084     55.9380   0.0000
02900     0.7631      0.8000     0.6825     55.6500   0.0000
03000     0.6900      0.8200     0.7014     55.9813   0.0000
03100     0.7261      0.7800     0.7395     57.1117   0.0000
03200     0.8172      0.6900     0.7387     56.1650   0.0000
03300     0.8562      0.7400     0.7439     55.6732   0.0000
03400     0.7825      0.7500     0.7288     55.3164   0.0000
03500     0.8973      0.6800     0.6904     55.6682   0.0001
03600     0.7963      0.7500     0.7222     55.6529   0.0000
03700     0.6050      0.8100     0.7540     55.6961   0.0000
03800     0.6872      0.7800     0.6981     56.3597   0.0000
03900     0.8739      0.6900     0.7594     56.2481   0.0000
04000     0.8035      0.7200     0.7181     55.5121   0.0000
04100     0.8077      0.7400     0.7132     56.9012   0.0000
04200     0.8578      0.7200     0.7477     57.4578   0.0000
04300     0.6691      0.7900     0.7731     55.9374   0.0000
04400     0.8492      0.7500     0.7311     56.3841   0.0000
04500     0.6943      0.7900     0.7473     56.2507   0.0000
04600     0.8112      0.7200     0.7092     56.3040   0.0000
04700     0.5815      0.7700     0.7572     55.7914   0.0000
04800     0.6795      0.8400     0.7238     55.2061   0.0000
04900     0.5920      0.8000     0.7059     54.9451   0.0000
05000     0.7204      0.7900     0.7485     55.3794   0.0000
05100     0.8037      0.7700     0.7673     55.4730   0.0000
05200     0.6143      0.7900     0.7423     55.3166   0.0000
05300     0.7232      0.7700     0.7309     56.0706   0.0000
05400     0.6056      0.8000     0.7434     56.0102   0.0000
05500     0.5260      0.8100     0.7347     56.3894   0.0000
05600     0.5629      0.8800     0.7666     56.2732   0.0000
05700     0.6732      0.7500     0.6973     55.1064   0.0000
05800     0.8843      0.7400     0.7327     55.7338   0.0000
05900     0.6270      0.7600     0.7402     56.2214   0.0000
06000     0.6768      0.7700     0.7078     57.2885   0.0000
06100     0.7117      0.7500     0.6966     58.3803   0.0000
06200     0.6893      0.7400     0.7450     55.9859   0.0000
06300     0.7541      0.7400     0.6918     55.6456   0.0000
06400     0.6052      0.8300     0.7548     56.7126   0.0000
06500     0.6769      0.7900     0.7510     56.1282   0.0000
06600     0.7692      0.7100     0.7374     56.9160   0.0000
06700     0.5983      0.8300     0.7733     56.6695   0.0000
06800     0.5574      0.8200     0.7718     56.1838   0.0000
06900     0.6404      0.7900     0.7577     56.1506   0.0000
07000     0.6538      0.8000     0.7083     55.2170   0.0000
07100     0.6559      0.7500     0.7335     55.1217   0.0000
07200     0.6383      0.8200     0.7119     55.7782   0.0000
07300     0.5654      0.8100     0.7058     55.9213   0.0000
07400     0.4835      0.8500     0.7278     54.9922   0.0000
07500     0.6230      0.8200     0.7108     56.9719   0.0000
07600     0.5383      0.8600     0.6877     56.3943   0.0000
