Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=106, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.5, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, rows_bias=4.0, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
c8376b8f-4835-4a83-a3d7-a222baa1b534
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     4.3277      0.0700     0.0854     15.3976   0.4317
00100     1.8765      0.3600     0.0998     56.5073   0.2855
00200     1.7489      0.4400     0.1276     55.2222   0.1707
00300     1.2244      0.6000     0.1409     61.5333   0.0954
00400     1.4092      0.5100     0.1556     58.8934   0.0468
00500     1.2118      0.6400     0.1633     56.2915   0.0134
00600     1.1484      0.5900     0.1650     56.1494   0.0000
00700     0.9883      0.6700     0.1744     55.1107   0.0001
00800     1.0599      0.6400     0.1992     54.8508   0.0001
00900     1.1015      0.6300     0.1833     56.3834   0.0000
01000     1.1697      0.5900     0.2150     57.2555   0.0000
01100     0.7814      0.7500     0.1864     55.6306   0.0001
01200     0.8756      0.6900     0.1896     55.2696   0.0000
01300     0.9613      0.7000     0.2057     57.4388   0.0001
01400     0.6893      0.7800     0.2132     56.2156   0.0000
01500     0.9062      0.6900     0.2229     55.2256   0.0000
01600     0.6757      0.7900     0.2412     55.3294   0.0000
01700     0.6888      0.7700     0.2391     55.1543   0.0000
01800     0.8461      0.7700     0.2179     55.6543   0.0000
01900     0.7970      0.7600     0.2337     55.3504   0.0000
02000     0.9730      0.7100     0.2255     56.0103   0.0000
02100     0.7321      0.7600     0.2363     57.3256   0.0000
02200     0.7998      0.7700     0.2549     55.9876   0.0000
02300     0.7994      0.7600     0.2610     55.5262   0.0000
02400     0.6609      0.7700     0.2626     56.2785   0.0000
02500     0.8273      0.7300     0.2756     57.2582   0.0000
02600     0.7734      0.7100     0.2428     54.6766   0.0000
02700     0.8927      0.7100     0.2694     61.0165   0.0000
02800     0.7771      0.7400     0.2473     55.3348   0.0000
02900     0.7315      0.7800     0.2523     55.2681   0.0000
03000     0.8984      0.7300     0.2922     57.8293   0.0000
03100     0.7117      0.7700     0.2918     56.4100   0.0000
03200     0.7771      0.7200     0.3167     54.9560   0.0000
03300     0.7470      0.8000     0.3125     57.6355   0.0000
03400     0.6393      0.7700     0.3190     57.2795   0.0001
03500     0.7253      0.7800     0.3521     56.2193   0.0000
03600     0.8248      0.7700     0.3257     60.9103   0.0000
03700     0.7942      0.7600     0.3285     60.7809   0.0000
03800     0.6574      0.8300     0.3338     58.9005   0.0000
03900     0.7338      0.7400     0.3229     56.4243   0.0000
04000     0.6434      0.7900     0.3585     59.6628   0.0000
04100     0.7009      0.7400     0.3472     57.0191   0.0000
04200     0.6988      0.7700     0.3531     55.7344   0.0000
04300     0.6260      0.7400     0.3391     58.8402   0.0000
04400     0.5857      0.8300     0.3337     58.5491   0.0000
04500     0.7981      0.7600     0.3471     58.8582   0.0000
04600     0.6464      0.8100     0.3775     59.3092   0.0000
04700     0.8036      0.6900     0.3610     60.0566   0.0000
04800     0.5476      0.8400     0.3717     61.3025   0.0000
04900     0.7864      0.7700     0.3810     59.3500   0.0000
05000     0.7261      0.7900     0.3911     57.7570   0.0000
05100     0.6269      0.8000     0.3470     58.1805   0.0000
05200     0.6677      0.7900     0.3755     58.9083   0.0000
05300     0.7318      0.7800     0.3662     56.8346   0.0000
05400     0.6592      0.8000     0.3969     55.3332   0.0000
05500     0.6127      0.7800     0.3997     57.1174   0.0000
05600     0.5858      0.8200     0.4029     56.5423   0.0000
05700     0.5268      0.8600     0.4137     58.5961   0.0000
05800     0.4850      0.8200     0.4052     59.2515   0.0000
05900     0.6422      0.7500     0.4170     56.0676   0.0000
06000     0.6354      0.8000     0.4404     62.1099   0.0000
06100     0.7909      0.7500     0.4312     57.8030   0.0000
06200     0.8369      0.7600     0.4053     58.3081   0.0000
06300     0.8576      0.6900     0.4377     60.8418   0.0000
06400     0.6040      0.8100     0.4075     59.4712   0.0000
06500     0.5807      0.8300     0.4243     56.7990   0.0000
06600     0.6630      0.7800     0.4423     56.0296   0.0000
06700     0.6306      0.8200     0.4527     58.7357   0.0000
06800     0.4584      0.8300     0.4540     55.2590   0.0000
06900     0.6550      0.7400     0.4487     58.8379   0.0000
07000     0.6663      0.7700     0.4641     55.9961   0.0000
07100     0.6094      0.8300     0.4546     57.1409   0.0000
07200     0.5279      0.8500     0.4669     55.3185   0.0000
07300     0.5144      0.8600     0.4745     59.3660   0.0000
07400     0.5776      0.8300     0.4766     57.8330   0.0000
07500     0.5646      0.8400     0.4922     55.7065   0.0000
07600     0.5095      0.8400     0.4636     56.7773   0.0000
07700     0.5079      0.8600     0.4854     56.2857   0.0000
07800     0.4757      0.8800     0.4880     55.0734   0.0000
07900     0.4021      0.8800     0.4987     55.9153   0.0000
08000     0.5052      0.8500     0.5079     54.4236   0.0000
08100     0.5442      0.8300     0.5050     57.5477   0.0000
08200     0.6795      0.7500     0.5019     57.5400   0.0000
08300     0.7500      0.8000     0.4806     58.9588   0.0000
08400     0.4713      0.8600     0.5098     58.7228   0.0000
08500     0.5813      0.8400     0.4972     56.2937   0.0000
08600     0.6733      0.8300     0.5236     56.4298   0.0000
08700     0.5428      0.8300     0.5309     60.7203   0.0000
08800     0.5176      0.8300     0.5228     55.6613   0.0000
08900     0.6121      0.8000     0.4821     57.8790   0.0000
09000     0.5646      0.8000     0.4757     55.6109   0.0000
09100     0.4671      0.8800     0.5096     54.6655   0.0000
09200     0.7207      0.7500     0.5109     56.3712   0.0000
09300     0.6490      0.7800     0.5292     54.8281   0.0000
09400     0.4975      0.8400     0.4912     58.1413   0.0000
09500     0.7437      0.8300     0.5316     55.2201   0.0000
09600     0.6112      0.8300     0.5286     54.9610   0.0000
09700     0.5708      0.8100     0.5429     54.7897   0.0000
09800     0.4875      0.8200     0.5252     57.0096   0.0000
09900     0.5968      0.7700     0.5547     57.5232   0.0000
10000     0.5141      0.8400     0.5276     56.2646   0.0000
10100     0.5501      0.8500     0.5329     55.1576   0.0000
10200     0.4660      0.8300     0.5511     55.5076   0.0000
10300     0.6803      0.7400     0.5551     56.6950   0.0000
10400     0.5918      0.8200     0.5511     55.2902   0.0000
10500     0.4541      0.8500     0.5533     55.0600   0.0000
10600     0.5038      0.8200     0.5474     54.8802   0.0000
10700     0.4702      0.8200     0.5430     58.4713   0.0000
10800     0.5878      0.8300     0.5452     59.7377   0.0000
10900     0.4351      0.8900     0.5419     55.5275   0.0000
11000     0.5841      0.8400     0.5553     58.4318   0.0000
11100     0.5816      0.8300     0.5560     57.9545   0.0000
11200     0.5399      0.8300     0.5553     58.5897   0.0000
11300     0.5941      0.8300     0.5441     59.9020   0.0000
11400     0.6309      0.7600     0.5486     56.3757   0.0000
11500     0.5223      0.8000     0.5479     55.6972   0.0000
11600     0.4279      0.8800     0.5599     57.1422   0.0000
11700     0.5690      0.8400     0.5549     54.7321   0.0000
11800     0.5799      0.8100     0.5454     54.7563   0.0000
11900     0.4943      0.8000     0.5308     58.7717   0.0000
