Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.25, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, hidden=111, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, rows_bias=3, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
7b3d97cd-a7fc-44b2-9d62-b43fee265cb2
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     3.1902      0.0527     0.0810     12.0889
00100     1.7486      0.4283     0.4525     73.3492
00200     1.2888      0.5696     0.6149     73.3825
00300     1.1218      0.6350     0.6726     73.8685
00400     1.0582      0.6435     0.7100     73.4966
00500     0.9128      0.7025     0.7413     73.7553
00600     0.6937      0.7658     0.7555     73.1188
00700     0.7615      0.7574     0.7598     72.9255
00800     0.8315      0.7300     0.7796     73.3001
00900     0.7585      0.7553     0.7796     72.4918
01000     0.7780      0.7300     0.7817     73.7206
01100     0.7029      0.7848     0.7944     75.3250
01200     0.7572      0.7321     0.7975     74.1471
01300     0.7165      0.7489     0.8040     74.4059
01400     0.7122      0.7553     0.8040     73.9715
01500     0.6891      0.7764     0.8040     74.4887
01600     0.7306      0.7637     0.8040     73.9995
01700     0.6023      0.7954     0.8040     74.5695
01800     0.6589      0.7932     0.8161     73.7421
01900     0.6890      0.7468     0.8161     75.6009
02000     0.6748      0.7637     0.8161     74.3155
02100     0.7025      0.7574     0.8161     74.6774
02200     0.5700      0.7975     0.8161     74.0795
02300     0.7218      0.7511     0.8161     74.4989
02400     0.6319      0.7954     0.8161     74.4248
02500     0.5676      0.8143     0.8161     74.9272
02600     0.6073      0.7848     0.8161     73.9828
02700     0.5842      0.7975     0.8161     74.6506
02800     0.6469      0.7827     0.8161     74.3583
02900     0.5760      0.8059     0.8161     75.0424
03000     0.5692      0.8165     0.8161     74.1660
03100     0.5667      0.8312     0.8161     74.6078
03200     0.5371      0.8207     0.8238     75.1508
03300     0.6336      0.7616     0.8238     75.6339
03400     0.5394      0.8333     0.8238     74.4440
03500     0.5258      0.8354     0.8238     75.3669
03600     0.6334      0.7911     0.8238     73.9723
03700     0.5967      0.8101     0.8238     74.7638
03800     0.5561      0.8228     0.8238     74.5001
03900     0.5555      0.8312     0.8238     75.8054
04000     0.5089      0.8333     0.8298     74.3015
04100     0.4957      0.8565     0.8298     74.2099
04200     0.5300      0.8122     0.8298     76.0418
04300     0.5447      0.8333     0.8298     76.1143
04400     0.5453      0.8080     0.8298     75.7318
04500     0.5845      0.7954     0.8298     76.3610
04600     0.5603      0.8059     0.8298     74.8237
04700     0.5667      0.8122     0.8298     75.0700
04800     0.6199      0.7869     0.8298     74.3289
04900     0.5541      0.8122     0.8298     74.6653
05000     0.5453      0.8333     0.8298     75.0742
05100     0.4900      0.8481     0.8298     74.5782
05200     0.5873      0.8080     0.8298     74.9529
05300     0.6157      0.7890     0.8298     75.6702
05400     0.5039      0.8333     0.8298     73.6154
05500     0.4957      0.8249     0.8298     73.9525
05600     0.5408      0.8186     0.8298     74.1648
05700     0.5571      0.8101     0.8298     73.5182
05800     0.5187      0.8207     0.8298     73.7544
05900     0.5106      0.8312     0.8298     73.7036
06000     0.4755      0.8439     0.8298     73.7652
06100     0.4621      0.8418     0.8298     76.1067
06200     0.6181      0.7932     0.8298     74.0184
06300     0.4322      0.8565     0.8298     75.3801
06400     0.5461      0.8270     0.8298     74.8560
06500     0.4288      0.8544     0.8298     76.4808
06600     0.5460      0.8354     0.8298     75.7195
06700     0.6465      0.7806     0.8298     75.6309
06800     0.4396      0.8565     0.8298     76.2726
06900     0.5100      0.8439     0.8298     75.4605
07000     0.5081      0.8165     0.8298     75.6329
07100     0.4849      0.8397     0.8298     76.5142
07200     0.4531      0.8544     0.8298     75.3154
07300     0.4551      0.8481     0.8298     75.4748
07400     0.5330      0.8122     0.8298     75.7577
07500     0.5987      0.7954     0.8298     76.6468
07600     0.4528      0.8376     0.8298     76.0864
07700     0.4564      0.8502     0.8298     76.2406
07800     0.4664      0.8586     0.8298     76.4810
07900     0.5171      0.8228     0.8298     76.2804
08000     0.4749      0.8565     0.8298     76.3757
08100     0.5667      0.8207     0.8298     76.5016
08200     0.4849      0.8523     0.8298     74.3346
08300     0.4811      0.8397     0.8298     76.4321
08400     0.5108      0.8270     0.8527     76.8758
08500     0.4936      0.8376     0.8527     75.8460
08600     0.4484      0.8544     0.8527     76.1085
08700     0.4853      0.8418     0.8527     77.3626
08800     0.4238      0.8608     0.8527     76.4773
08900     0.4200      0.8376     0.8527     75.5311
09000     0.4998      0.8376     0.8527     75.8673
09100     0.4459      0.8397     0.8527     76.9018
09200     0.5376      0.8059     0.8527     75.0682
09300     0.5043      0.8312     0.8527     75.6706
09400     0.5087      0.8270     0.8527     75.7138
09500     0.4776      0.8439     0.8527     76.4771
09600     0.4872      0.8270     0.8527     77.0813
09700     0.4039      0.8629     0.8527     76.6511
09800     0.4765      0.8418     0.8527     75.9296
09900     0.4550      0.8312     0.8527     75.6429
10000     0.4547      0.8481     0.8527     76.6619
10100     0.4607      0.8565     0.8527     75.3124
10200     0.4521      0.8523     0.8527     76.5069
10300     0.3639      0.8734     0.8527     76.7037
10400     0.3781      0.8692     0.8527     75.8392
10500     0.4479      0.8460     0.8527     74.4914
10600     0.4340      0.8523     0.8527     75.4761
10700     0.3855      0.8734     0.8527     75.7602
10800     0.3866      0.8650     0.8527     76.6457
10900     0.3719      0.8776     0.8527     76.7603
11000     0.4057      0.8713     0.8527     76.7114
11100     0.4334      0.8565     0.8527     75.9072
11200     0.4188      0.8565     0.8527     75.4378
11300     0.4709      0.8165     0.8527     76.3072
11400     0.4000      0.8671     0.8527     76.3454
11500     0.4006      0.8819     0.8527     75.9992
11600     0.4202      0.8565     0.8527     76.4305
11700     0.4206      0.8565     0.8527     75.1585
11800     0.3231      0.8797     0.8527     75.0483
11900     0.3715      0.8755     0.8527     76.8876
12000     0.4041      0.8629     0.8527     76.3208
12100     0.4135      0.8565     0.8527     75.9681
12200     0.3907      0.8544     0.8527     75.6304
12300     0.4260      0.8629     0.8527     75.5674
12400     0.4721      0.8608     0.8527     76.1783
12500     0.4349      0.8608     0.8527     74.5497
12600     0.3890      0.8586     0.8527     75.6781
12700     0.3559      0.8734     0.8527     76.6078
12800     0.4038      0.8608     0.8527     75.6180
12900     0.3978      0.8776     0.8527     74.9317
13000     0.4064      0.8713     0.8527     76.0193
13100     0.3730      0.8565     0.8527     76.0832
13200     0.3701      0.8861     0.8527     76.0764
13300     0.4344      0.8523     0.8527     76.5512
13400     0.4329      0.8502     0.8527     76.8940
13500     0.3845      0.8861     0.8527     76.3643
13600     0.3592      0.8692     0.8527     76.3781
13700     0.4176      0.8734     0.8527     75.5460
13800     0.4159      0.8608     0.8527     76.8385
13900     0.4193      0.8650     0.8527     74.4547
14000     0.4261      0.8544     0.8527     75.8434
14100     0.5041      0.8354     0.8527     76.4295
14200     0.3291      0.8966     0.8527     76.4425
14300     0.4142      0.8565     0.8527     76.5611
14400     0.3708      0.8903     0.8527     77.0751
14500     0.4191      0.8544     0.8527     76.4762
14600     0.3988      0.8586     0.8527     76.7475
14700     0.4118      0.8671     0.8527     78.8858
14800     0.3880      0.8692     0.8527     79.2088
14900     0.3811      0.8713     0.8527     79.5250
15000     0.3829      0.8650     0.8527     78.3958
15100     0.3691      0.8840     0.8527     78.2330
15200     0.4685      0.8629     0.8527     75.2122
15300     0.4201      0.8629     0.8527     75.2843
15400     0.4438      0.8608     0.8527     75.7043
15500     0.3860      0.8713     0.8527     75.6977
15600     0.4097      0.8586     0.8527     79.5035
