Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.5, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, hidden=111, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, rows_bias=3, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
dccda93a-2d86-4edc-a191-582e07d95445
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     3.2993      0.0527     0.0781     10.3702
00100     1.7646      0.4051     0.4433     54.4434
00200     1.2884      0.5570     0.6071     55.3677
00300     1.0695      0.6266     0.6640     55.8663
00400     1.0062      0.6477     0.7097     55.8941
00500     0.9025      0.6983     0.7485     55.5157
00600     0.7160      0.7405     0.7519     55.6275
00700     0.7369      0.7447     0.7543     56.6750
00800     0.8173      0.7321     0.7782     55.4355
00900     0.6970      0.7363     0.7782     54.2782
01000     0.7579      0.7300     0.7782     55.2026
01100     0.6346      0.7932     0.7912     57.0211
01200     0.7613      0.6941     0.7912     55.3517
01300     0.6807      0.7321     0.7914     56.5597
01400     0.6921      0.7447     0.7979     56.3614
01500     0.6595      0.7764     0.8003     55.1254
01600     0.7127      0.7489     0.8003     55.8241
01700     0.5564      0.7954     0.8023     55.8089
01800     0.5821      0.7890     0.8155     56.2529
01900     0.6480      0.7511     0.8155     55.9543
02000     0.6288      0.7595     0.8155     53.3925
02100     0.6230      0.7911     0.8155     54.5950
02200     0.5375      0.7869     0.8155     53.5691
02300     0.6565      0.7637     0.8155     55.1024
02400     0.5452      0.7932     0.8155     54.9693
02500     0.4896      0.8291     0.8194     54.9017
02600     0.5890      0.7890     0.8194     56.1018
02700     0.5254      0.8038     0.8194     56.0403
02800     0.5625      0.7911     0.8194     56.6492
02900     0.5014      0.8249     0.8194     55.4652
03000     0.5038      0.8207     0.8194     55.5528
03100     0.5401      0.7996     0.8194     55.6896
03200     0.4756      0.8143     0.8214     55.5489
03300     0.5978      0.7743     0.8286     55.0391
03400     0.4818      0.8080     0.8342     56.8075
03500     0.4934      0.8333     0.8342     54.4276
03600     0.5735      0.7932     0.8342     54.4318
03700     0.5330      0.7975     0.8342     55.7910
03800     0.5058      0.8165     0.8342     55.6768
03900     0.4901      0.8291     0.8387     55.3985
04000     0.4781      0.8270     0.8387     55.7902
04100     0.4488      0.8312     0.8387     55.0909
04200     0.4698      0.8333     0.8387     57.0227
04300     0.5077      0.8059     0.8387     56.7726
04400     0.4967      0.8080     0.8387     55.6994
04500     0.5765      0.7932     0.8387     58.1810
04600     0.4665      0.8312     0.8387     55.4577
04700     0.5030      0.8270     0.8387     56.7668
04800     0.5915      0.7932     0.8387     55.6804
04900     0.5209      0.8270     0.8387     57.0904
05000     0.4616      0.8565     0.8387     54.5017
05100     0.4450      0.8249     0.8387     54.9943
05200     0.5131      0.8101     0.8387     56.1868
05300     0.5436      0.7911     0.8387     55.6385
05400     0.5179      0.7954     0.8414     53.6682
05500     0.4536      0.8354     0.8414     55.4960
05600     0.5097      0.8122     0.8414     55.8979
05700     0.4726      0.8249     0.8414     54.6123
05800     0.4740      0.8143     0.8414     57.4467
05900     0.4868      0.8207     0.8414     55.3398
06000     0.4374      0.8460     0.8414     57.6431
06100     0.4144      0.8502     0.8451     55.7396
06200     0.5993      0.7700     0.8451     54.2878
06300     0.3946      0.8418     0.8451     56.5934
06400     0.4403      0.8354     0.8451     55.9913
06500     0.4186      0.8502     0.8475     54.7212
06600     0.4798      0.8122     0.8515     54.2074
06700     0.5994      0.7574     0.8515     55.0074
06800     0.3809      0.8671     0.8515     57.8620
06900     0.4263      0.8544     0.8515     57.3401
07000     0.4681      0.8101     0.8515     55.8119
07100     0.4094      0.8460     0.8515     58.1354
07200     0.4316      0.8270     0.8515     56.9022
07300     0.4390      0.8439     0.8515     56.2289
07400     0.5095      0.8059     0.8515     55.4346
07500     0.5107      0.8122     0.8515     55.6609
07600     0.4061      0.8439     0.8515     54.7423
07700     0.4356      0.8439     0.8515     54.0449
07800     0.4232      0.8333     0.8515     54.9638
07900     0.5147      0.8101     0.8530     54.3838
08000     0.4600      0.8291     0.8530     57.0380
08100     0.5234      0.8101     0.8530     57.0848
08200     0.5066      0.8291     0.8530     56.0595
08300     0.4443      0.8312     0.8530     54.5713
08400     0.4776      0.8249     0.8530     54.7951
08500     0.4716      0.8228     0.8530     54.0729
08600     0.3833      0.8608     0.8530     53.8794
08700     0.4629      0.8376     0.8530     55.2246
08800     0.3395      0.8629     0.8530     55.6927
08900     0.3953      0.8397     0.8530     54.9860
09000     0.4530      0.8228     0.8530     56.5263
09100     0.4055      0.8523     0.8530     56.1011
09200     0.4757      0.8165     0.8530     55.9490
09300     0.4886      0.8249     0.8530     55.5558
09400     0.4559      0.8143     0.8530     55.2597
09500     0.4026      0.8481     0.8530     55.4328
09600     0.4551      0.8312     0.8530     56.0940
09700     0.3214      0.8734     0.8530     56.4724
09800     0.4341      0.8354     0.8530     55.6461
09900     0.3550      0.8692     0.8530     53.9235
10000     0.3478      0.8629     0.8530     54.6066
10100     0.4094      0.8376     0.8530     54.0507
10200     0.4042      0.8502     0.8530     54.5537
10300     0.3430      0.8650     0.8530     55.8873
10400     0.3217      0.8755     0.8530     54.7668
10500     0.4145      0.8629     0.8530     56.6938
10600     0.4038      0.8481     0.8530     55.3167
10700     0.3351      0.8502     0.8530     55.0918
10800     0.3454      0.8713     0.8530     55.8971
10900     0.3274      0.8819     0.8530     56.1994
11000     0.3690      0.8671     0.8530     56.0893
11100     0.3875      0.8565     0.8530     55.6305
11200     0.3346      0.8608     0.8530     53.8515
11300     0.4764      0.8165     0.8530     57.0706
11400     0.3651      0.8608     0.8530     57.5727
11500     0.3740      0.8713     0.8530     56.5631
11600     0.3403      0.8692     0.8530     57.1197
11700     0.3957      0.8523     0.8530     54.4762
11800     0.2409      0.9072     0.8530     56.1740
11900     0.3106      0.8819     0.8530     56.7914
12000     0.3665      0.8650     0.8530     56.5452
12100     0.3655      0.8544     0.8530     57.3743
12200     0.3376      0.8523     0.8530     57.0241
12300     0.4058      0.8418     0.8530     57.2324
12400     0.4255      0.8376     0.8530     55.3378
12500     0.4075      0.8207     0.8530     56.6522
12600     0.3115      0.8861     0.8530     55.8571
12700     0.3366      0.8671     0.8530     55.6617
12800     0.3727      0.8650     0.8530     55.9579
12900     0.3433      0.8692     0.8530     55.2269
13000     0.3320      0.8629     0.8530     55.3604
13100     0.3845      0.8291     0.8530     54.8294
13200     0.3348      0.8755     0.8530     55.4006
13300     0.3410      0.8650     0.8530     57.8782
13400     0.3948      0.8713     0.8530     57.6781
13500     0.3374      0.8797     0.8530     56.1627
13600     0.3170      0.8586     0.8530     56.7984
13700     0.3330      0.8692     0.8530     58.7058
13800     0.3237      0.8734     0.8530     57.5171
13900     0.3694      0.8523     0.8530     54.4265
14000     0.3814      0.8481     0.8530     55.6270
14100     0.4535      0.8460     0.8530     55.4635
14200     0.3000      0.8819     0.8530     54.1624
14300     0.3651      0.8418     0.8530     57.7510
14400     0.3487      0.8565     0.8530     54.8565
14500     0.3789      0.8629     0.8530     55.9793
14600     0.3577      0.8629     0.8530     55.4497
14700     0.3399      0.8734     0.8530     55.2952
