Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.8, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, hidden=111, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=8627169, rows_bias=3, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
605157bc-8e5c-408b-b5f1-9bef822f72b8
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     3.4964      0.0738     0.0802     10.8330
00100     1.5846      0.4578     0.4535     71.9212
00200     1.2431      0.5759     0.6068     74.2280
00300     0.9938      0.6582     0.6544     72.4223
00400     0.8996      0.6709     0.7082     72.0291
00500     0.7350      0.7405     0.7537     72.1790
00600     0.7660      0.7004     0.7607     72.1529
00700     0.7719      0.7173     0.7834     68.8081
00800     0.6847      0.7321     0.7834     67.3940
00900     0.7609      0.7110     0.7834     67.2432
01000     0.5995      0.7637     0.7834     67.3057
01100     0.5508      0.7700     0.7989     67.9816
01200     0.7469      0.7068     0.7989     68.3567
01300     0.6067      0.7700     0.7989     67.6468
01400     0.4828      0.8017     0.8010     67.8623
01500     0.5784      0.7532     0.8010     67.9527
01600     0.5592      0.7553     0.8127     67.7686
01700     0.5509      0.7532     0.8127     68.1133
01800     0.5359      0.7890     0.8155     68.5113
01900     0.6096      0.7489     0.8207     67.6754
02000     0.5967      0.7532     0.8207     67.7279
02100     0.5355      0.7848     0.8207     68.1505
02200     0.5529      0.7658     0.8238     67.4469
02300     0.5496      0.7869     0.8238     67.5917
02400     0.5630      0.7890     0.8238     67.9577
02500     0.5045      0.7785     0.8238     67.7593
02600     0.6194      0.7384     0.8238     68.2436
02700     0.4847      0.7785     0.8292     67.8313
02800     0.5204      0.7869     0.8292     68.1475
02900     0.4153      0.8228     0.8292     68.1833
03000     0.5142      0.7658     0.8323     68.1682
03100     0.4971      0.7996     0.8329     67.7764
03200     0.4965      0.7911     0.8329     68.4092
03300     0.5073      0.7785     0.8356     67.7961
03400     0.5364      0.7827     0.8356     69.0909
03500     0.5093      0.7722     0.8356     68.3074
03600     0.5234      0.7954     0.8356     67.3590
03700     0.4290      0.8080     0.8375     68.1979
03800     0.4087      0.8228     0.8375     67.7062
03900     0.4837      0.7996     0.8375     68.9298
04000     0.4123      0.8186     0.8375     67.9772
04100     0.3631      0.8481     0.8375     67.5875
04200     0.5001      0.7848     0.8418     68.4310
04300     0.4887      0.7827     0.8418     68.2524
04400     0.3788      0.8249     0.8418     67.3496
04500     0.3947      0.8312     0.8418     68.2543
04600     0.4734      0.8143     0.8418     67.1392
04700     0.4436      0.8080     0.8418     67.4339
04800     0.3895      0.8207     0.8418     68.6912
04900     0.4607      0.7975     0.8418     67.4344
05000     0.4462      0.8376     0.8418     68.6316
05100     0.3951      0.8354     0.8418     68.1399
05200     0.3863      0.8418     0.8418     68.6966
05300     0.4719      0.8017     0.8418     68.0764
05400     0.4641      0.7848     0.8418     67.5378
05500     0.3997      0.8312     0.8418     68.2830
05600     0.4473      0.8017     0.8418     68.5809
05700     0.4109      0.8186     0.8418     68.4040
05800     0.4108      0.8228     0.8418     69.0211
05900     0.4119      0.8059     0.8418     68.1353
06000     0.4205      0.8122     0.8420     67.0317
06100     0.3602      0.8481     0.8477     67.8546
06200     0.4885      0.7827     0.8477     67.6830
06300     0.3978      0.8291     0.8477     68.0478
06400     0.4509      0.8080     0.8477     68.0936
06500     0.3635      0.8376     0.8477     68.9662
06600     0.4163      0.8186     0.8477     67.8962
06700     0.3936      0.8186     0.8477     69.1769
06800     0.3270      0.8544     0.8477     68.8899
06900     0.3940      0.8186     0.8477     69.3058
07000     0.4340      0.8249     0.8477     68.7424
07100     0.4115      0.8122     0.8477     68.8375
07200     0.3736      0.8354     0.8477     67.7921
07300     0.3787      0.8312     0.8477     68.7382
07400     0.3923      0.8439     0.8477     68.1220
07500     0.4254      0.8270     0.8477     68.2579
07600     0.3347      0.8502     0.8487     69.3000
07700     0.3856      0.8376     0.8487     68.7914
07800     0.3740      0.8439     0.8487     69.1446
07900     0.3249      0.8650     0.8487     69.3640
08000     0.4408      0.8059     0.8487     68.3079
08100     0.3675      0.8333     0.8487     68.8463
08200     0.4389      0.8333     0.8487     68.0521
08300     0.4191      0.8143     0.8487     68.7677
08400     0.3636      0.8397     0.8487     68.9169
08500     0.3206      0.8460     0.8487     68.0289
08600     0.3775      0.8186     0.8601     68.0391
08700     0.4463      0.7869     0.8601     68.8250
08800     0.3791      0.8291     0.8601     67.8788
08900     0.3827      0.8333     0.8601     68.1330
09000     0.4225      0.8122     0.8601     67.8440
09100     0.4211      0.8418     0.8601     67.8605
09200     0.4010      0.8228     0.8601     68.0591
09300     0.3292      0.8481     0.8601     68.2184
09400     0.3857      0.8249     0.8601     68.0039
09500     0.3891      0.8354     0.8601     68.0996
09600     0.3748      0.8481     0.8601     68.7148
09700     0.3365      0.8565     0.8601     67.9075
09800     0.3431      0.8354     0.8601     67.1876
09900     0.2987      0.8650     0.8601     68.6491
10000     0.2997      0.8608     0.8601     67.5796
10100     0.3229      0.8692     0.8601     68.2487
10200     0.2569      0.8734     0.8601     67.4625
10300     0.2836      0.8734     0.8601     67.7738
10400     0.2972      0.8650     0.8601     67.1156
10500     0.2823      0.8734     0.8601     68.6242
10600     0.3164      0.8734     0.8601     68.1787
10700     0.3752      0.8312     0.8601     68.4537
10800     0.3519      0.8270     0.8601     68.0808
10900     0.2955      0.8734     0.8601     67.3754
11000     0.2645      0.8629     0.8601     68.1873
11100     0.3326      0.8481     0.8601     67.3949
11200     0.2816      0.8755     0.8601     67.9363
11300     0.2644      0.8671     0.8601     67.6734
11400     0.2976      0.8671     0.8601     68.2618
11500     0.3734      0.8397     0.8601     68.5728
11600     0.2780      0.8586     0.8601     68.3593
11700     0.3474      0.8502     0.8601     68.2491
11800     0.3088      0.8608     0.8601     68.2738
11900     0.3246      0.8397     0.8601     68.3628
12000     0.3374      0.8650     0.8601     67.9838
12100     0.3040      0.8523     0.8601     67.9851
12200     0.3127      0.8460     0.8601     68.3282
12300     0.3279      0.8671     0.8601     68.3056
12400     0.2429      0.8819     0.8601     68.1297
12500     0.2887      0.8692     0.8601     67.4010
12600     0.3123      0.8354     0.8601     69.2860
12700     0.3379      0.8460     0.8601     69.5741
12800     0.2962      0.8650     0.8601     68.4438
12900     0.3123      0.8629     0.8601     68.2923
13000     0.2982      0.8502     0.8601     68.5052
13100     0.2712      0.8692     0.8601     68.2137
13200     0.2177      0.8966     0.8601     68.4903
13300     0.2466      0.8797     0.8601     68.5273
13400     0.3791      0.8354     0.8601     68.5679
13500     0.3119      0.8460     0.8601     68.1525
13600     0.2916      0.8523     0.8601     67.9565
13700     0.3200      0.8608     0.8601     68.3497
13800     0.2501      0.8734     0.8601     68.4852
13900     0.3212      0.8586     0.8601     67.4877
14000     0.3133      0.8671     0.8601     67.8588
14100     0.1843      0.8924     0.8601     68.7009
14200     0.3175      0.8544     0.8601     68.5041
14300     0.3192      0.8502     0.8601     68.3856
14400     0.2924      0.8523     0.8601     67.8567
14500     0.2280      0.8734     0.8601     69.0027
14600     0.2508      0.8650     0.8601     68.0091
14700     0.3672      0.8291     0.8601     67.9763
14800     0.2926      0.8608     0.8601     67.4097
14900     0.2610      0.8819     0.8601     67.6777
15000     0.2929      0.8608     0.8601     69.6463
15100     0.3555      0.8502     0.8601     71.8735
15200     0.2834      0.8481     0.8601     70.8911
15300     0.2784      0.8586     0.8601     72.0093
15400     0.3071      0.8713     0.8601     70.7049
15500     0.3085      0.8481     0.8601     71.5484
15600     0.2512      0.8903     0.8601     71.1734
15700     0.2802      0.8755     0.8601     71.0180
15800     0.2981      0.8565     0.8601     71.2221
15900     0.3086      0.8692     0.8601     70.6403
16000     0.3593      0.8439     0.8601     71.2892
16100     0.2533      0.8650     0.8601     71.3361
16200     0.2228      0.8776     0.8601     70.4694
16300     0.2836      0.8671     0.8601     71.1328
16400     0.2930      0.8586     0.8601     70.6137
16500     0.2257      0.9030     0.8601     70.7997
16600     0.2285      0.8861     0.8601     71.0280
16700     0.2290      0.8861     0.8601     70.7978
16800     0.3572      0.8523     0.8601     70.7952
16900     0.2899      0.8629     0.8601     72.2726
17000     0.2593      0.8734     0.8601     72.0031
17100     0.2963      0.8692     0.8601     72.1599
17200     0.3312      0.8523     0.8601     71.4895
17300     0.2720      0.8840     0.8601     71.6255
17400     0.2622      0.8713     0.8601     72.5222
17500     0.2958      0.8565     0.8601     72.7419
17600     0.2963      0.8565     0.8601     71.1106
17700     0.2719      0.8713     0.8601     71.6292
17800     0.3029      0.8734     0.8601     72.0381
17900     0.2712      0.8650     0.8601     72.0388
18000     0.2262      0.8882     0.8601     72.3262
18100     0.2094      0.8987     0.8601     71.4951
18200     0.2297      0.8945     0.8601     71.7217
18300     0.3150      0.8608     0.8601     71.7106
18400     0.2977      0.8586     0.8601     71.3859
18500     0.2063      0.8755     0.8601     71.5105
18600     0.2290      0.8945     0.8601     70.8783
18700     0.2834      0.8629     0.8601     70.6349
18800     0.2589      0.8671     0.8601     70.8965
18900     0.2577      0.8523     0.8601     70.8382
19000     0.2901      0.8523     0.8601     71.2472
19100     0.2818      0.8713     0.8601     71.3493
19200     0.3205      0.8650     0.8601     72.1342
19300     0.3172      0.8650     0.8601     71.5642
19400     0.2726      0.8544     0.8601     71.2272
19500     0.2568      0.8755     0.8601     71.6813
19600     0.3740      0.8439     0.8601     72.9684
19700     0.2518      0.8755     0.8601     71.8428
19800     0.2885      0.8819     0.8601     71.9593
19900     0.3026      0.8565     0.8601     72.4055
20000     0.3028      0.8439     0.8601     72.3187
20100     0.2919      0.8523     0.8601     72.3505
20199     0.2907      0.8671     0.8601     71.2360
Start finetuning with noise:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     0.4746      0.8143     0.7663     9.8090
00100     0.3236      0.8523     0.8710     71.1001
00200     0.3592      0.8333     0.8743     70.9684
00300     0.3263      0.8502     0.8743     71.1025
00400     0.2578      0.8713     0.8743     70.6948
00500     0.2540      0.8819     0.8743     70.5916
00600     0.3504      0.8376     0.8756     71.3132
00700     0.2860      0.8713     0.8758     71.0564
00800     0.2906      0.8544     0.8790     71.4316
00900     0.3101      0.8565     0.8790     71.1432
01000     0.3583      0.8439     0.8790     71.2513
01100     0.2803      0.8650     0.8790     70.8398
01200     0.2633      0.8692     0.8790     70.8561
01300     0.2076      0.8903     0.8790     70.8157
01400     0.2979      0.8692     0.8790     71.8476
01500     0.2643      0.8565     0.8790     70.2527
01600     0.3571      0.8481     0.8790     71.3328
01700     0.2854      0.8776     0.8790     71.3088
01800     0.3086      0.8565     0.8790     71.6058
01900     0.2176      0.8840     0.8790     71.8579
02000     0.2206      0.8882     0.8790     70.9821
02100     0.2760      0.8671     0.8790     71.5764
02200     0.2562      0.8692     0.8790     70.9372
02300     0.2782      0.8502     0.8790     71.0640
02400     0.3000      0.8586     0.8790     71.4446
02500     0.2793      0.8755     0.8790     71.9056
02600     0.2848      0.8650     0.8790     70.9398
02700     0.3052      0.8671     0.8790     71.2828
02800     0.2815      0.8776     0.8790     70.6660
02900     0.2673      0.8650     0.8790     71.3108
03000     0.2547      0.8797     0.8790     71.0585
03100     0.3026      0.8629     0.8793     71.1332
03200     0.2873      0.8734     0.8793     71.1440
03300     0.3135      0.8565     0.8793     70.8363
03400     0.3068      0.8460     0.8793     71.4753
03500     0.2741      0.8671     0.8793     70.5619
03600     0.2796      0.8586     0.8793     71.4160
03700     0.2796      0.8650     0.8793     71.0931
03800     0.3116      0.8439     0.8793     70.8653
03900     0.3212      0.8608     0.8793     71.0038
04000     0.2604      0.8776     0.8793     71.1969
04100     0.2405      0.8608     0.8793     70.7134
04200     0.2939      0.8502     0.8793     71.7204
04300     0.3163      0.8502     0.8809     71.3858
04400     0.2660      0.8734     0.8809     71.3276
04500     0.3295      0.8586     0.8809     72.0412
04600     0.3326      0.8523     0.8809     71.0832
04700     0.3407      0.8608     0.8809     71.8061
04800     0.2930      0.8481     0.8809     72.4804
