Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.9, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, hidden=111, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, rows_bias=3, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
4c06bd7f-e1d3-4634-bd2f-2bd0b70cd07b
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     3.4739      0.0527     0.0817     12.1827
00100     1.7621      0.3987     0.4499     71.5726
00200     1.2230      0.5886     0.6079     72.9667
00300     1.0115      0.6646     0.6593     72.4526
00400     0.9181      0.6603     0.7000     72.8995
00500     0.8072      0.6983     0.7303     73.4395
00600     0.6332      0.7489     0.7485     72.0823
00700     0.6903      0.7236     0.7580     73.4767
00800     0.7335      0.6878     0.7637     72.0127
00900     0.6291      0.7511     0.7700     72.5915
01000     0.6532      0.7363     0.7700     71.9810
01100     0.5743      0.7700     0.7738     72.0406
01200     0.6384      0.7194     0.7813     72.3215
01300     0.5677      0.7511     0.7813     72.5869
01400     0.5954      0.7532     0.7813     73.3959
01500     0.5489      0.7553     0.8021     72.1740
01600     0.6091      0.7722     0.8021     71.1743
01700     0.4613      0.7827     0.8021     72.2750
01800     0.5352      0.7616     0.8051     74.8214
01900     0.5438      0.7595     0.8051     73.7152
02000     0.5685      0.7426     0.8051     72.1644
02100     0.5480      0.7700     0.8051     72.4588
02200     0.4622      0.7743     0.8051     73.3905
02300     0.5913      0.7342     0.8120     72.5892
02400     0.4138      0.8122     0.8137     72.6044
02500     0.4271      0.7975     0.8150     73.3085
02600     0.5293      0.7911     0.8211     74.0722
02700     0.4013      0.8165     0.8211     72.7659
02800     0.4811      0.7975     0.8211     74.1434
02900     0.4418      0.8122     0.8211     73.4076
03000     0.4099      0.8080     0.8211     72.2248
03100     0.4047      0.8143     0.8211     73.5898
03200     0.4044      0.8059     0.8211     72.5693
03300     0.5215      0.7722     0.8262     74.2499
03400     0.4317      0.8101     0.8295     74.6019
03500     0.4294      0.7954     0.8295     73.7527
03600     0.5273      0.7785     0.8295     74.0439
03700     0.4623      0.7996     0.8295     74.0879
03800     0.4312      0.7975     0.8295     73.0663
03900     0.3848      0.8165     0.8295     71.7839
04000     0.3760      0.8122     0.8295     71.8542
04100     0.3634      0.8207     0.8295     75.3989
04200     0.3799      0.8354     0.8295     72.9453
04300     0.4019      0.8122     0.8295     73.2092
04400     0.4694      0.8017     0.8295     74.2215
04500     0.4306      0.7890     0.8295     73.8351
04600     0.4120      0.8165     0.8295     72.7596
04700     0.4284      0.8080     0.8295     74.6492
04800     0.4865      0.7743     0.8295     73.0554
04900     0.4144      0.8080     0.8295     72.1401
05000     0.3873      0.8418     0.8320     73.1644
05100     0.3414      0.8460     0.8320     74.8110
05200     0.4228      0.7996     0.8320     74.3458
05300     0.4546      0.7890     0.8320     73.3171
05400     0.4180      0.8017     0.8320     74.5753
05500     0.3738      0.8228     0.8320     73.9488
05600     0.4094      0.8101     0.8320     74.5973
05700     0.4072      0.8143     0.8320     74.1929
05800     0.3712      0.8270     0.8320     74.3011
05900     0.3924      0.8270     0.8320     73.6307
06000     0.3127      0.8502     0.8320     73.8577
06100     0.3260      0.8481     0.8329     73.3739
06200     0.4967      0.7890     0.8411     72.7701
06300     0.3265      0.8418     0.8411     73.6581
06400     0.4086      0.8186     0.8411     72.6104
06500     0.3182      0.8544     0.8411     74.2162
06600     0.4168      0.8101     0.8411     72.3131
06700     0.5147      0.7679     0.8411     72.4736
06800     0.3066      0.8481     0.8411     74.8948
06900     0.3450      0.8586     0.8411     72.6151
07000     0.3852      0.8186     0.8411     74.0349
07100     0.3842      0.8207     0.8411     73.4403
07200     0.3421      0.8228     0.8411     74.7381
07300     0.3378      0.8481     0.8411     73.7387
07400     0.4144      0.8143     0.8411     73.0536
07500     0.4678      0.7996     0.8411     73.7614
07600     0.3358      0.8249     0.8411     72.1316
07700     0.3239      0.8312     0.8411     72.2160
07800     0.3185      0.8586     0.8411     72.3188
07900     0.4077      0.8101     0.8481     73.1814
08000     0.3564      0.8397     0.8569     73.2282
08100     0.3756      0.8165     0.8569     74.0232
08200     0.3488      0.8502     0.8569     74.5313
08300     0.3461      0.8249     0.8569     74.2873
08400     0.4188      0.8186     0.8569     74.6543
08500     0.3345      0.8291     0.8569     75.5283
08600     0.3194      0.8460     0.8569     74.4072
08700     0.3520      0.8291     0.8569     74.9160
08800     0.2972      0.8544     0.8569     72.7058
08900     0.2567      0.8650     0.8569     74.3542
09000     0.3621      0.8439     0.8569     73.3947
09100     0.3078      0.8502     0.8569     72.7842
09200     0.3852      0.7996     0.8569     74.2070
09300     0.3626      0.8333     0.8569     75.2367
09400     0.3258      0.8291     0.8569     73.6141
09500     0.3734      0.8460     0.8569     73.0009
09600     0.4093      0.8228     0.8569     72.7795
09700     0.2597      0.8629     0.8569     73.1570
09800     0.3217      0.8376     0.8569     73.0523
09900     0.2692      0.8523     0.8569     74.8162
10000     0.2770      0.8671     0.8569     72.5314
10100     0.3343      0.8502     0.8569     73.1168
10200     0.3197      0.8439     0.8569     71.8649
10300     0.2510      0.8650     0.8569     72.5561
10400     0.2451      0.8755     0.8569     75.4468
