Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.9, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, hidden=111, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, rows_bias=3, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
2e7793e3-3b6c-48e3-bd85-27842281bf11
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     3.5457      0.1055     0.0861     10.4163
00100     1.6476      0.4684     0.4592     55.7056
00200     1.2298      0.5612     0.6034     56.0205
00300     1.0259      0.6076     0.6677     55.8533
00400     0.8802      0.6709     0.6973     54.8637
00500     0.8542      0.6519     0.7471     56.0053
00600     0.8052      0.6624     0.7510     55.6636
00700     0.7183      0.7194     0.7557     55.7436
00800     0.5793      0.7827     0.7760     56.0016
00900     0.5944      0.7595     0.7760     55.1998
01000     0.6293      0.7321     0.7760     56.2373
01100     0.5964      0.7553     0.7813     55.8556
01200     0.5434      0.7848     0.7928     55.4469
01300     0.6940      0.7173     0.7928     55.1010
01400     0.5459      0.7658     0.8036     55.4234
01500     0.5987      0.7468     0.8036     54.9767
01600     0.5752      0.7637     0.8153     56.8096
01700     0.5709      0.7658     0.8153     54.7737
01800     0.5156      0.7785     0.8153     54.7864
01900     0.5795      0.7574     0.8153     56.3053
02000     0.4902      0.7911     0.8153     54.8656
02100     0.4636      0.8038     0.8153     56.9866
02200     0.4940      0.8080     0.8153     55.9997
02300     0.4974      0.7827     0.8153     55.2588
02400     0.5054      0.7764     0.8153     56.6523
02500     0.5428      0.7722     0.8157     55.4819
02600     0.5558      0.7700     0.8157     55.3560
02700     0.4375      0.7954     0.8157     55.1162
02800     0.5073      0.7827     0.8171     56.2593
02900     0.4127      0.8122     0.8171     56.2582
03000     0.4330      0.8059     0.8171     54.9944
03100     0.4610      0.7911     0.8171     55.4199
03200     0.4271      0.8101     0.8171     56.0822
03300     0.4140      0.8165     0.8233     54.9908
03400     0.4528      0.8080     0.8277     57.0616
03500     0.4370      0.7996     0.8277     55.4333
03600     0.5130      0.7869     0.8277     57.9317
03700     0.4697      0.7996     0.8277     56.0735
03800     0.4180      0.7911     0.8341     55.8888
03900     0.4468      0.7954     0.8341     56.3550
04000     0.4181      0.8059     0.8341     55.2645
04100     0.3918      0.8249     0.8341     54.6532
04200     0.4803      0.7848     0.8341     56.2372
04300     0.3717      0.8291     0.8341     54.3197
04400     0.4410      0.8249     0.8341     54.8366
04500     0.5271      0.7722     0.8341     55.8546
04600     0.3482      0.8376     0.8341     55.0797
04700     0.4270      0.8059     0.8341     55.3860
04800     0.3801      0.8249     0.8341     55.3669
04900     0.4611      0.7932     0.8341     54.4066
05000     0.3799      0.8228     0.8341     56.3482
05100     0.4132      0.8249     0.8341     56.6416
05200     0.4609      0.7806     0.8352     56.3245
05300     0.4078      0.8312     0.8352     55.0698
05400     0.4249      0.7827     0.8352     55.0367
