Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.9, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, hidden=111, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=8627169, rows_bias=3, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
8b447bc3-19dc-424a-86aa-81fd9a97366a
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     3.5401      0.0738     0.0805     10.5929
00100     1.6115      0.4515     0.4473     73.4482
00200     1.2423      0.5612     0.6171     68.6723
00300     0.9309      0.6878     0.6654     72.3371
00400     0.9082      0.6603     0.6955     71.4919
00500     0.6984      0.7363     0.7532     72.6340
00600     0.7358      0.6920     0.7538     68.3595
00700     0.7591      0.7004     0.7771     66.2225
00800     0.6868      0.7194     0.7771     67.0811
00900     0.7736      0.6688     0.7771     66.3071
01000     0.5652      0.7679     0.7864     68.6136
01100     0.5687      0.7595     0.7864     67.3035
01200     0.7312      0.7152     0.7969     66.2003
01300     0.5767      0.7658     0.7969     66.5859
01400     0.4645      0.7975     0.7969     66.3920
01500     0.5353      0.7595     0.7994     65.7614
01600     0.5205      0.7785     0.8051     66.3278
01700     0.5499      0.7595     0.8083     65.1730
01800     0.4808      0.8017     0.8083     66.0178
01900     0.5703      0.7553     0.8099     67.1575
02000     0.5535      0.7785     0.8105     66.1323
02100     0.4861      0.7890     0.8105     65.2078
02200     0.5510      0.7595     0.8174     65.8741
02300     0.4962      0.7827     0.8174     66.5655
02400     0.4912      0.7785     0.8176     67.6470
02500     0.4831      0.7785     0.8200     67.8127
02600     0.5926      0.7595     0.8200     67.2850
02700     0.4641      0.7827     0.8225     65.4845
02800     0.4960      0.8017     0.8275     65.5206
02900     0.4180      0.8059     0.8275     67.0704
03000     0.5232      0.7574     0.8318     66.3978
03100     0.4588      0.7954     0.8318     66.5320
03200     0.4489      0.7975     0.8318     66.4625
03300     0.4718      0.7890     0.8330     66.5096
03400     0.5026      0.7722     0.8353     68.1636
03500     0.5274      0.7532     0.8353     69.4227
03600     0.5115      0.7827     0.8353     69.2513
03700     0.3734      0.8165     0.8391     69.3141
03800     0.4088      0.7975     0.8391     65.1903
03900     0.4813      0.7932     0.8391     65.5479
04000     0.4072      0.8059     0.8391     65.2223
04100     0.3466      0.8143     0.8391     65.7442
04200     0.4528      0.7890     0.8391     66.6504
04300     0.4667      0.8017     0.8391     66.4708
04400     0.3623      0.8270     0.8391     66.9045
04500     0.4344      0.7954     0.8391     65.7014
04600     0.4421      0.8059     0.8391     64.7170
04700     0.4691      0.7764     0.8440     66.8274
04800     0.3407      0.8291     0.8440     67.0960
04900     0.4143      0.8165     0.8440     65.1897
05000     0.4201      0.8080     0.8440     65.6780
05100     0.4182      0.8059     0.8440     67.7676
05200     0.3891      0.8143     0.8440     64.8725
05300     0.4162      0.8249     0.8461     66.6012
05400     0.4265      0.8165     0.8461     65.8544
05500     0.3513      0.8354     0.8461     65.7061
05600     0.3739      0.8333     0.8461     65.5779
05700     0.3579      0.8228     0.8461     65.1377
05800     0.3612      0.8354     0.8533     64.8930
05900     0.4008      0.8038     0.8533     66.6466
06000     0.3670      0.8165     0.8533     68.5128
06100     0.3683      0.8333     0.8533     66.0281
06200     0.4411      0.7869     0.8533     69.1462
06300     0.3236      0.8460     0.8533     64.8565
06400     0.4281      0.8228     0.8533     65.9346
06500     0.3422      0.8333     0.8533     65.3172
06600     0.3995      0.8207     0.8533     65.7788
06700     0.4183      0.8059     0.8533     65.8370
06800     0.3372      0.8376     0.8533     66.2525
06900     0.3605      0.8376     0.8533     66.5090
07000     0.4201      0.8080     0.8533     65.4425
07100     0.3943      0.8270     0.8533     65.2492
07200     0.3740      0.8207     0.8533     65.0862
07300     0.3167      0.8565     0.8533     65.0404
07400     0.4098      0.8249     0.8533     65.9915
07500     0.4357      0.8186     0.8533     66.0041
