Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(batch_size=512, cy_scale=7, dataloader_num_workers=4, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', epochs=20000, global_beta=1.5, hidden=200, hop_length=320, init_factor=2, learning_rate=0.0005, lr_divide=10000, n_mfcc=40, noise_injection=0.1, quant_act=32, quant_inp=32, quant_w=None, sample_rate=16000, std_scale=2, testing_percentage=10, validation_percentage=10, validation_size=1000, win_length=400, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
11bef107-a6df-4548-9e91-c48276aaf211
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.4914      0.0879     0.1060     0.2300
00100     2.4353      0.1621     0.1660     0.1576
00200     2.3334      0.2090     0.2370     0.1563
00300     2.2936      0.2070     0.2620     0.1556
00400     2.2583      0.2070     0.2620     0.1552
00500     2.2697      0.1855     0.2620     0.1578
00600     2.2812      0.2227     0.2620     0.1549
00700     2.4900      0.1387     0.2620     0.1575
00800     2.4047      0.1816     0.2620     0.1554
00900     2.3692      0.1855     0.2620     0.1597
01000     2.3194      0.2285     0.2620     0.1532
01100     2.2923      0.1758     0.2650     0.1503
01200     2.4849      0.1484     0.2770     0.1553
01300     2.4958      0.1211     0.2770     0.1562
01400     2.3698      0.1914     0.2770     0.1543
01500     2.3140      0.2266     0.2770     0.1586
01600     2.2757      0.2773     0.2910     0.1552
01700     2.2892      0.2168     0.2980     0.1553
01800     2.2211      0.2559     0.3020     0.1537
01900     2.3954      0.1914     0.3120     0.1541
02000     2.1697      0.2637     0.3440     0.1551
02100     2.2077      0.2617     0.3440     0.1542
02200     2.1882      0.2832     0.3440     0.1583
02300     2.1633      0.2812     0.3440     0.1491
02400     2.1767      0.2910     0.3440     0.1596
02500     2.2261      0.2305     0.3440     0.1539
02600     2.1725      0.2676     0.3440     0.1566
02700     2.1500      0.2715     0.3440     0.1779
02800     2.1433      0.2871     0.3440     0.1526
02900     2.1187      0.2852     0.3440     0.1500
03000     2.1312      0.2754     0.3480     0.1542
03100     2.1219      0.2793     0.3480     0.1551
03200     2.1186      0.2773     0.3480     0.1571
03300     2.1115      0.3027     0.3480     0.1600
03400     2.0853      0.3320     0.3530     0.1557
03500     2.0928      0.3125     0.3580     0.1530
03600     2.0747      0.3105     0.3580     0.1566
03700     2.0760      0.2637     0.3600     0.1554
03800     2.0682      0.3203     0.3600     0.1532
03900     2.0663      0.2871     0.3600     0.1521
04000     2.0468      0.3359     0.3600     0.1544
04100     2.0530      0.3535     0.3600     0.1552
04200     2.0346      0.3301     0.3600     0.1527
04300     2.0674      0.3145     0.3600     0.1568
04400     2.0682      0.3164     0.3650     0.1517
04500     2.0506      0.3066     0.3650     0.1535
04600     2.0362      0.3398     0.3650     0.1533
04700     2.0043      0.3418     0.3850     0.1499
04800     2.0125      0.3398     0.3850     0.1693
04900     2.0288      0.3750     0.3850     0.1509
05000     2.0143      0.3281     0.3850     0.1567
05100     2.0593      0.2832     0.3880     0.1478
05200     2.0195      0.3086     0.3900     0.1480
05300     2.0230      0.3359     0.3900     0.1546
05400     2.0099      0.3340     0.3900     0.1554
05500     2.0208      0.3438     0.3900     0.1551
05600     2.0270      0.3477     0.3900     0.1488
05700     2.0035      0.3438     0.3920     0.1582
05800     1.9966      0.3730     0.3920     0.1538
05900     2.0138      0.3594     0.3970     0.1559
06000     2.0305      0.2891     0.3970     0.1547
06100     2.0115      0.3340     0.4050     0.1569
06200     1.9817      0.3105     0.4050     0.1555
06300     1.9838      0.3438     0.4090     0.1542
06400     1.9678      0.4121     0.4110     0.1544
06500     1.9725      0.3711     0.4270     0.1545
06600     1.9637      0.4023     0.4270     0.1452
06700     1.9840      0.3594     0.4270     0.1545
06800     2.2038      0.2148     0.4270     0.1603
06900     2.0449      0.2949     0.4270     0.1523
07000     2.1332      0.2656     0.4270     0.1594
07100     2.1149      0.3340     0.4270     0.1545
07200     2.0343      0.3145     0.4270     0.1535
07300     1.9999      0.3438     0.4270     0.1601
07400     2.1013      0.2949     0.4270     0.1545
07500     2.0078      0.3105     0.4270     0.1571
07600     2.1990      0.2676     0.4270     0.1477
07700     2.0382      0.3438     0.4270     0.1584
07800     1.9916      0.3613     0.4270     0.1539
07900     2.0092      0.3457     0.4270     0.1583
08000     2.0893      0.2773     0.4270     0.1597
08100     2.0184      0.3203     0.4270     0.1577
08200     2.0309      0.3477     0.4270     0.1532
08300     2.0257      0.3340     0.4270     0.1473
08400     2.0184      0.3809     0.4270     0.1454
08500     2.0247      0.3770     0.4270     0.1547
08600     2.0147      0.2871     0.4270     0.1883
08700     1.9901      0.3652     0.4270     0.1536
08800     2.0120      0.3438     0.4270     0.1525
08900     2.0087      0.3477     0.4270     0.1559
09000     2.2001      0.2422     0.4270     0.1557
09100     1.9944      0.3242     0.4270     0.1601
09200     1.9981      0.3242     0.4270     0.1551
09300     2.0020      0.3047     0.4270     0.1579
09400     2.0049      0.3359     0.4270     0.1571
09500     2.0170      0.3398     0.4270     0.1564
09600     2.0058      0.3594     0.4270     0.1544
09700     1.9962      0.3047     0.4270     0.1521
09800     1.9779      0.3711     0.4270     0.1469
09900     1.9787      0.3770     0.4270     0.1540
10000     1.9864      0.3730     0.4330     0.1552
10100     1.9818      0.4297     0.4470     0.1521
10200     1.9774      0.3828     0.4470     0.1575
10300     1.9544      0.4004     0.4470     0.1817
10400     1.9757      0.3516     0.4470     0.1546
10500     1.9751      0.3516     0.4470     0.1548
10600     1.9659      0.3750     0.4470     0.1569
10700     1.9703      0.3945     0.4470     0.1545
10800     1.9673      0.3984     0.4470     0.1534
10900     1.9429      0.3887     0.4470     0.1549
11000     1.9740      0.3672     0.4470     0.1538
11100     1.9438      0.3770     0.4470     0.1496
11200     1.9437      0.3965     0.4470     0.1544
11300     1.9704      0.3672     0.4470     0.1559
11400     1.9459      0.4160     0.4470     0.1587
11500     1.9367      0.3828     0.4470     0.1805
11600     1.9642      0.3633     0.4470     0.1531
11700     1.9299      0.4043     0.4470     0.1505
11800     1.9548      0.3613     0.4470     0.1528
11900     1.9576      0.3555     0.4470     0.1498
12000     1.9320      0.3984     0.4470     0.1453
12100     1.9368      0.3945     0.4470     0.1552
12200     1.9558      0.4102     0.4710     0.1529
12300     1.9404      0.3887     0.4710     0.1826
12400     1.9473      0.3750     0.4710     0.1524
12500     1.9207      0.3887     0.4710     0.1563
12600     1.9360      0.3848     0.4710     0.1539
12700     1.9560      0.3809     0.4710     0.1561
12800     1.9245      0.4473     0.4710     0.1538
12900     1.9693      0.4277     0.4710     0.1578
13000     1.9201      0.4590     0.4710     0.1520
13100     1.9237      0.4512     0.4810     0.1509
13200     1.9081      0.4473     0.4810     0.1506
13300     1.9197      0.4863     0.4810     0.1579
13400     1.9151      0.4941     0.4940     0.1535
13500     1.9179      0.4629     0.5240     0.1580
13600     1.9088      0.4766     0.5240     0.1583
13700     1.9187      0.4375     0.5240     0.1592
13800     1.9383      0.4531     0.5240     0.1510
13900     1.9403      0.4434     0.5240     0.1541
14000     1.9409      0.4336     0.5240     0.1534
14100     1.8941      0.5039     0.5240     0.1565
14200     1.9199      0.4902     0.5240     0.1547
14300     1.9039      0.4492     0.5240     0.1542
14400     1.9051      0.4785     0.5240     0.1525
14500     1.9089      0.4355     0.5240     0.1554
14600     1.8924      0.4258     0.5240     0.1461
14700     1.9063      0.4434     0.5240     0.1536
14800     1.9131      0.4395     0.5240     0.1536
14900     1.9019      0.4375     0.5240     0.1542
15000     1.9343      0.4531     0.5240     0.1578
15100     1.8931      0.5000     0.5240     0.1513
15200     1.9108      0.4277     0.5240     0.1564
15300     1.9009      0.4688     0.5240     0.1510
15400     1.8787      0.4297     0.5240     0.1615
15500     1.9094      0.4082     0.5240     0.1505
15600     1.8645      0.4805     0.5240     0.1599
15700     1.8951      0.4609     0.5240     0.1549
15800     1.9130      0.4160     0.5240     0.1548
15900     1.9059      0.4043     0.5240     0.1591
16000     1.8901      0.4453     0.5240     0.1519
16100     1.9298      0.4043     0.5240     0.1556
16200     1.8930      0.4062     0.5240     0.1541
16300     1.9132      0.3652     0.5240     0.1556
16400     1.8917      0.4160     0.5240     0.1543
16500     1.8833      0.3965     0.5240     0.1611
16600     1.8865      0.4141     0.5240     0.1554
16700     1.8848      0.4336     0.5240     0.1547
16800     1.8836      0.4102     0.5240     0.1575
16900     1.8714      0.4160     0.5240     0.1543
17000     1.9111      0.4199     0.5240     0.1571
17100     1.8862      0.4551     0.5240     1.2917
