Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=1.0, method=0, n_mfcc=40, n_msb=1, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=6, quant_inp=6, quant_w=6, random_seed=235899598, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
ccff6de9-92ff-4701-b7e8-e61f237c8b1e
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.8725      0.0612     0.0731     10.9109
00100     1.8975      0.3819     0.1002     76.2476
00200     1.4148      0.5612     0.1002     75.2156
00300     1.0868      0.6519     0.1162     75.5159
00400     0.9627      0.7321     0.1162     75.1175
00500     0.8053      0.7511     0.1162     74.7830
00600     0.8229      0.7532     0.1162     73.0925
00700     0.6980      0.7869     0.1162     73.4266
00800     0.7518      0.7637     0.1162     75.0888
00900     0.6471      0.8207     0.1162     73.8624
01000     0.6026      0.8312     0.1162     74.1647
01100     0.5909      0.8165     0.1162     74.4679
01200     0.5724      0.8291     0.1162     72.9217
01300     0.6496      0.8038     0.1162     73.0654
01400     0.5009      0.8608     0.1162     73.6432
01500     0.5232      0.8523     0.1162     74.0192
01600     0.5784      0.8291     0.1162     72.3077
01700     0.4855      0.8671     0.1162     72.5043
01800     0.5221      0.8608     0.1162     75.2159
01900     0.5637      0.8312     0.1165     74.8213
02000     0.5240      0.8397     0.1165     75.4720
02100     0.5080      0.8713     0.1165     75.0592
02200     0.5365      0.8608     0.1167     74.3411
02300     0.5714      0.8228     0.1187     74.1077
02400     0.4911      0.8692     0.1323     75.7488
02500     0.4792      0.8776     0.1323     75.4743
02600     0.4748      0.8608     0.1323     73.8416
02700     0.3963      0.9030     0.1323     73.0314
02800     0.4562      0.8755     0.1323     75.0155
02900     0.4179      0.8924     0.1323     76.0116
03000     0.4620      0.8692     0.1323     74.7040
03100     0.4673      0.8819     0.1323     74.3615
03200     0.4197      0.8713     0.1335     75.9954
03300     0.4569      0.8861     0.1335     74.4266
03400     0.5084      0.8586     0.1335     74.6860
03500     0.4477      0.8797     0.1439     74.9536
03600     0.4272      0.8882     0.1439     74.8474
03700     0.4721      0.8629     0.1439     77.0310
03800     0.3830      0.8882     0.1458     76.6422
03900     0.4616      0.8734     0.1458     74.9157
04000     0.3863      0.8945     0.1458     75.1835
04100     0.3801      0.8903     0.1458     75.9833
04200     0.4044      0.8945     0.1458     74.8781
04300     0.4952      0.8565     0.1529     74.6607
04400     0.3980      0.8840     0.1566     74.1307
04500     0.3571      0.9008     0.1566     74.8189
04600     0.4238      0.8840     0.1566     75.5158
04700     0.3633      0.8945     0.1566     74.3652
04800     0.4697      0.8544     0.1566     74.1540
04900     0.4556      0.8819     0.1566     74.9323
05000     0.4592      0.8776     0.1566     72.7720
05100     0.4214      0.8924     0.1566     76.1078
05200     0.3779      0.9008     0.1566     75.1499
05300     0.4046      0.8987     0.1566     75.4286
05400     0.3929      0.9008     0.1566     74.8221
05500     0.3918      0.8924     0.1566     74.7822
05600     0.3579      0.9072     0.1614     74.2192
05700     0.3941      0.8840     0.1614     73.9075
05800     0.3256      0.9198     0.1614     75.6937
05900     0.3852      0.8945     0.1614     73.9230
06000     0.3831      0.8903     0.1614     74.5660
06100     0.4132      0.8945     0.1614     75.7904
06200     0.3723      0.9072     0.1656     75.6630
06300     0.3492      0.8924     0.1700     74.0564
06400     0.3275      0.9093     0.1723     75.1941
06500     0.4161      0.8966     0.1723     74.9077
06600     0.3645      0.9093     0.1914     76.2290
06700     0.4137      0.8924     0.1914     76.8535
06800     0.4005      0.9030     0.1914     76.4797
