Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=1.0, method=0, n_mfcc=40, n_msb=3, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=6, quant_inp=6, quant_w=6, random_seed=8627169, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
347d067c-082d-49c4-8c90-048f2ddf7288
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.9014      0.0865     0.0811     11.1951
00100     1.7141      0.4430     0.0835     77.1363
00200     1.1087      0.6688     0.1238     76.2263
00300     0.8914      0.7321     0.1238     77.5427
00400     0.7508      0.7722     0.1238     76.3046
00500     0.6613      0.7996     0.1238     75.4668
00600     0.5622      0.8249     0.1238     76.7931
00700     0.5750      0.8101     0.1238     75.9881
00800     0.5632      0.8270     0.1252     76.2363
00900     0.5489      0.8291     0.1252     76.0481
01000     0.4318      0.8565     0.1252     75.1309
01100     0.4402      0.8692     0.1252     75.6394
01200     0.4177      0.8797     0.1252     75.6659
01300     0.5298      0.8418     0.1252     76.3711
01400     0.4545      0.8586     0.1252     75.3965
01500     0.4068      0.8861     0.1252     76.0062
01600     0.5157      0.8354     0.1252     75.0366
01700     0.4382      0.8713     0.1252     76.1702
01800     0.3742      0.8882     0.1252     76.1419
01900     0.3655      0.8882     0.1252     75.6535
02000     0.2989      0.9156     0.1252     75.9772
02100     0.4457      0.8692     0.1283     77.1480
02200     0.3826      0.8966     0.1283     76.1689
02300     0.3243      0.9177     0.1283     76.1773
02400     0.3589      0.9030     0.1283     75.6159
02500     0.3599      0.9008     0.1283     76.8459
02600     0.3367      0.9008     0.1283     75.9888
02700     0.3297      0.9093     0.1283     75.5388
02800     0.3262      0.9008     0.1283     76.1974
02900     0.3673      0.8903     0.1283     78.6293
03000     0.3354      0.9030     0.1283     76.0890
03100     0.3841      0.9051     0.1283     77.0777
03200     0.4021      0.9072     0.1347     77.6218
03300     0.3123      0.9093     0.1347     77.8681
03400     0.3939      0.8945     0.1347     76.3745
03500     0.3533      0.8966     0.1347     75.9366
03600     0.3075      0.9198     0.1347     77.2532
03700     0.3244      0.9030     0.1347     75.3362
03800     0.2986      0.9093     0.1347     76.6933
03900     0.3018      0.9008     0.1347     76.0534
04000     0.3014      0.9198     0.1347     79.1027
04100     0.2601      0.9219     0.1347     75.6896
04200     0.2683      0.9156     0.1435     76.0903
04300     0.3237      0.9177     0.1435     77.0618
04400     0.2773      0.9304     0.1435     75.9176
04500     0.3083      0.9051     0.1435     75.1959
04600     0.3484      0.9072     0.1435     76.9287
04700     0.2531      0.9241     0.1435     77.1171
04800     0.2600      0.9262     0.1490     78.6171
04900     0.2555      0.9304     0.1490     76.6056
05000     0.3628      0.8945     0.1490     76.9813
05100     0.2942      0.9156     0.1611     77.5269
05200     0.3208      0.9093     0.1611     76.4827
05300     0.2974      0.9241     0.1611     76.1076
05400     0.2517      0.9283     0.1611     76.4405
05500     0.2648      0.9325     0.1611     76.4626
05600     0.2463      0.9346     0.1645     76.4619
05700     0.2407      0.9325     0.1663     76.4257
05800     0.3339      0.9008     0.1663     75.9462
05900     0.3225      0.9219     0.1663     77.3484
06000     0.2376      0.9346     0.1663     76.7759
06100     0.2700      0.9219     0.1663     76.1818
06200     0.2533      0.9156     0.1711     77.1415
06300     0.2926      0.9156     0.1711     77.6047
06400     0.3078      0.8966     0.1711     76.0563
06500     0.2931      0.9135     0.1781     76.4815
06600     0.2487      0.9283     0.1818     78.2351
06700     0.2310      0.9304     0.1818     76.8037
06800     0.2672      0.9346     0.1818     76.2182
06900     0.3123      0.9177     0.1874     76.7191
07000     0.2846      0.9177     0.1874     76.7679
07100     0.2716      0.9283     0.1914     76.5114
07200     0.2649      0.9430     0.1914     77.0432
07300     0.2560      0.9283     0.1914     76.8779
07400     0.2618      0.9262     0.1950     75.3145
07500     0.3282      0.9008     0.1950     77.0736
