Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=1.0, method=0, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=6, quant_inp=6, quant_w=6, random_seed=8627169, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
54a26c3d-e7e6-4823-a744-96021efb94cb
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.8981      0.0612     0.0847     10.4740
00100     1.6358      0.4747     0.1110     66.7332
00200     1.0819      0.6540     0.1110     67.1665
00300     0.7970      0.7489     0.1110     67.8120
00400     0.8231      0.7532     0.1110     67.5369
00500     0.7568      0.7574     0.1110     67.1147
00600     0.6895      0.7785     0.1110     68.3139
00700     0.5582      0.8354     0.1205     67.5829
00800     0.4788      0.8713     0.1205     68.3124
00900     0.5139      0.8354     0.1205     67.6031
01000     0.4779      0.8692     0.1205     67.9394
01100     0.4934      0.8439     0.1205     67.7825
01200     0.4442      0.8523     0.1205     67.8614
01300     0.4492      0.8671     0.1205     66.9857
01400     0.3700      0.8987     0.1257     67.1856
01500     0.3448      0.9008     0.1257     66.4649
01600     0.3306      0.9093     0.1257     67.3409
01700     0.3863      0.8819     0.1257     67.1436
01800     0.4690      0.8650     0.1333     67.2622
01900     0.3638      0.8840     0.1333     67.8037
02000     0.3882      0.8966     0.1333     68.1694
02100     0.4020      0.8734     0.1333     67.5696
02200     0.4052      0.8776     0.1333     67.1088
02300     0.3850      0.8840     0.1333     67.4247
02400     0.3155      0.9135     0.1333     66.9613
02500     0.2970      0.9135     0.1333     66.7642
02600     0.3800      0.8840     0.1333     67.5808
02700     0.4429      0.8713     0.1333     67.4108
02800     0.2982      0.9241     0.1333     67.2351
02900     0.3836      0.8903     0.1333     67.2744
03000     0.3227      0.9030     0.1333     67.6449
03100     0.2107      0.9430     0.1333     67.5192
03200     0.2952      0.9198     0.1333     67.2722
03300     0.4073      0.8840     0.1333     67.1611
03400     0.3279      0.8987     0.1366     67.3519
03500     0.2803      0.9304     0.1366     67.8945
03600     0.2376      0.9367     0.1375     67.1934
03700     0.3160      0.9072     0.1375     67.1372
03800     0.2812      0.9135     0.1375     67.6562
03900     0.2711      0.9241     0.1437     67.6176
04000     0.2732      0.9241     0.1524     68.0171
04100     0.2345      0.9346     0.1524     66.7176
04200     0.3530      0.8966     0.1524     67.7197
04300     0.2659      0.9283     0.1524     67.2488
04400     0.2597      0.9346     0.1524     67.8955
04500     0.2537      0.9283     0.1590     67.5419
04600     0.2515      0.9346     0.1590     68.9698
04700     0.2418      0.9304     0.1597     67.4587
04800     0.2658      0.9241     0.1597     68.1024
04900     0.2333      0.9409     0.1597     67.8004
05000     0.2486      0.9219     0.1597     67.2805
05100     0.1757      0.9557     0.1601     67.0052
05200     0.2818      0.9241     0.1638     67.0555
05300     0.2015      0.9409     0.1638     66.7641
05400     0.2730      0.9430     0.1638     67.4219
05500     0.2020      0.9409     0.1726     66.9881
05600     0.2638      0.9346     0.1726     67.7209
05700     0.2761      0.9262     0.1726     67.7749
05800     0.2433      0.9241     0.1726     67.3190
05900     0.2595      0.9325     0.1726     67.5706
06000     0.2441      0.9430     0.1726     66.7711
06100     0.3004      0.9093     0.1726     67.2666
06200     0.2153      0.9430     0.1834     67.2392
06300     0.1756      0.9430     0.1834     67.3273
06400     0.2472      0.9325     0.1834     67.3146
06500     0.2815      0.9177     0.1852     67.5336
06600     0.1679      0.9578     0.1886     67.4145
06700     0.1846      0.9515     0.1886     67.4434
06800     0.2746      0.9241     0.1886     66.9137
06900     0.2098      0.9388     0.1886     67.7238
07000     0.2107      0.9430     0.1890     67.8234
