Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=1.0, method=1, n_mfcc=40, n_msb=3, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=6, quant_inp=6, quant_w=6, random_seed=8627169, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
e797f9a5-20d0-42a3-ba35-fe2ec929b026
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     3.2534      0.0907     0.0822     11.2665
00100     1.7336      0.4030     0.1091     76.8874
00200     1.2220      0.5717     0.1091     76.0831
00300     0.9923      0.6920     0.1091     75.3532
00400     0.7498      0.7447     0.1091     75.1905
00500     0.7014      0.7616     0.1091     75.1878
00600     0.6615      0.7764     0.1091     74.3084
00700     0.6608      0.7996     0.1091     76.4194
00800     0.4920      0.8186     0.1091     75.9299
00900     0.5039      0.8228     0.1091     75.8015
01000     0.5274      0.8249     0.1091     75.9291
01100     0.5115      0.8439     0.1091     76.4934
01200     0.5727      0.8312     0.1091     76.3290
01300     0.4717      0.8460     0.1091     75.4151
01400     0.5402      0.8122     0.1091     76.0671
01500     0.4300      0.8713     0.1091     75.2940
01600     0.4458      0.8734     0.1091     76.3893
01700     0.4270      0.8586     0.1091     75.9763
01800     0.3888      0.8608     0.1091     75.1994
01900     0.3516      0.8924     0.1181     75.3676
02000     0.3830      0.8924     0.1181     75.6181
02100     0.4643      0.8692     0.1181     75.3313
02200     0.3456      0.8882     0.1181     75.2361
02300     0.4970      0.8481     0.1181     75.5081
02400     0.3389      0.9030     0.1181     75.1654
02500     0.3742      0.8903     0.1181     74.8207
02600     0.3343      0.9030     0.1181     75.0084
02700     0.3042      0.8966     0.1181     75.5335
02800     0.3454      0.9051     0.1181     74.7322
02900     0.3223      0.8966     0.1181     75.2720
03000     0.3258      0.9030     0.1181     75.5120
03100     0.3057      0.8987     0.1181     75.6682
03200     0.3138      0.9072     0.1181     75.1707
03300     0.3918      0.8882     0.1181     75.1623
03400     0.3763      0.8776     0.1192     75.5859
03500     0.3183      0.8861     0.1192     75.4644
