Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=1.0, method=1, n_mfcc=40, n_msb=7, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=6, quant_inp=6, quant_w=6, random_seed=193012823, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
8472f774-f305-490b-9429-25bf901879c0
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     3.6936      0.0612     0.0760     9.9603
00100     1.8256      0.4135     0.0854     58.7774
00200     1.3574      0.5127     0.0942     58.7991
00300     1.0319      0.6392     0.0942     59.0263
00400     0.8624      0.6962     0.0942     58.8693
00500     0.9435      0.7046     0.0944     59.6247
00600     0.7590      0.7932     0.0979     59.6027
00700     0.8026      0.7194     0.0979     58.9974
00800     0.6461      0.7848     0.0979     59.1530
00900     0.5426      0.8143     0.1023     59.1853
01000     0.6794      0.7869     0.1031     58.9675
01100     0.4951      0.8502     0.1031     58.9895
01200     0.5866      0.7975     0.1031     58.5501
01300     0.5688      0.7869     0.1031     58.7172
01400     0.5838      0.8186     0.1031     59.1512
01500     0.5316      0.8333     0.1031     58.6594
01600     0.5542      0.8038     0.1031     59.0287
01700     0.4316      0.8523     0.1031     58.9499
01800     0.4779      0.8565     0.1031     58.7810
01900     0.4209      0.8776     0.1031     60.0323
02000     0.4076      0.8418     0.1139     59.5385
02100     0.3928      0.8713     0.1139     58.5347
02200     0.4243      0.8629     0.1139     59.4588
02300     0.4511      0.8481     0.1139     58.4763
02400     0.3222      0.8776     0.1139     59.5106
02500     0.3856      0.8945     0.1139     58.8939
02600     0.3619      0.8671     0.1139     58.6898
02700     0.4039      0.8882     0.1139     59.0648
02800     0.2852      0.8924     0.1139     59.1695
02900     0.4365      0.8565     0.1139     59.0085
03000     0.3650      0.8713     0.1139     60.8443
03100     0.3635      0.8713     0.1139     59.9075
03200     0.3456      0.8713     0.1163     61.1216
03300     0.2926      0.9072     0.1163     61.2463
03400     0.3501      0.8924     0.1169     60.4177
03500     0.3508      0.8924     0.1169     60.0433
03600     0.2675      0.9093     0.1169     60.4704
03700     0.3428      0.9030     0.1169     60.3632
03800     0.3359      0.8945     0.1177     59.3998
03900     0.3870      0.8755     0.1183     59.0342
04000     0.2713      0.9093     0.1212     59.0036
04100     0.2963      0.9051     0.1212     58.4433
04200     0.4269      0.8797     0.1212     58.6633
04300     0.2570      0.9135     0.1269     59.2000
04400     0.3376      0.8755     0.1269     58.7127
04500     0.2608      0.9219     0.1293     60.2595
04600     0.2974      0.8882     0.1310     60.4322
04700     0.3072      0.8882     0.1310     59.4989
04800     0.3177      0.8882     0.1310     60.4985
04900     0.3322      0.8924     0.1339     59.6668
05000     0.3069      0.8797     0.1339     60.2103
05100     0.3107      0.8903     0.1378     60.5827
05200     0.3182      0.8924     0.1378     60.0986
05300     0.2879      0.9051     0.1397     60.3656
05400     0.3019      0.8924     0.1397     60.4006
05500     0.2915      0.9030     0.1397     60.5473
05600     0.2539      0.9177     0.1397     60.7399
05700     0.2392      0.9219     0.1397     60.4107
05800     0.2536      0.9198     0.1449     60.6694
05900     0.2181      0.9262     0.1449     61.0925
06000     0.2508      0.9093     0.1509     60.8083
06100     0.2542      0.9135     0.1509     59.7658
06200     0.2943      0.9135     0.1509     60.5389
06300     0.2034      0.9072     0.1509     60.2528
06400     0.2475      0.9156     0.1509     60.2361
06500     0.3272      0.8819     0.1509     60.4919
06600     0.2379      0.9262     0.1524     60.2006
06700     0.2417      0.9114     0.1524     59.6672
06800     0.2044      0.9430     0.1568     59.7313
06900     0.2547      0.9262     0.1568     58.9986
07000     0.2345      0.9262     0.1568     60.4648
07100     0.2879      0.9030     0.1599     59.8475
07200     0.2150      0.9388     0.1599     60.6960
07300     0.1907      0.8966     0.1650     59.6797
07400     0.3073      0.9030     0.1650     61.5734
07500     0.2280      0.9367     0.1674     60.6849
07600     0.2692      0.9156     0.1681     61.1874
07700     0.2484      0.9219     0.1681     60.5050
07800     0.1856      0.9283     0.1681     60.2457
07900     0.1931      0.9177     0.1745     59.4704
08000     0.2067      0.9346     0.1745     60.6022
08100     0.2791      0.9283     0.1745     59.9852
08200     0.1776      0.9388     0.1757     59.7806
08300     0.1873      0.9135     0.1757     60.0828
08400     0.2442      0.9072     0.1806     59.9288
08500     0.2473      0.9114     0.1806     60.0691
08600     0.1482      0.9367     0.1812     59.4692
08700     0.2574      0.9177     0.1851     59.4161
08800     0.1913      0.9325     0.1914     58.9712
08900     0.1785      0.9409     0.1914     59.1337
09000     0.2390      0.9325     0.1914     58.8920
09100     0.2125      0.9367     0.1914     59.8492
09200     0.1981      0.9388     0.1914     60.9963
09300     0.3019      0.9093     0.1974     60.8746
09400     0.3125      0.8945     0.2021     60.5918
09500     0.1850      0.9409     0.2021     60.0553
09600     0.2022      0.9283     0.2021     59.3511
09700     0.2735      0.9156     0.2021     59.5618
09800     0.1892      0.9304     0.2141     59.4494
09900     0.1850      0.9388     0.2182     59.3581
10000     0.2332      0.9283     0.2311     58.6602
10100     0.2011      0.9219     0.2311     58.9972
10200     0.1766      0.9367     0.2311     59.2439
10300     0.1415      0.9557     0.2311     58.2357
10400     0.2262      0.9325     0.2311     59.9417
10500     0.1977      0.9283     0.2311     58.7971
10600     0.2681      0.9135     0.2311     58.6810
10700     0.1774      0.9346     0.2311     59.5662
10800     0.1678      0.9451     0.2311     60.3772
10900     0.2072      0.9325     0.2311     60.0364
11000     0.1718      0.9515     0.2311     60.4296
11100     0.1300      0.9494     0.2311     61.2874
11200     0.1807      0.9451     0.2311     61.1351
11300     0.1909      0.9409     0.2311     60.2567
11400     0.2147      0.9325     0.2311     59.7504
11500     0.1613      0.9494     0.2311     60.1400
11600     0.1732      0.9430     0.2311     60.5844
11700     0.1499      0.9473     0.2311     60.3056
11800     0.1511      0.9451     0.2311     61.0696
11900     0.1796      0.9473     0.2311     60.5531
12000     0.1540      0.9262     0.2311     60.4001
12100     0.1907      0.9304     0.2311     60.7688
12200     0.1834      0.9346     0.2311     60.8568
12300     0.1966      0.9325     0.2311     61.9949
12400     0.1753      0.9241     0.2311     61.0809
12500     0.1719      0.9473     0.2311     60.2024
12600     0.1812      0.9515     0.2311     60.0201
12700     0.2230      0.9409     0.2311     60.0322
12800     0.1346      0.9578     0.2311     61.2306
