Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=1.0, method=1, n_mfcc=40, n_msb=8, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=6, quant_inp=6, quant_w=6, random_seed=8627169, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
d66e177b-b3fd-4ed2-a03a-dd73177a5ecf
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     4.4018      0.0717     0.0821     10.0367
00100     1.9527      0.3544     0.1053     59.9903
00200     1.5422      0.4346     0.1053     58.9820
00300     1.1786      0.6034     0.1065     58.6271
00400     0.9561      0.6857     0.1065     59.1603
00500     0.9700      0.6181     0.1065     59.0394
00600     0.7502      0.7342     0.1065     59.3934
00700     0.6696      0.7700     0.1065     59.1230
00800     0.7126      0.7785     0.1085     59.0525
00900     0.6943      0.7722     0.1085     59.2965
01000     0.5447      0.8291     0.1085     58.8232
01100     0.6303      0.8101     0.1119     59.0371
01200     0.4887      0.8101     0.1119     58.9008
01300     0.5186      0.8017     0.1119     58.4173
01400     0.5024      0.8397     0.1119     60.0832
01500     0.4438      0.8713     0.1119     60.5232
01600     0.5699      0.8291     0.1130     61.3376
01700     0.5540      0.8207     0.1130     61.8427
01800     0.5152      0.8418     0.1130     60.3963
01900     0.4707      0.8418     0.1130     61.6540
02000     0.5032      0.8228     0.1130     60.6912
02100     0.3869      0.8692     0.1130     59.4647
02200     0.5174      0.8439     0.1130     60.9419
02300     0.4459      0.8544     0.1130     61.0711
02400     0.3918      0.8523     0.1144     60.6323
02500     0.4508      0.8523     0.1144     60.7271
02600     0.3678      0.8734     0.1144     60.3508
02700     0.3996      0.8692     0.1144     61.9004
02800     0.3566      0.8840     0.1160     63.2765
02900     0.4607      0.8523     0.1160     59.3688
03000     0.3422      0.8882     0.1160     60.4281
03100     0.4847      0.8629     0.1160     60.2173
03200     0.3165      0.8903     0.1180     59.9416
03300     0.3599      0.8776     0.1246     60.4663
03400     0.3570      0.8882     0.1246     61.0321
03500     0.3451      0.8629     0.1246     61.7221
03600     0.4465      0.8671     0.1246     59.5487
03700     0.3111      0.8966     0.1246     58.8646
03800     0.3076      0.8966     0.1246     61.2279
03900     0.4164      0.8882     0.1250     61.4535
04000     0.3823      0.8776     0.1250     61.6449
04100     0.4034      0.8692     0.1250     58.0260
04200     0.2721      0.9030     0.1271     59.1986
04300     0.2630      0.9093     0.1271     62.1944
04400     0.2468      0.9030     0.1312     59.2202
04500     0.3913      0.8819     0.1344     59.6436
04600     0.2976      0.8882     0.1344     60.9678
04700     0.4134      0.8903     0.1344     59.6973
04800     0.3299      0.8945     0.1344     58.5742
04900     0.3367      0.9072     0.1344     61.4982
05000     0.3379      0.8924     0.1344     59.1441
05100     0.3110      0.8945     0.1369     59.2461
05200     0.3662      0.8819     0.1369     58.5473
05300     0.2329      0.9177     0.1369     60.0295
05400     0.2788      0.9262     0.1379     61.0118
05500     0.2602      0.8966     0.1410     60.4545
05600     0.2912      0.9135     0.1410     60.7783
05700     0.2295      0.9093     0.1410     59.6982
05800     0.3279      0.9008     0.1410     58.8763
05900     0.3326      0.8924     0.1410     58.8497
06000     0.2515      0.9156     0.1410     59.3069
06100     0.3026      0.9156     0.1410     60.9406
06200     0.3175      0.8861     0.1460     61.5178
06300     0.2518      0.9114     0.1483     61.4627
06400     0.2503      0.9325     0.1583     61.3375
06500     0.3249      0.9177     0.1583     59.3424
06600     0.2324      0.9114     0.1583     59.7527
06700     0.3012      0.9008     0.1583     60.3666
06800     0.2165      0.9304     0.1583     59.1748
06900     0.2046      0.9219     0.1583     60.6495
07000     0.3064      0.9219     0.1583     60.7414
07100     0.2261      0.9177     0.1583     61.6745
07200     0.2504      0.9241     0.1583     63.0481
07300     0.2751      0.9156     0.1583     60.5614
07400     0.2821      0.9072     0.1583     62.1179
07500     0.3011      0.9051     0.1648     61.9638
07600     0.2088      0.9093     0.1648     61.8225
07700     0.2014      0.9325     0.1681     59.0807
07800     0.2583      0.9262     0.1697     59.6201
07900     0.3394      0.9114     0.1707     59.6502
08000     0.2537      0.9198     0.1707     61.0011
08100     0.2272      0.9241     0.1833     60.3481
08200     0.2532      0.9135     0.1836     61.8551
08300     0.2577      0.9219     0.1836     59.5614
08400     0.1803      0.9409     0.1836     59.9265
08500     0.2533      0.9135     0.1866     57.7480
08600     0.2491      0.9219     0.1893     60.2780
08700     0.1826      0.9430     0.1893     59.1657
08800     0.1845      0.9325     0.1893     58.7033
08900     0.1711      0.9515     0.1893     60.3268
09000     0.2492      0.9156     0.1893     61.4561
09100     0.3308      0.9219     0.1893     59.3985
09200     0.2303      0.9325     0.1893     57.5911
09300     0.2470      0.9262     0.1988     58.6052
09400     0.2698      0.9093     0.1988     60.1824
09500     0.1513      0.9451     0.1988     59.5138
09600     0.2033      0.9177     0.1993     59.8657
09700     0.2668      0.9093     0.1993     60.1344
09800     0.1735      0.9241     0.1993     58.5056
09900     0.1657      0.9367     0.1993     58.4889
10000     0.1965      0.9241     0.1993     59.9067
10100     0.2706      0.9135     0.1993     59.3456
10200     0.2053      0.9198     0.1993     59.2231
10300     0.2198      0.9156     0.2106     60.0397
10400     0.2307      0.9262     0.2106     60.9781
10500     0.2026      0.9430     0.2106     59.7677
10600     0.1736      0.9388     0.2106     59.0801
10700     0.2220      0.9325     0.2106     61.2070
10800     0.1911      0.9388     0.2106     58.7491
10900     0.1576      0.9451     0.2106     58.1908
11000     0.1979      0.9304     0.2106     59.0279
11100     0.1244      0.9536     0.2106     58.7974
11200     0.2084      0.9283     0.2106     61.0524
11300     0.1779      0.9409     0.2106     59.6637
11400     0.1972      0.9388     0.2106     59.2979
11500     0.2425      0.9135     0.2106     60.4316
11600     0.1605      0.9430     0.2106     60.5817
11700     0.1745      0.9451     0.2106     59.7558
11800     0.1951      0.9409     0.2106     58.7259
11900     0.1635      0.9430     0.2106     58.1251
12000     0.1415      0.9557     0.2106     61.0419
12100     0.1329      0.9473     0.2106     60.4223
12200     0.2136      0.9198     0.2106     61.8699
12300     0.1327      0.9515     0.2106     62.5137
12400     0.1746      0.9430     0.2106     64.8975
12500     0.1921      0.9451     0.2106     60.4322
12600     0.1562      0.9515     0.2106     61.2906
12700     0.1862      0.9367     0.2106     60.8493
12800     0.2488      0.9156     0.2106     62.2554
12900     0.1854      0.9325     0.2106     59.1689
