Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=1.0, method=1, n_mfcc=40, n_msb=9, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=6, quant_inp=6, quant_w=6, random_seed=8627169, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
85c240b9-e7a2-4c49-b374-f82a22dbfa6a
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     5.0305      0.0527     0.0895     10.1814
00100     1.9273      0.4072     0.0895     58.8240
00200     1.4367      0.5169     0.1014     58.3126
00300     1.1180      0.6414     0.1014     58.7837
00400     1.0198      0.6709     0.1014     59.7859
00500     0.8455      0.7110     0.1014     62.1011
00600     0.8575      0.6899     0.1014     58.8927
00700     0.7313      0.7321     0.1014     58.7843
00800     0.7608      0.7679     0.1014     59.9269
00900     0.6541      0.7743     0.1014     58.9198
01000     0.7063      0.7785     0.1014     56.2442
01100     0.7388      0.7890     0.1014     57.2587
01200     0.6528      0.7932     0.1014     57.2501
01300     0.5960      0.7932     0.1025     56.9447
01400     0.5200      0.8312     0.1025     58.0519
01500     0.5948      0.8101     0.1025     57.7768
01600     0.5207      0.8312     0.1025     58.5756
01700     0.3463      0.8840     0.1025     57.4465
01800     0.4920      0.8397     0.1025     57.2583
01900     0.5081      0.8333     0.1070     58.4031
02000     0.4827      0.8418     0.1070     56.9188
02100     0.4304      0.8586     0.1076     59.1319
02200     0.4241      0.8565     0.1076     57.5112
02300     0.4118      0.8608     0.1144     56.9237
02400     0.4476      0.8608     0.1144     59.6795
02500     0.5368      0.8523     0.1144     57.9447
02600     0.4367      0.8586     0.1144     57.7657
02700     0.4599      0.8502     0.1144     58.7330
02800     0.4641      0.8797     0.1144     58.5834
02900     0.3398      0.9008     0.1144     58.1748
03000     0.3861      0.9072     0.1144     59.9598
03100     0.3013      0.9051     0.1144     58.4946
03200     0.3826      0.8776     0.1149     58.6725
03300     0.4702      0.8629     0.1149     57.7503
03400     0.4497      0.8586     0.1149     59.2719
03500     0.3713      0.8882     0.1149     57.6603
03600     0.2908      0.8861     0.1149     57.2110
03700     0.3494      0.8882     0.1222     56.8700
03800     0.4391      0.8650     0.1222     57.3536
03900     0.3388      0.8819     0.1222     56.2491
04000     0.4250      0.8776     0.1222     57.4674
04100     0.3181      0.8924     0.1253     60.0787
04200     0.3590      0.9030     0.1253     56.1432
04300     0.3093      0.8945     0.1253     58.2117
04400     0.3192      0.8987     0.1253     56.7560
04500     0.2525      0.9262     0.1317     57.9231
04600     0.3009      0.9051     0.1339     58.4364
04700     0.2581      0.8840     0.1339     57.2872
04800     0.2905      0.9114     0.1339     57.1995
04900     0.3721      0.8840     0.1339     57.5556
05000     0.2907      0.9135     0.1348     57.5664
05100     0.3690      0.9008     0.1348     57.8171
05200     0.3142      0.8966     0.1348     57.8960
05300     0.2436      0.9219     0.1381     59.9883
05400     0.3231      0.8987     0.1381     58.0653
05500     0.2619      0.9177     0.1409     58.3081
05600     0.3106      0.9093     0.1409     58.6827
05700     0.2577      0.9177     0.1409     58.4658
05800     0.2525      0.9030     0.1409     58.3505
05900     0.2688      0.9430     0.1482     58.8183
06000     0.3888      0.8882     0.1482     58.7024
06100     0.3439      0.9051     0.1524     58.0368
06200     0.1981      0.9198     0.1554     57.8276
06300     0.3274      0.9156     0.1554     57.1857
06400     0.2480      0.9093     0.1590     60.4344
06500     0.3151      0.9114     0.1590     57.3842
06600     0.2213      0.9093     0.1590     57.0355
06700     0.2373      0.9409     0.1590     58.6661
06800     0.2781      0.9156     0.1709     57.5800
06900     0.2342      0.9051     0.1709     58.0724
07000     0.2903      0.9114     0.1709     57.1580
07100     0.3917      0.8819     0.1709     58.6643
07200     0.2426      0.9156     0.1709     58.6195
07300     0.2976      0.9008     0.1709     56.9435
07400     0.3158      0.9262     0.1796     58.3322
07500     0.2022      0.9198     0.1796     58.9318
07600     0.2108      0.9219     0.1854     57.8266
07700     0.2633      0.9219     0.1854     56.6909
07800     0.2829      0.9030     0.1856     59.2481
07900     0.2192      0.9177     0.1856     58.5793
08000     0.1844      0.9494     0.1856     58.7190
08100     0.2497      0.9304     0.1959     57.8971
08200     0.2801      0.9219     0.1959     59.1477
