Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.4, finetuning_epochs=10000, hidden=118, hop_length=320, l2=0.01, learning_rate='0.002,0.0005', max_w=0.1, method=0, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.1, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
ddeeb20e-32e0-4dba-8293-315f61227245
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.6836      0.1200     0.0765     18.1468
00100     2.0728      0.3200     0.3390     68.1221
00200     1.8734      0.3600     0.4936     69.1502
00300     1.4101      0.5600     0.5671     69.1535
00400     1.4984      0.5200     0.5715     69.2141
00500     1.2958      0.6600     0.5996     70.3851
00600     1.1710      0.6100     0.6046     70.0013
00700     1.3289      0.5500     0.6046     69.7735
00800     1.1053      0.6100     0.6112     68.9416
00900     1.1528      0.6900     0.6179     68.7006
01000     1.3075      0.5600     0.6179     67.7538
01100     1.2624      0.5600     0.6402     69.3010
01200     1.3075      0.6300     0.6402     69.7668
01300     1.0631      0.6700     0.6424     70.2326
01400     0.9216      0.7300     0.6424     70.1567
01500     1.1566      0.6000     0.6424     69.2152
01600     1.0264      0.6500     0.6424     68.9174
01700     0.9689      0.7200     0.6449     69.8164
01800     1.0313      0.6700     0.6736     69.9845
01900     0.9604      0.6300     0.6736     71.0272
02000     0.8701      0.7600     0.6736     69.2301
02100     0.8591      0.7500     0.6774     70.1176
02200     0.9608      0.6900     0.6774     69.1098
02300     1.0901      0.6600     0.6774     70.7695
02400     1.1094      0.6600     0.6774     67.9815
02500     0.9684      0.6800     0.6774     68.1224
02600     0.9030      0.6900     0.6774     69.2371
02700     0.7805      0.7800     0.6774     67.8149
02800     0.8869      0.7100     0.6774     69.6451
02900     0.8111      0.7500     0.6774     69.4627
03000     0.8365      0.6900     0.6774     70.2844
03100     0.9301      0.7200     0.6774     69.6622
03200     1.0029      0.6800     0.6774     68.7760
03300     1.0258      0.7100     0.6774     68.9147
03400     0.6385      0.8500     0.6774     68.9265
03500     0.8033      0.7400     0.6790     68.9244
03600     1.0515      0.6700     0.6847     69.3285
03700     0.9538      0.7200     0.6847     69.7544
03800     0.7919      0.7300     0.6847     70.3633
03900     0.7722      0.7800     0.6847     69.3560
04000     0.6677      0.8100     0.6847     69.7180
04100     0.8496      0.7700     0.6847     69.0927
04200     0.7791      0.7800     0.6847     68.5211
04300     0.9283      0.7200     0.6847     69.8027
04400     0.8396      0.7200     0.6847     70.7181
04500     1.1289      0.6200     0.6860     70.5912
04600     0.8889      0.7000     0.6860     68.9794
04700     0.8080      0.7600     0.6860     69.3613
04800     0.8896      0.7400     0.6860     67.4934
04900     0.9099      0.6900     0.6860     68.4989
05000     0.8173      0.6800     0.6860     68.2558
05100     0.7394      0.7900     0.6860     69.0543
05200     0.8968      0.7000     0.6860     68.9326
05300     0.7557      0.7500     0.6860     69.3759
05400     0.7599      0.7200     0.6860     69.3243
05500     0.7221      0.7800     0.6860     69.9153
05600     0.8116      0.7900     0.6860     68.9153
05700     0.9007      0.6600     0.6860     69.7722
05800     0.8982      0.6800     0.6860     69.6142
05900     0.9447      0.7400     0.6860     69.3110
06000     0.7800      0.7700     0.6860     69.4166
06100     1.0295      0.6800     0.6860     69.4392
06200     0.7161      0.8400     0.6860     69.6005
06300     0.8106      0.7300     0.6860     69.5766
06400     0.7532      0.8100     0.6860     69.8198
06500     0.7698      0.7400     0.6860     70.3478
06600     0.7428      0.7700     0.6860     69.3351
06700     0.6464      0.8100     0.6860     68.5804
06800     0.9514      0.6900     0.6860     69.3936
06900     0.7944      0.7700     0.6860     69.7552
07000     0.8854      0.7100     0.6860     68.4844
07100     0.9110      0.6900     0.6860     68.6179
07200     0.8835      0.7200     0.6860     68.1388
07300     0.8890      0.7400     0.6860     68.8416
07400     0.7906      0.7500     0.6860     68.9040
07500     0.7338      0.8000     0.6860     68.7636
07600     0.8191      0.7700     0.6944     69.9010
07700     0.7744      0.7900     0.6944     69.6819
07800     0.8821      0.6900     0.6944     68.9048
07900     0.6626      0.8100     0.6944     69.7273
08000     0.8286      0.7600     0.6944     68.7938
08100     0.9061      0.7300     0.6944     69.5572
08200     0.8356      0.7500     0.7082     68.8514
08300     0.7594      0.7600     0.7082     68.5605
08400     0.7731      0.7400     0.7082     70.1255
08500     0.7251      0.7500     0.7082     70.2559
08600     0.7045      0.7900     0.7082     70.3752
08700     0.8672      0.7300     0.7082     70.9596
08800     0.7391      0.7500     0.7082     69.7725
08900     0.8046      0.7200     0.7082     69.9758
09000     0.6226      0.8000     0.7082     69.4746
09100     0.8500      0.7300     0.7082     69.0991
09200     0.7867      0.7300     0.7082     69.0473
09300     0.6882      0.8200     0.7082     70.0859
09400     0.7034      0.7600     0.7082     68.3687
09500     0.4967      0.8700     0.7082     69.6469
09600     0.8784      0.7500     0.7082     70.1471
09700     0.8402      0.7200     0.7082     68.8823
09800     0.6533      0.8100     0.7082     68.6383
09900     0.7008      0.7900     0.7082     69.0866
10000     0.8072      0.7600     0.7082     69.4032
10100     0.6467      0.7900     0.7082     69.1572
10200     0.7742      0.7600     0.7082     68.5971
10300     0.6539      0.8000     0.7082     68.2910
10400     0.6967      0.7900     0.7082     69.1477
10500     0.8370      0.7300     0.7082     69.4489
10600     0.5529      0.8300     0.7082     69.4053
10700     0.6830      0.7800     0.7082     69.9120
10800     0.6718      0.8000     0.7082     69.6853
10900     0.5810      0.8300     0.7082     69.6841
11000     0.7464      0.8400     0.7082     69.2581
11100     0.8821      0.7600     0.7082     70.6221
11200     0.7846      0.7900     0.7082     70.0658
11300     0.9187      0.7100     0.7082     70.0550
11400     0.6679      0.8100     0.7082     69.8434
11500     0.6352      0.7900     0.7082     72.0064
11600     0.6813      0.7600     0.7082     71.3034
11700     0.4431      0.8900     0.7082     72.3630
11800     0.6476      0.8100     0.7082     69.5816
11900     0.6881      0.7500     0.7082     69.4612
12000     0.6261      0.8300     0.7082     70.0652
12100     0.6768      0.8000     0.7082     69.5896
12200     0.8246      0.7600     0.7082     70.9700
12300     0.6225      0.8000     0.7082     68.7149
12400     0.8781      0.7800     0.7082     68.9353
12500     0.6550      0.7800     0.7082     68.8147
12600     0.6667      0.8000     0.7082     69.1711
12700     0.6989      0.7700     0.7082     68.8821
12800     0.6792      0.7900     0.7082     69.0663
12900     0.5323      0.8200     0.7082     69.6989
13000     0.8313      0.7100     0.7082     69.0924
13100     0.5884      0.8300     0.7082     69.5608
13200     0.5470      0.8200     0.7082     68.7055
13300     0.8970      0.7300     0.7082     68.4192
13400     0.8091      0.7500     0.7082     68.9616
13500     0.6937      0.7700     0.7082     68.8470
13600     0.6616      0.7800     0.7082     68.7686
13700     0.7107      0.7800     0.7082     69.6376
13800     0.7931      0.7300     0.7082     69.0230
13900     0.7633      0.8100     0.7082     68.5415
14000     0.6020      0.8400     0.7082     68.5393
14100     0.6248      0.8000     0.7082     68.6422
14200     0.5610      0.8300     0.7082     68.8463
14300     0.5727      0.8100     0.7082     70.8706
14400     0.7989      0.7200     0.7082     69.7884
14500     0.7527      0.7400     0.7082     69.7520
14600     0.8015      0.7200     0.7082     69.0831
14700     0.7858      0.7500     0.7082     71.2061
14800     0.6003      0.8000     0.7082     71.0044
14900     0.6412      0.8300     0.7082     69.5611
15000     0.5609      0.8400     0.7082     69.2197
15100     0.7473      0.7900     0.7082     69.7264
15200     0.7883      0.7800     0.7082     68.8568
15300     0.7718      0.7600     0.7082     69.2081
15400     0.8183      0.7400     0.7082     69.7845
15500     0.4838      0.8900     0.7082     69.2960
15600     0.8185      0.7400     0.7082     70.9052
15700     0.5756      0.8400     0.7082     68.9402
15800     0.6129      0.7900     0.7082     69.3989
15900     0.6619      0.7700     0.7082     69.5616
16000     0.9539      0.7000     0.7082     70.4222
16100     0.7128      0.8100     0.7082     70.3588
16200     0.7808      0.7700     0.7082     70.0136
16300     0.7127      0.7800     0.7082     70.7941
16400     0.6720      0.8200     0.7082     69.9595
16500     0.5969      0.8300     0.7082     68.6170
16600     0.7417      0.7800     0.7082     68.5164
16700     1.0453      0.6600     0.7082     69.3492
16800     0.5619      0.8300     0.7082     68.8976
16900     0.6025      0.7900     0.7082     69.0303
17000     0.7971      0.7200     0.7082     69.1624
17100     0.4397      0.8900     0.7082     69.7512
17200     0.6283      0.8200     0.7082     69.3348
