Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.4, finetuning_epochs=10000, hidden=118, hop_length=320, l2=0.01, learning_rate='0.002,0.0005', max_w=0.1, method=0, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.1, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=8627169, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
25bd9ec9-1324-4c27-8d0a-d5328cf35f0f
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5750      0.1300     0.1010     20.4381
00100     1.9638      0.4300     0.4175     70.6921
00200     1.5439      0.5000     0.5114     70.9368
00300     1.4044      0.6000     0.5706     74.6671
00400     1.2628      0.6000     0.5724     71.2013
00500     1.2010      0.6100     0.5724     72.9710
00600     1.1615      0.6200     0.5724     72.8005
00700     1.1464      0.6100     0.5724     73.5077
00800     1.2901      0.6000     0.6303     72.9313
00900     1.0051      0.6700     0.6374     74.2323
01000     1.0395      0.6800     0.6374     72.8096
01100     1.0445      0.6400     0.6374     71.4781
01200     1.0901      0.6800     0.6374     72.2410
01300     1.0107      0.7000     0.6374     71.4092
01400     0.9987      0.7500     0.6374     72.5896
01500     1.0105      0.6500     0.6374     65.9701
01600     0.9599      0.6900     0.6374     65.4881
01700     1.1025      0.6700     0.6374     66.5641
01800     0.8331      0.7300     0.6374     65.7079
01900     0.9773      0.7200     0.6374     66.3579
02000     1.0272      0.6600     0.6374     67.0260
02100     0.9155      0.7400     0.6374     65.5334
02200     0.9625      0.7000     0.6374     65.9777
02300     0.7644      0.7500     0.6374     65.4373
02400     0.9843      0.7100     0.6374     66.8708
02500     0.8931      0.7400     0.6374     68.5236
02600     1.0025      0.7000     0.6374     67.3726
02700     0.9268      0.7000     0.6374     66.6733
02800     0.9156      0.6700     0.6374     65.8306
02900     0.8596      0.7300     0.6374     65.2199
03000     0.8889      0.7700     0.6374     69.7783
03100     0.7828      0.7400     0.6374     67.0505
03200     0.8694      0.7300     0.6374     64.9349
03300     0.8588      0.7300     0.6374     64.4527
03400     0.7970      0.7700     0.6374     63.8553
03500     0.8825      0.6800     0.6374     65.1421
03600     0.8788      0.7400     0.6374     64.4899
03700     0.7036      0.8100     0.6374     67.0716
03800     0.9662      0.7100     0.6413     65.4484
03900     0.8018      0.7600     0.6413     64.7521
04000     0.7523      0.7600     0.6413     65.9019
04100     0.9417      0.6800     0.6413     65.7503
04200     0.8538      0.7400     0.6413     66.1452
04300     0.7887      0.7200     0.6413     65.5886
04400     0.9648      0.7100     0.6413     66.2696
04500     0.8039      0.7100     0.6523     66.4997
04600     0.8202      0.7700     0.6523     66.2163
04700     0.9499      0.7200     0.6523     67.8860
04800     0.9286      0.7100     0.6523     68.3857
04900     0.9011      0.6900     0.6523     69.7620
05000     0.8228      0.7700     0.6523     68.5271
05100     0.8138      0.7500     0.6523     67.5642
05200     0.8714      0.7600     0.6523     66.7287
05300     0.8439      0.7300     0.6558     67.7937
05400     0.9419      0.6900     0.6558     66.7393
05500     0.9079      0.7200     0.6558     66.7242
05600     0.7462      0.7900     0.6558     65.5841
05700     0.7979      0.7600     0.6558     66.7977
05800     0.8770      0.7000     0.6558     67.1191
05900     0.8143      0.7500     0.6558     66.8966
06000     0.9625      0.6500     0.6558     74.5961
06100     0.8103      0.7000     0.6558     66.0719
06200     0.8085      0.7100     0.6668     67.7233
06300     0.8384      0.7100     0.6668     67.1337
06400     0.8755      0.7300     0.6668     66.2484
06500     0.9016      0.7200     0.6668     65.5613
06600     0.7889      0.7700     0.6668     65.8814
06700     0.8615      0.7400     0.6668     67.4782
06800     0.8688      0.7200     0.6668     65.2397
06900     1.0136      0.6600     0.6668     65.1373
07000     0.7959      0.7700     0.6668     65.2564
07100     0.7421      0.7800     0.6668     66.0546
07200     0.9024      0.7100     0.6668     64.2579
07300     0.8874      0.7600     0.6720     64.7164
07400     0.7865      0.7800     0.6720     65.2331
07500     0.9467      0.7000     0.6720     65.1741
07600     0.8758      0.7100     0.6864     67.7918
07700     0.6766      0.7900     0.6864     67.5773
07800     0.5795      0.8200     0.6864     68.0971
07900     0.5283      0.8400     0.6864     66.7513
08000     0.7494      0.7600     0.6864     67.3307
08100     0.8091      0.7700     0.6864     67.9550
08200     0.8117      0.7400     0.6864     67.5077
08300     0.8104      0.8100     0.6864     68.7489
08400     0.6945      0.8000     0.6864     67.2595
08500     0.7910      0.7400     0.6864     69.9701
08600     0.8476      0.7200     0.6864     66.4658
08700     0.7700      0.7400     0.6864     65.9084
08800     0.7568      0.7200     0.6864     67.6241
08900     0.7099      0.7700     0.6864     69.5330
09000     0.9277      0.7200     0.6864     69.8301
09100     0.8371      0.7600     0.6874     69.2515
09200     0.8318      0.6900     0.6914     68.1336
09300     0.9404      0.7100     0.6920     67.6940
09400     0.8766      0.7100     0.7182     68.5083
09500     0.7184      0.7600     0.7182     66.1699
09600     0.6055      0.8100     0.7182     66.4694
09700     0.7821      0.7600     0.7182     67.0102
09800     0.7160      0.8100     0.7182     70.2524
09900     0.5805      0.8500     0.7182     67.2356
10000     0.6171      0.8300     0.7257     67.3520
10100     0.7563      0.7700     0.7257     66.7147
10200     0.5869      0.8300     0.7257     68.6453
10300     0.7236      0.8000     0.7257     68.8136
10400     0.8607      0.7100     0.7257     66.2644
10500     0.7333      0.7400     0.7257     67.3743
10600     0.5958      0.8100     0.7257     66.8564
10700     0.7107      0.7700     0.7257     68.8417
10800     0.8328      0.7200     0.7257     66.9827
10900     0.7732      0.7100     0.7257     66.1401
11000     0.6521      0.8000     0.7257     66.1236
11100     0.6564      0.8100     0.7257     68.2184
11200     0.7491      0.7400     0.7257     70.1185
11300     0.8240      0.7400     0.7257     67.2083
11400     0.6376      0.8000     0.7257     67.8123
11500     0.6466      0.7900     0.7257     68.8544
11600     0.7456      0.8100     0.7257     69.9523
11700     0.7916      0.7700     0.7257     68.9215
11800     0.6492      0.8200     0.7257     69.3071
11900     0.5403      0.8300     0.7257     68.6452
12000     0.8501      0.7100     0.7257     68.2107
12100     0.5660      0.8100     0.7257     69.8825
12200     0.6277      0.8200     0.7257     68.1989
